,name,address,cuisine,lat,lon,image_url,rating,coordinates,square_i,square_j
0,,[TEST] - A-One,"[""Kids Friendly"", ""Comfort Foods""]",1.266722218,103.6909192,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDJJTWFC8BAAN/hero/ed23415108cf443cbef236240022b33c_1609316584543864459.jpeg,,"[1.266722218, 103.6909192]",1,2
1,,[Test] Fish & Co.,"[""Fish & Chips""]",1.267965,103.693351,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2T2GYAJBEVFJN/hero/b02243bc1d9a41dab4e36acac5e38582_1621835390039050970.jpeg,,"[1.267965, 103.693351]",1,2
2,Asahi Seafood,[TEST] - Diana's Food Store (Team Testing),"[""Local"", ""Salad"", ""Soup""]",1.26802,103.69486,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYTECY3VNNC3JJ/hero/a974ac9d74d441aabb45a9cd1999a61f_1620269339226708444.jpg,,"[1.26802, 103.69486]",1,2
3,,[Test] Shake Shack,"[""Burger"", ""Fast Food"", ""Western""]",1.266722218,103.6909192,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZLVCKMHNYTXNX/hero/fb13b30f07f44b1d89e621388eb3980f_1608176571645945916.jpeg,,"[1.266722218, 103.6909192]",1,2
4,,[Test] The Coffee Bean & Tea Leaf - KK Hospital,"[""Coffee & Tea""]",1.266722218,103.6909192,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZKKR7K2JJ22NT/hero/2fed0425240a41fa8f190234f9d6206a_1620704615302955402.jpeg,,"[1.266722218, 103.6909192]",1,2
5,,CBTL Test Store - Classic,"[""Singaporean"", ""Kids Friendly""]",1.267965,103.693351,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYNANF42AEVAVA/hero/a4de9be766714496935a972417d44f85_1596008385365821067.jpeg,,"[1.267965, 103.693351]",1,2
6,Food Village,[BD] [TEST] Kimly Seafood,"[""Singaporean""]",1.266722218,103.6909192,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYVBC2NTTGNUNN/hero/f87e70f43e2848dd8a34e1b7ab2a5f54_1609316062948506172.jpg,,"[1.266722218, 103.6909192]",1,2
7,Chocoelf,Chocoelf - Jurong Food Hub,"[""Dessert"", ""Gifts"", ""Snack"", ""Mart"", ""Chocolate""]",1.308686,103.721884,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2MBJ3K1LNCXR2/hero/e43722893a834ce1a94cfe3a5a48ce2e_1616294376234611915.png,,"[1.308686, 103.721884]",2,3
8,Don Play Play,Don Play Play - Jurong Food Hub - Catering  ,"[""Catering"", ""Beverages"", ""Japanese""]",1.30888,103.72181,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZNZCP3KGXNXA6/hero/bef624492383461786fdd37e5f5ca2e2_1599624801621684553.jpeg,,"[1.30888, 103.72181]",2,3
9,Hai Sia Seafood,Hai Sia Seafood - Fishery Port Road ,"[""Groceries"", ""Seafood"", ""Mart"", ""Fresh Produce"", ""Islandwide Delivery""]",1.30876,103.72311,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2JHBEC2R4JYGJ/hero/ded5434d37a94fc9ba96fb4e00a2d3e9_1610772270364584724.jpeg,5.0,"[1.30876, 103.72311]",2,3
10,Asyura Paste,Asyura Paste - Jurong Food Hub ,"[""Asian"", ""Groceries"", ""Halal"", ""Mart"", ""Islandwide Delivery""]",1.308686,103.721884,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2NZNF6YLTL3PE/hero/02cbcaf83374412ea0ad73c0f3675f36_1619685683418968147.jpeg,,"[1.308686, 103.721884]",2,3
11,Pan Seas Enterprises Pte Ltd,Pan Seas Enterprises Pte Ltd - Fishery Port Road,"[""Groceries"", ""Halal"", ""Mart""]",1.3078374,103.7229856,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZM1EYTZCXUJNJ/hero/707689a0254449b8aa18ebd716efd815_1611549804227044452.jpg,4.0,"[1.3078374, 103.7229856]",2,3
12,Makan Mate,Makan Mate - Fishery Port Road Catering ,"[""Asian"", ""Catering"", ""Local""]",1.30812,103.72292,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZNDL4BYARJYVT/hero/abcb39701a684891bf1431067ce0ff98_1598364430451589029.png,,"[1.30812, 103.72292]",2,3
13,Hay Tasty,Hay Tasty - Penjuru Road,"[""Breakfast & Brunch"", ""Dessert"", ""Local""]",1.30567778468441,103.731341788716,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2MBHECJHFCJVE/hero/cab43cb181504eadbf642cb53f48fd9f_1616216351092718711.jpeg,2.0,"[1.30567778468441, 103.731341788716]",2,3
14,Yue Zi Le Confinement Catering,Yue Zi Le Confinement Catering - Jurong Food Hub,"[""Same Prices In-Store"", ""Chinese"", ""Local"", ""Catering""]",1.30888,103.72181,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZEGNRKDHBKBFA/hero/11a5dd69ef6e400ea8ad08e7fed47d8e_1588663926728313316.jpg,,"[1.30888, 103.72181]",2,3
15,Pondok Abang,Pondok Abang - Jurong Food Hub [Islandwide Delivery],"[""Convenience"", ""Groceries"", ""Frozen Food""]",1.308775,103.72183,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2LHNJCGBFWEGT/hero/fe24c9c6ebd34199a1ca00be3aef4d92_1615219407854896318.png,5.0,"[1.308775, 103.72183]",2,3
16,Fupi Beancurd Skin Crisps,Fupi Beancurd Skin Crisps - Gul Way ,"[""Convenience"", ""Snack"", ""Mart"", ""Islandwide Delivery""]",1.31261,103.67072,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TVNAXFPE4ZVA/hero/98c9709662b14c529949d100f53ad68a_1622107705690787549.jpeg,,"[1.31261, 103.67072]",3,1
17,GJH Mart,GJH Mart - Gul Ave,"[""Mart"", ""Health & Wellness"", ""Convenience""]",1.3159448,103.6751247,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2EAGGLXLPBYNT/hero/9ab756c69de84feabbfb12baba881cac_1609825622726320547.png,,"[1.3159448, 103.6751247]",3,1
18,Japanese Korean Food,Japanese Korean Food - 60 Gul Lane,"[""Asian"", ""Ramen"", ""Japanese"", ""Same Prices In-Store""]",1.3143283672938606,103.66213205245585,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYT3AJMJTB6TLJ/hero/75r-24bits-100kb-e1f528a784ec0224db4919f3f1a4f824260f4052cf24206fa65618949d36db93-c7f15486a2654a0189f048a046185ac5_1564391442600223883.jpeg,2.8,"[1.3143283672938606, 103.66213205245585]",3,1
19,Confetti Snacks,Confetti Snacks - Gul Way,"[""Snacks"", ""Mart""]",1.315848,103.669942,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2AYRXVBLANFTT/hero/a012d168518c4ad58445aee68ae831a8_1611545021958372343.jpg,,"[1.315848, 103.669942]",3,1
20,Umami Food,Umami Food - Gul Lane,"[""Japanese"", ""Korean"", ""Rice""]",1.314247,103.662172,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2DCDA4JKFE2AJ/hero/ce38cf562a9f48e2b497137742e143a8_1606218348645183647.jpg,4.1,"[1.314247, 103.662172]",3,1
21,Kidmoro,Kidmoro - Tuas Ave 1 ,"[""Kids Friendly"", ""Mart"", ""Islandwide Delivery""]",1.32167,103.65992,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TVNK62ELN3KE/hero/830ff1f57be344d9b260d899d876b3f5_1621262798293171871.jpg,,"[1.32167, 103.65992]",3,1
22,Cheers (FairPrice Xpress),Cheers (FairPrice Xpress) - Gul Circle MRT Station,"[""Mart"", ""Groceries"", ""Beverages"", ""Convenience""]",1.3191759833333334,103.65988645,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2JDLJTERKVANT/hero/92ddd8fa07a045e4adb1f62280745d91_1621875390424526268.jpg,5.0,"[1.3191759833333334, 103.65988645]",3,1
23,No 3,No 3 - Joo Koon Circle,"[""Beverages"", ""Asian"", ""Indian"", ""Same Prices In-Store""]",1.3275169,103.6774702,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZEBSB5JVJ5JEE/hero/d31e854b1e0b464c94e87684e3363138_1588178774195150971.jpg,5.0,"[1.3275169, 103.6774702]",3,1
24,Bun Times,Bun Times - Fairprice Hub,"[""Mart"", ""Local"", ""Snacks"", ""Asian"", ""Bakery""]",1.3271958,103.6784974,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD07304/hero/Bun_Times_Group_Shot_960x540.jpg,4.3,"[1.3271958, 103.6784974]",3,1
