name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town
Markozar,Markozar - Jalan Teck Whye [Islandwide Delivery],"['Asian', 'Snack']",1.3803527864270393,103.75697457674858,"{'open': True, 'displayedHours': '14:00-22:00', 'sun': '14:00-22:00', 'mon': '14:00-22:00', 'tue': '14:00-22:00', 'wed': '14:00-22:00', 'thu': '14:00-22:00', 'fri': '14:00-22:00', 'sat': '14:00-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD07018/hero/f002844609b142ff8d0c24842d9a80f6_1615886887202058824.jpeg,4.6,"[1.3803527864270393, 103.75697457674858]",5,4,CHOA CHU KANG
Al-Rezq,Al-Rezq - Bukit Batok Street 34 [Islandwide Delivery],"['Health & Wellness', 'Gifts', 'Snack', 'Wellness', 'Healthy']",1.3633748,103.7493046,"{'open': True, 'displayedHours': '09:00-19:00', 'sun': '09:00-19:00', 'mon': '08:00-22:00', 'tue': '08:00-22:00', 'wed': '08:00-22:00', 'thu': '08:00-22:00', 'fri': '08:00-22:00', 'sat': '09:00-19:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2LFSBCDV26VRT/hero/7374e82ef652468cb8cd64bed9da2c28_1615219919036424881.png,0.0,"[1.3633748, 103.7493046]",5,4,BUKIT BATOK
803 Thai Food,803 Thai Food - Keat Hong Close[Islandwide Delivery],"['Seafood', 'Thai', 'Asian', 'Islandwide Delivery']",1.3743065,103.7427907,"{'open': True, 'displayedHours': '07:10-22:00', 'sun': '07:00-21:31', 'mon': '08:35-21:31', 'tue': '07:00-21:31', 'wed': '08:00-21:31', 'thu': '07:00-21:31', 'fri': '07:15-22:00', 'sat': '07:10-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD07485/hero/cf041343c5a440b48412fc85e2ab346d_1607312711968388961.jpeg,4.3,"[1.3743065, 103.7427907]",5,4,CHOA CHU KANG
Wild Bakes,Wild Bakes - Choa Chu Kang Ave 4 ,"['Bakery & Cake', 'Islandwide Delivery']",1.379563346,103.7349922,"{'open': True, 'displayedHours': '10:00-22:00', 'sun': '10:00-22:00', 'mon': '10:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2JZEUVFMBTFV2/hero/591b8bfea2ae40c58af532245e2009f7_1611624645714652982.jpg,0.0,"[1.379563346, 103.7349922]",5,4,CHOA CHU KANG
Forrest@Orchidville,Forrest@Orchidville - 82 Sungei Tengah Rd.,"['Chinese', 'Asian']",1.3890264,103.7324024,"{'open': True, 'displayedHours': '10:30-17:30', 'sun': '10:30-17:30', 'mon': 'Closed', 'tue': '10:00-16:00', 'wed': '10:00-16:00', 'thu': '10:00-16:00', 'fri': '10:00-16:00', 'sat': '10:30-17:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD06092/hero/3a4de8f06d8a4eb389e1af5d3a40a5e7_1614156363935070080.jpeg,3.9,"[1.3890264, 103.7324024]",5,4,CHOA CHU KANG
Rasa Rasa,Rasa Rasa - Jalan Teck Whye [Islandwide Delivery],"['Halal', 'Asian', 'Islandwide Delivery', 'Seafood']",1.380317449569702,103.75693988800047,"{'open': True, 'displayedHours': '00:00-01:30 11:15-23:59', 'sun': '00:00-01:30 11:15-23:59', 'mon': '00:00-01:00 11:15-23:59', 'tue': '00:00-01:30 11:15-23:59', 'wed': '00:00-01:30 11:15-23:59', 'thu': '00:00-01:30 11:15-23:59', 'fri': '00:00-01:30 11:15-23:59', 'sat': '00:00-01:30 11:15-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYLTMATBEE43VT/hero/9cb300ce431544fba00839e122fec93f_1583389593478066316.jpeg,4.4,"[1.380317449569702, 103.75693988800047]",5,4,CHOA CHU KANG
Nine Spices - Muslim owned,Nine Spices - Muslim owned - Choa Chu Kang Ave 4 [Islandwide Delivery],"['Halal', 'Noodles', 'Fish', 'Chicken', 'Rice']",1.3847942,103.7433381,"{'open': True, 'displayedHours': '07:00-23:45', 'sun': '07:00-23:45', 'mon': '07:00-23:45', 'tue': '07:00-23:45', 'wed': '07:00-23:45', 'thu': '07:00-23:45', 'fri': '07:00-23:45', 'sat': '07:00-23:45'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2B2RJUHFFKZFE/hero/702302915ce04a46ad35883b4fd33065_1619698786298787078.png,4.4,"[1.3847942, 103.7433381]",5,4,CHOA CHU KANG
Buey Tahan SeeFood,Buey Tahan SeeFood - Choa Chu Kang Ave 7 [Islandwide Delivery],"['Halal', 'Seafood', 'Asian', 'Chinese', 'Islandwide Delivery']",1.3737147482799088,103.746673764499,"{'displayedHours': 'Closed', 'sun': '12:00-15:30 16:00-22:00', 'mon': '12:00-15:30 16:00-22:00', 'tue': '12:00-15:30 16:00-22:00', 'wed': '12:00-15:30 16:00-22:00', 'thu': '12:00-15:30 16:00-22:00', 'fri': '12:00-15:30 16:00-22:00', 'sat': '12:00-15:30 16:00-22:00', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2KKJ8LCA3CXJT/hero/bc344c56e71040a48da9d45d5c6e4881_1612949334734596105.jpeg,4.4,"[1.3737147482799088, 103.746673764499]",5,4,CHOA CHU KANG
Blooms: By M,Blooms: By M - Sol Acres ,"['Flowers', 'Islandwide Delivery', 'Same Prices In-Store', 'Gifts', 'Hampers']",1.3759905455681,103.750199882497,"{'open': True, 'displayedHours': '09:00-20:00', 'sun': '10:00-20:00', 'mon': '08:00-20:00', 'tue': '08:00-20:00', 'wed': '08:00-20:00', 'thu': '08:00-20:00', 'fri': '08:00-20:00', 'sat': '10:00-20:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2L3RAK3ATUATA/hero/d2c00fdd434e44c5bb5b3239d22f38d9_1616041896116483321.jpeg,4.6,"[1.3759905455681, 103.750199882497]",5,4,CHOA CHU KANG
Ams Super Mart Pte Ltd,Ams Super Mart Pte Ltd - Bukit Batok Street 34,"['Mart', 'Soft Drinks', 'Groceries', 'Convenience']",1.3635078873842832,103.750663147348,"{'open': True, 'displayedHours': '09:30-20:30', 'sun': '09:30-19:30', 'mon': '09:30-20:30', 'tue': '09:30-20:30', 'wed': '09:30-20:30', 'thu': '09:30-20:30', 'fri': '09:30-20:30', 'sat': '09:30-20:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZLKMAEDCUL1RN/hero/4832ee48cdf64bf6901b90521a11aedb_1595037204989107565.jpeg,4.6,"[1.3635078873842832, 103.750663147348]",5,4,BUKIT BATOK
