Unnamed: 0,name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town,website
1161,Wild Boocha Kombucha,Wild Boocha Kombucha - Mandai Foodlink ,"['Beverages', 'Convenience', 'Health & Wellness', 'Islandwide Delivery']",1.40979215824296,103.758006090484,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '09:00-17:30', 'tue': '09:00-17:30', 'wed': '09:00-17:30', 'thu': '09:00-17:30', 'fri': '09:00-17:30', 'sat': 'Closed'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TVE8JGV3WGRA/hero/074342c29edf41f99c463b5395e1e3be_1621264551659983449.jpeg,0.0,"[1.40979215824296, 103.758006090484]",6,4,CHOA CHU KANG,https://wildboocha.com/
1168,Bakening - Real Food Bakery,Bakening - Real Food Bakery - Mandai Link,"['Bakery & Cake', 'Groceries', 'Mart']",1.410558665,103.7575286,"{'displayedHours': 'Closed', 'sun': '08:00-14:30', 'mon': '08:00-15:00', 'tue': '08:00-14:30', 'wed': '08:00-14:30', 'thu': '08:00-14:30', 'fri': '08:00-14:30', 'sat': '08:00-14:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2LJEXTDSE5JCX/hero/c3fd4ed1fa034ac89fe4aaea0469b910_1614841803100336417.jpeg,0.0,"[1.410558665, 103.7575286]",6,4,CHOA CHU KANG,https://bakening.co/
1170,Oh My Goodness!,Oh My Goodness! - Mandai Link Logistics ,"['Halal', 'Vegan', 'Bakery & Cake', 'Islandwide Delivery', 'Social Enterprises']",1.410558665,103.7575286,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '08:00-23:59', 'tue': '00:00-23:59', 'wed': '00:00-23:59', 'thu': '00:00-23:59', 'fri': '00:00-20:00', 'sat': 'Closed'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2KJHALTUFMKLE/hero/9b52086c722949ceb6e17ea288a36032_1612843229975131994.jpeg,5.0,"[1.410558665, 103.7575286]",6,4,CHOA CHU KANG,https://ohmygoodness.co/
1226,As-Sufi,As-Sufi - Mandai Foodlink [Islandwide Delivery],"['Asian', 'Halal', 'Local', 'Snack', 'Frozen Food']",1.4094301696052298,103.75828638132276,"{'displayedHours': 'Closed', 'sun': '09:00-22:00', 'mon': '09:00-22:00', 'tue': '09:00-22:00', 'wed': '09:00-22:00', 'thu': '09:00-22:00', 'fri': '09:00-22:00', 'sat': '09:00-22:00', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2MFSA6XG4MTVE/hero/146f17a5eccb46b092dc8008ccdf06c8_1616578394469237818.jpg,4.5,"[1.4094301696052298, 103.75828638132276]",6,4,CHOA CHU KANG,https://www.assufi.com/
12712,Club July,Club July - Stagmont Ring,"['Western', 'Asian']",1.3944953031088103,103.75342663259296,"{'displayedHours': 'Closed', 'sun': '16:00-22:00', 'mon': '16:00-23:00', 'tue': '16:00-22:00', 'wed': '16:00-22:00', 'thu': '16:00-22:00', 'fri': '16:00-22:00', 'sat': '16:00-22:00', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD09003/hero/a3500963b3ea449fba57c45dc3fc9748_1560309064449283763.jpeg,3.7,"[1.3944953031088103, 103.75342663259296]",6,4,CHOA CHU KANG,https://www.facebook.com/p/Club-July-Stagmont-Ring-100063689196296/
12722,Yim Poong Kitchen,Yim Poong Kitchen - Stagmont Ring,"['Asian', 'Thai', 'Western']",1.3944876000000002,103.75341693,"{'displayedHours': 'Closed', 'sun': '00:00-02:00 15:00-23:59', 'mon': '15:00-23:59', 'tue': '15:00-23:59', 'wed': '15:00-23:59', 'thu': '15:00-23:59', 'fri': '15:00-23:59', 'sat': '00:00-02:00 15:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2D3C32TWCN3VE/hero/3f3810b078ab442fb6fb9a466e684fe3_1607917841148314015.jpeg,3.6,"[1.3944876000000002, 103.75341693]",6,4,CHOA CHU KANG,https://www.chope.co/singapore-restaurants/restaurant/yimpoong-kitchen?lang=en_US
13553,Bindingbits,Binding Bits - Choa Chu Kang Street 53 ,"['Asian', 'Bakery & Cake', 'Snacks', 'Islandwide Delivery']",1.39163,103.74627,"{'displayedHours': 'Closed', 'sun': '09:00-21:00', 'mon': '09:00-21:00', 'tue': '09:00-21:00', 'wed': '09:00-21:00', 'thu': '09:00-21:00', 'fri': '09:00-21:00', 'sat': '09:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2JTKB6XE7KAJT/hero/d92dec1f197f4a0aac8eac9d37e2c71d_1612405870212051477.png,5.0,"[1.39163, 103.74627]",6,4,CHOA CHU KANG,https://www.instagram.com/bindingbits/?hl=en
13699,Cheers (FairPrice Xpress),Cheers (FairPrice Xpress) - Yew Tee MRT,"['Grocery', 'Groceries', 'Mart', 'Convenience']",1.3973026,103.74739602992122,"{'open': True, 'displayedHours': '00:00-23:59', 'sun': '00:00-23:59', 'mon': '00:00-23:59', 'tue': '00:00-23:59', 'wed': '00:00-23:59', 'thu': '00:00-23:59', 'fri': '00:00-23:59', 'sat': '00:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZKXA2WKVVA3N2/hero/7e8e07bbb60b4d74b316b39befefadcb_1621875390369272465.jpg,4.7,"[1.3973026, 103.74739602992122]",6,4,CHOA CHU KANG,https://cheers.com.sg/store/fairprice-xpress-esso-bukit-batok/
13723,Eighteen Chefs,Eighteen Chefs - Yew Tee Point,"['Western', 'Burger', 'Pasta', 'Halal', 'Social Enterprises']",1.3972877,103.7468648,"{'displayedHours': 'Closed', 'sun': '11:00-21:20', 'mon': '11:00-20:50', 'tue': '11:00-20:50', 'wed': '11:00-20:50', 'thu': '11:00-20:50', 'fri': '11:00-21:20', 'sat': '11:00-21:20'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CY6ER2NANTVBC6/hero/8af81c85afa1410dbdf60a44ceb19af2_1578975983623935449.jpeg,4.4,"[1.3972877, 103.7468648]",6,4,CHOA CHU KANG,https://www.eighteenchefs.com/
13727,Encik Tan,Encik Tan - Yew Tee Point,"['Local', 'Asian', 'Noodles', 'Halal']",1.39726125,103.7469275,"{'displayedHours': 'Closed', 'sun': '10:30-20:30', 'mon': '10:30-20:30', 'tue': '10:30-20:30', 'wed': '10:30-20:30', 'thu': '10:30-20:30', 'fri': '10:30-20:30', 'sat': '10:30-20:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDWNP2XEFXEVJ/hero/4c18378892ec4372ab536751eae8d508_1591935654473960633.jpeg,4.2,"[1.39726125, 103.7469275]",6,4,CHOA CHU KANG,https://enciktan.com.sg/
