name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j
One Sushi,One Sushi 一口寿司 - Yishun Town Square [Islandwide Delivery],"['Japanese', 'Islandwide Delivery', 'Kids Friendly']",1.4263131,103.8362156,"{'open': True, 'displayedHours': '11:30-22:00', 'sun': '11:30-22:00', 'mon': '11:30-22:00', 'tue': '11:30-22:00', 'wed': '11:30-22:00', 'thu': '11:30-22:00', 'fri': '11:30-22:00', 'sat': '11:30-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD10354/hero/upload-photo-Hero_Photo_251b45a383e8411e919b86cd037a5e96_1556099379459095698.jpeg,4.2,"[1.4263131, 103.8362156]",7,7
Song Fa Bak Kut Teh,Song Fa Bak Kut Teh - Northpoint Shopping Centre [Islandwide Delivery],"['Local', 'Asian', 'Chinese', 'Soup', 'Meat']",1.4295055367119005,103.83638630807305,"{'open': True, 'displayedHours': '11:00-21:30', 'sun': '10:30-21:00', 'mon': '11:00-21:00', 'tue': '11:00-21:00', 'wed': '11:00-21:00', 'thu': '11:00-21:00', 'fri': '11:00-21:30', 'sat': '11:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZBCELBWJ8NKAA/hero/2d3bef3724d04fa1b856d441fc5dc192_1582802450633677674.png,4.6,"[1.4295055367119005, 103.83638630807305]",7,7
Paris Baguette,Paris Baguette - Northpoint City,"['Sandwiches', 'Same Prices In-Store', 'Bakery & Cake', 'Dessert', 'Salad']",1.4297388152191672,103.83575196238525,"{'open': True, 'displayedHours': '09:30-21:30', 'sun': '09:30-21:30', 'mon': '09:30-21:30', 'tue': '09:30-21:30', 'wed': '09:30-21:30', 'thu': '09:30-21:30', 'fri': '09:30-21:30', 'sat': '09:30-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2CUSCCEBAVDSE/hero/e0d04e1426354f1fa2a0f048cec83591_1620961201748218431.jpeg,4.7,"[1.4297388152191672, 103.83575196238525]",7,7
Golden Thai Village,Golden Thai Village - Sembawang [Islandwide Delivery],"['Thai', 'Rice', 'Noodles', 'Beverages']",1.4424033,103.81673943996428,"{'open': True, 'displayedHours': '00:00-02:00 11:00-23:59', 'sun': '00:00-02:00 11:00-23:59', 'mon': '00:00-02:00 11:00-23:59', 'tue': '00:00-02:00 11:00-23:59', 'wed': '00:00-02:00 11:00-23:59', 'thu': '00:00-02:00 11:00-23:59', 'fri': '00:00-02:00 11:00-23:59', 'sat': '00:00-02:00 11:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJAHCKTGF52C2/hero/2b3c8ff9894146618376b89fc6382275_1616043176969223914.jpeg,3.7,"[1.4424033, 103.81673943996428]",7,7
Tiga Roti,Tiga Roti - Nordcom Two [Islandwide Delivery],"['Fast Food', 'Vegetarian Friendly', 'Western', 'Vegan', 'Burger']",1.44245374,103.81670825,"{'open': True, 'displayedHours': '10:00-23:59', 'sun': '10:00-23:59', 'mon': '10:00-23:59', 'tue': '10:00-23:59', 'wed': '10:00-23:59', 'thu': '10:00-23:59', 'fri': '10:00-23:59', 'sat': '10:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2MTAE6ZGLNHGA/hero/98c625b8dfd744b89d8dbc1d505ec6c2_1617170212481273670.jpeg,4.5,"[1.44245374, 103.81670825]",7,7
Wolf Burgers,Wolf Burgers - Nordcom Two [Islandwide Delivery],"['Fast Food', 'Western', 'Burger']",1.442489562535883,103.81670498777322,"{'open': True, 'displayedHours': '11:30-21:00', 'sun': '11:30-21:00', 'mon': '11:30-21:00', 'tue': '11:30-21:00', 'wed': '11:30-21:00', 'thu': '11:30-21:00', 'fri': '11:30-21:00', 'sat': '11:30-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2CFL8CUCBM2C2/hero/e47f966a793f412a8b286f26f1fbe3aa_1604625112314032411.jpeg,4.3,"[1.442489562535883, 103.81670498777322]",7,7
Coba Coba,Coba Coba - Yishun Street 11 [Islandwide Delivery],"['Halal', 'Local', 'Asian', 'Islandwide Delivery', 'Same Prices In-Store']",1.4314283,103.8335283,"{'open': True, 'displayedHours': '09:30-19:15', 'sun': '09:30-19:15', 'mon': '09:30-19:15', 'tue': '09:30-19:15', 'wed': '09:30-19:15', 'thu': '09:30-19:15', 'fri': '09:30-19:15', 'sat': '09:30-19:15'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD10127/hero/07b9b7690c6f4e0d9911608a3749ef26_1580721643324507270.jpeg,4.6,"[1.4314283, 103.8335283]",7,7
White Restaurant,White Restaurant - Jalan Tampang [Islandwide Delivery],"['Chinese', 'Local', 'Seafood', 'Noodles', 'Islandwide Delivery']",1.4415646,103.8236101,"{'open': True, 'displayedHours': '10:30-20:30', 'sun': '10:30-20:30', 'mon': '10:30-20:30', 'tue': '10:30-20:30', 'wed': '10:30-20:30', 'thu': '10:30-20:30', 'fri': '10:30-20:30', 'sat': '10:30-20:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD10945/hero/75r-24bits-100kb-7fec08f9d0463f901bab63f59ce78883637c09fea7c6e9e30bbd6724cf4cfd21-ea8ed79ca7f940b59dc31683c66e0990_1564044357600049467.jpeg,4.4,"[1.4415646, 103.8236101]",7,7
Baker's Brew Studio,Baker's Brew Studio - Sembawang Garden Arcade [Islandwide Delivery],"['Bakery', 'Dessert', 'Cake', 'Snacks', 'Asian']",1.4420103445377848,103.8235802,"{'open': True, 'displayedHours': '11:00-20:45', 'sun': '11:00-20:45', 'mon': '11:00-20:45', 'tue': '11:00-20:45', 'wed': '11:00-20:45', 'thu': '11:00-20:45', 'fri': '11:00-20:45', 'sat': '11:00-20:45'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZLBTELDNEDDAT/hero/3612df555d0e487daeeed8d56879fe80_1594183065010083318.jpeg,4.6,"[1.4420103445377848, 103.8235802]",7,7
Malaysia Chiak!,Malaysia Chiak! - Northpoint City [Islandwide Delivery],"['Asian', 'Same Prices In-Store', 'Local', 'Chinese']",1.4280620753707467,103.83609663870868,"{'open': True, 'displayedHours': '10:00-20:45', 'sun': '10:00-20:45', 'mon': '10:00-20:45', 'tue': '10:00-20:45', 'wed': '10:00-20:45', 'thu': '10:00-20:45', 'fri': '10:00-20:45', 'sat': '10:00-20:45'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDWNPLCVFVVRN/hero/b2641ed97f034f2786ef02fa5a88c74d_1587886351953487944.jpeg,4.0,"[1.4280620753707467, 103.83609663870868]",7,7
Magic Wok Restaurant,Magic Wok Restaurant - Sembawang Shopping Centre [Islandwide Delivery],"['Seafood', 'Noodles', 'Chinese', 'Chicken', 'Halal']",1.441801883280277,103.82465306666668,"{'open': True, 'displayedHours': '11:00-21:30', 'sun': '11:00-21:30', 'mon': '11:00-21:30', 'tue': '11:00-21:30', 'wed': '11:00-21:30', 'thu': '11:00-21:30', 'fri': '11:00-21:30', 'sat': '11:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYVENEJYJF3EAX/hero/60ff776f7fb5494ea37830af137f6935_1564566021610077783.jpg,4.4,"[1.441801883280277, 103.82465306666668]",7,7
Aamir's Market,Aamir's Market - Yishun Street 22 [Islandwide Delivery] #01-311,"['Groceries', 'Mart', 'Fresh Produce']",1.4366529,103.8370159,"{'displayedHours': 'Closed', 'sun': '07:00-15:00', 'mon': 'Closed', 'tue': '07:00-15:00', 'wed': '07:00-15:00', 'thu': '07:00-15:00', 'fri': '07:00-15:00', 'sat': '07:00-15:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZNUBEU1G2C2HA/hero/2235cbf652e24a59b7007878658388f3_1599134321051725904.jpeg,4.8,"[1.4366529, 103.8370159]",7,7
Shah Fresh Frozen,Shah Fresh Frozen - Yishun Ring Road [Islandwide Delivery],"['Convenience', 'Groceries', 'Mart']",1.43154184,103.8286144092492,"{'displayedHours': 'Closed', 'sun': '07:00-13:30', 'mon': 'Closed', 'tue': '07:00-13:00', 'wed': '07:00-13:00', 'thu': '07:00-13:00', 'fri': '07:00-13:00', 'sat': '07:00-13:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2DYPEVFRGNURA/hero/ef44aabe685a40e695a6c7b92f7bfc80_1607571273642998473.jpeg,4.8,"[1.43154184, 103.8286144092492]",7,7
Kitchen No.8,Kitchen No.8 - Victory 8 [Islandwide Delivery],"['Chinese', 'Seafood', 'Dessert', 'Islandwide Delivery']",1.44188,103.82387726,"{'open': True, 'displayedHours': '10:00-21:30', 'sun': '10:00-21:30', 'mon': '10:00-21:30', 'tue': '10:00-21:30', 'wed': '10:00-21:30', 'thu': '10:00-21:30', 'fri': '10:00-21:30', 'sat': '10:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD00707/hero/ffe33a45edc2438e909e3cf097f6da32_1561347791978409164.jpeg,4.3,"[1.44188, 103.82387726]",7,7
Suparakki Ramen,Suparakki Ramen - Northpoint  [Islandwide Delivery],"['Local', 'Noodles', 'Japanese', 'Ramen', 'Islandwide Delivery']",1.4287515,103.83585287630557,"{'open': True, 'displayedHours': '10:30-20:20', 'sun': '10:30-20:20', 'mon': '10:30-20:20', 'tue': '10:30-20:20', 'wed': '10:30-20:20', 'thu': '10:30-20:20', 'fri': '10:30-20:20', 'sat': '10:30-20:20'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD12166/hero/02e6f5fe0f264041b5253b3c846b0de9_1599980214542833224.jpeg,4.4,"[1.4287515, 103.83585287630557]",7,7
Sichuan Chef,Sichuan Chef - Northpoint City[Islandwide Delivery],"['Asian', 'Beverages']",1.4281866871352158,103.83615666666668,"{'open': True, 'displayedHours': '11:00-21:30', 'sun': '11:00-21:30', 'mon': '11:00-21:30', 'tue': '11:00-21:30', 'wed': '11:00-21:30', 'thu': '11:00-21:30', 'fri': '11:00-21:30', 'sat': '11:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZD3VEEJGCATET/hero/bccf454a712147b28e89871e772d1e6e_1591954604539051256.png,4.2,"[1.4281866871352158, 103.83615666666668]",7,7
Xinghua Delights,Xing Hua Delights - Sembawang Garden Arcade [Islandwide Delivery],"['Chinese', 'Soup', 'Asian', 'Islandwide Delivery']",1.4413,103.82361,"{'open': True, 'displayedHours': '10:00-21:30', 'sun': '10:00-21:30', 'mon': '10:00-21:30', 'tue': '10:00-21:30', 'wed': '10:00-21:30', 'thu': '10:00-21:30', 'fri': '10:00-21:30', 'sat': '10:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2NZUEEJUAUFV2/hero/c6b03e595de14090b5629043d3c4bb7b_1619694520930738745.jpeg,5.0,"[1.4413, 103.82361]",7,7
