name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town
Lucky Seafood,Lucky Seafood - Lengkong Tiga,"['Local', 'Seafood']",1.3240633852568509,103.9105753,"{'open': True, 'displayedHours': '11:00-22:30', 'sun': '11:00-22:30', 'mon': '11:00-22:30', 'tue': '11:00-22:30', 'wed': '11:00-22:30', 'thu': '11:00-22:30', 'fri': '11:00-22:30', 'sat': '11:00-22:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYX2C3TZN6KUJN/hero/5406c9c2a55148058b62bdb316a3965f_1571907651998761206.jpeg,4.2,"[1.3240633852568509, 103.9105753]",3,10,BEDOK
Chillax Swiiitt!!,Chillax Swiiitt!! - Changi Road,"['Chicken', 'Fried Chicken', 'Pasta', 'Steak', 'Burger']",1.31880797,103.9117359,"{'displayedHours': 'Closed', 'sun': '00:00-00:30 16:00-23:59', 'mon': '00:00-00:30 17:00-23:59', 'tue': 'Closed', 'wed': '16:00-23:00', 'thu': '00:00-00:30 16:00-23:59', 'fri': '00:00-00:30 16:00-23:59', 'sat': '00:00-00:30 16:00-23:59', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2KXNKNVSFDBEA/hero/1fb7bb968d334d9f848aa5d4b9e14d98_1618626629467535028.jpeg,4.3,"[1.31880797, 103.9117359]",3,10,BEDOK
Zombie Grill,Zombie Grill - Changi Road,"['Western', 'Burger', 'Pasta']",1.3192551,103.9125182,"{'displayedHours': 'Closed', 'sun': '11:00-23:00', 'mon': '14:00-22:00', 'tue': '14:00-22:00', 'wed': '14:00-22:00', 'thu': '14:00-23:00', 'fri': '11:00-23:45', 'sat': '11:00-23:45', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZEGPA3ZLJDDCA/hero/d1ec57d601a24c409c4174cc08bac3db_1588668339719327122.jpg,4.2,"[1.3192551, 103.9125182]",3,10,BEDOK
New Sufi Barber Shop & Trading,New Sufi Barber Shop & Trading - Frankel Estate,"['Convenience', 'Mart', 'Grocery']",1.3190057,103.9146316,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '12:00-17:00', 'tue': '12:00-17:00', 'wed': '12:00-17:00', 'thu': '12:00-17:00', 'fri': 'Closed', 'sat': 'Closed'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2B2PBCBHB2WGN/hero/65637be30e874393add95f8ff8472036_1611549791878334519.jpg,5.0,"[1.3190057, 103.9146316]",3,10,BEDOK
110 Fried Bee Hoon & Spinach Soup,110 Fried Bee Hoon & Spinach Soup - Lengkong Tiga,"['Noodles', 'Chinese', 'Local', 'Soup']",1.32372,103.91094,"{'displayedHours': 'Closed', 'sun': '07:30-14:15', 'mon': '07:30-14:15', 'tue': '07:30-14:15', 'wed': '07:30-14:15', 'thu': '07:30-14:15', 'fri': '07:30-14:15', 'sat': '07:30-14:15'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2NULJVGHCCJNJ/hero/be22a336b8114132a8f1a7d85bd12497_1619152246507230088.jpg,3.0,"[1.32372, 103.91094]",3,10,BEDOK
Seng Coffee Bar,Seng Coffee Bar - Changi Road,"['Beverages', 'Local', 'Pasta', 'Steak', 'Western']",1.3187540529507942,103.91042009086874,"{'open': True, 'displayedHours': '11:00-21:00', 'sun': '09:00-21:30', 'mon': '11:00-21:30', 'tue': '11:00-21:30', 'wed': '11:00-21:30', 'thu': '11:00-21:30', 'fri': '11:00-21:30', 'sat': '09:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2KWNPCENK2JTJ/hero/0a399076f8bc44fcb686756558d2dd77_1613364653074308173.png,4.7,"[1.3187540529507942, 103.91042009086874]",3,10,BEDOK
Wingstop,Wingstop - Bedok Mall,"['Halal', 'Chicken', 'Fast Food', 'Burger', 'Western']",1.324602127075195,103.9296687,"{'open': True, 'displayedHours': '11:00-21:30', 'sun': '11:00-21:30', 'mon': '11:00-21:30', 'tue': '11:00-21:30', 'wed': '11:00-21:30', 'thu': '11:00-21:30', 'fri': '11:00-21:30', 'sat': '11:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD07543/hero/f78580fefdc14fff939ee0c7236716c1_1589179356749497321.jpeg,4.5,"[1.324602127075195, 103.9296687]",3,11,BEDOK
PastaMania,PastaMania - ESR Bizpark @ Chai Chee,"['Halal', 'Italian', 'Same Prices In-Store', 'Pasta']",1.3234393,103.92205916923922,"{'open': True, 'displayedHours': '11:00-21:30', 'sun': '11:00-21:30', 'mon': '11:00-21:30', 'tue': '11:00-21:30', 'wed': '11:00-21:30', 'thu': '11:00-21:30', 'fri': '11:00-21:30', 'sat': '11:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2EVGKCYJ7UEWA/hero/d0c6c7e223814ddaa8c3a6025eb4a7d3_1610170103286881222.jpeg,4.4,"[1.3234393, 103.92205916923922]",3,11,BEDOK
Indian Curry House,Indian Curry House - Siglap [Islandwide Delivery],"['Indian', 'Islandwide Delivery']",1.31302263,103.9263933,"{'open': True, 'displayedHours': '11:00-22:30', 'sun': '11:00-22:30', 'mon': '11:30-14:30 18:00-22:30', 'tue': '11:30-14:30 18:00-22:30', 'wed': '11:30-14:30 18:00-22:30', 'thu': '11:30-14:30 18:00-22:30', 'fri': '11:30-14:30 18:00-22:30', 'sat': '11:00-22:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD05213/hero/a1ce9f410149c6d95683bc53dbf32f80,4.2,"[1.31302263, 103.9263933]",3,11,BEDOK
LiHO Tea,LiHO Tea - Bedok Mall,"['Beverages', 'Local', 'Bubble Tea', 'Same Prices In-Store']",1.3245023333333332,103.92937994003294,"{'open': True, 'displayedHours': '10:30-22:15', 'sun': '11:00-22:15', 'mon': '11:00-22:15', 'tue': '11:00-22:15', 'wed': '11:00-22:15', 'thu': '11:00-22:15', 'fri': '11:00-22:15', 'sat': '11:00-22:15'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD05626/hero/77cefff825a843d9a3901b8238a0d48c_1621404103690515597.jpeg,4.5,"[1.3245023333333332, 103.92937994003294]",3,11,BEDOK
