name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town
Chocoelf,Chocoelf - Jurong Food Hub,"['Dessert', 'Gifts', 'Snack', 'Mart', 'Chocolate']",1.308686,103.721884,"{'open': True, 'displayedHours': '11:00-16:30', 'sun': 'Closed', 'mon': '11:00-16:30', 'tue': '11:00-16:30', 'wed': '11:00-16:30', 'thu': '11:00-16:30', 'fri': '11:00-16:30', 'sat': '11:00-16:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2MBJ3K1LNCXR2/hero/e43722893a834ce1a94cfe3a5a48ce2e_1616294376234611915.png,0.0,"[1.308686, 103.721884]",2,3,BOON LAY
 - A-One,[TEST] - A-One,"['Kids Friendly', 'Comfort Foods']",1.266722218,103.6909192,"{'open': True, 'displayedHours': '00:00-23:59', 'sun': '00:00-23:59', 'mon': '00:00-23:59', 'tue': '00:00-23:59', 'wed': '00:00-23:59', 'thu': '00:00-23:59', 'fri': '00:00-23:59', 'sat': '00:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDJJTWFC8BAAN/hero/ed23415108cf443cbef236240022b33c_1609316584543864459.jpeg,0.0,"[1.266722218, 103.6909192]",1,2,BOON LAY
 Fish & Co.,[Test] Fish & Co.,['Fish & Chips'],1.267965,103.693351,"{'open': True, 'displayedHours': '00:00-23:59', 'sun': '00:00-23:59', 'mon': '00:00-23:59', 'tue': '00:00-23:59', 'wed': '00:00-23:59', 'thu': '00:00-23:59', 'fri': '00:00-23:59', 'sat': '00:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2T2GYAJBEVFJN/hero/b02243bc1d9a41dab4e36acac5e38582_1621835390039050970.jpeg,0.0,"[1.267965, 103.693351]",1,2,BOON LAY
Don Play Play,Don Play Play - Jurong Food Hub - Catering  ,"['Catering', 'Beverages', 'Japanese']",1.30888,103.72181,"{'open': True, 'displayedHours': '08:00-17:00', 'sun': '08:00-17:00', 'mon': '08:00-17:00', 'tue': '08:00-17:00', 'wed': '08:00-17:00', 'thu': '08:00-17:00', 'fri': '08:00-17:00', 'sat': '08:00-17:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZNZCP3KGXNXA6/hero/bef624492383461786fdd37e5f5ca2e2_1599624801621684553.jpeg,0.0,"[1.30888, 103.72181]",2,3,BOON LAY
Asahi Seafood,[TEST] - Diana's Food Store (Team Testing),"['Local', 'Salad', 'Soup']",1.26802,103.69486,"{'open': True, 'displayedHours': '00:00-23:59', 'sun': '00:00-23:59', 'mon': '00:00-23:59', 'tue': '00:00-23:59', 'wed': '00:00-23:59', 'thu': '00:00-23:59', 'fri': '00:00-23:59', 'sat': '00:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYTECY3VNNC3JJ/hero/a974ac9d74d441aabb45a9cd1999a61f_1620269339226708444.jpg,0.0,"[1.26802, 103.69486]",1,2,BOON LAY
 Shake Shack,[Test] Shake Shack,"['Burger', 'Fast Food', 'Western']",1.266722218,103.6909192,"{'open': True, 'displayedHours': '00:00-23:59', 'sun': '00:00-23:59', 'mon': '00:00-23:59', 'tue': '00:00-23:59', 'wed': '00:00-23:59', 'thu': '00:00-23:59', 'fri': '00:00-23:59', 'sat': '00:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZLVCKMHNYTXNX/hero/fb13b30f07f44b1d89e621388eb3980f_1608176571645945916.jpeg,0.0,"[1.266722218, 103.6909192]",1,2,BOON LAY
 The Coffee Bean & Tea Leaf - KK Hospital,[Test] The Coffee Bean & Tea Leaf - KK Hospital,['Coffee & Tea'],1.266722218,103.6909192,"{'open': True, 'displayedHours': '10:00-20:00', 'sun': '10:00-20:00', 'mon': '10:00-20:00', 'tue': '10:00-20:00', 'wed': '10:00-20:00', 'thu': '10:00-20:00', 'fri': '10:00-20:00', 'sat': '10:00-20:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZKKR7K2JJ22NT/hero/2fed0425240a41fa8f190234f9d6206a_1620704615302955402.jpeg,0.0,"[1.266722218, 103.6909192]",1,2,BOON LAY
CBTL  Store - Classic,CBTL Test Store - Classic,"['Singaporean', 'Kids Friendly']",1.267965,103.693351,"{'open': True, 'displayedHours': '00:00-23:59', 'sun': '00:00-23:59', 'mon': '00:00-23:59', 'tue': '00:00-23:59', 'wed': '00:00-23:59', 'thu': '00:00-23:59', 'fri': '00:00-23:59', 'sat': '00:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYNANF42AEVAVA/hero/a4de9be766714496935a972417d44f85_1596008385365821067.jpeg,0.0,"[1.267965, 103.693351]",1,2,BOON LAY
Food Village,[BD] [TEST] Kimly Seafood,['Singaporean'],1.266722218,103.6909192,"{'open': True, 'displayedHours': '00:00-23:59', 'sun': '00:00-23:59', 'mon': '00:00-23:59', 'tue': '00:00-23:59', 'wed': '00:00-23:59', 'thu': '00:00-23:59', 'fri': '00:00-23:59', 'sat': '00:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYVBC2NTTGNUNN/hero/f87e70f43e2848dd8a34e1b7ab2a5f54_1609316062948506172.jpg,0.0,"[1.266722218, 103.6909192]",1,2,BOON LAY
San Seng,San Seng - Pioneer Crescent,"['Mart', 'Convenience', 'Home and Hardware']",1.3143204,103.6944905,"{'displayedHours': 'Closed', 'sun': '08:30-13:00', 'mon': '08:30-17:30', 'tue': '08:30-17:30', 'wed': '08:30-17:30', 'thu': '08:30-17:30', 'fri': '08:30-17:30', 'sat': '08:30-13:00', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJTT3BDUCBAGT/hero/d81308cdd8494e21b2cd8c21f13434f5_1611549817619472075.jpg,0.0,"[1.3143204, 103.6944905]",3,2,BOON LAY
