Unnamed: 0,name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town,website
111,Yuan Ji Roasted Delights,Yuan Ji Roasted Delights - Bukit Purmei Road,"['Local', 'Chinese']",1.2740054,103.82572212666663,"{'open': True, 'displayedHours': '09:00-19:00', 'sun': '09:00-19:00', 'mon': '09:00-19:00', 'tue': '09:00-19:00', 'wed': '09:00-19:00', 'thu': '09:00-19:00', 'fri': '09:00-19:00', 'sat': '09:00-19:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJAGJLCJJNZEX/hero/62776861c74d41a4bb1c6497311308ab_1610688964800611813.png,3.8,"[1.2740054, 103.82572212666663]",1,7,BUKIT MERAH,https://www.facebook.com/yuanjiCR/
115,Nature Vegetarian Cuisine,Nature Vegetarian Cuisine - Bukit Purmei Road,"['Local', 'Vegetarian']",1.2747494,103.8263985,"{'open': True, 'displayedHours': '09:00-14:00 15:00-19:50', 'sun': '09:00-14:00 15:00-19:50', 'mon': 'Closed', 'tue': '09:00-14:00 15:00-19:50', 'wed': '09:00-14:00 15:00-19:50', 'thu': '09:00-14:00 15:00-19:50', 'fri': '09:00-14:00 15:00-19:50', 'sat': '09:00-14:00 15:00-19:50'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZAZL2UCCJCVVT/hero/973e5d90143a4f4b865745746c75cab3_1581988882310270950.jpeg,4.6,"[1.2747494, 103.8263985]",1,7,BUKIT MERAH,https://naturevegedelights.oddle.me/
119,The Pup's Boutique,The Pup's Boutique - Silat Avenue,"['Asian', 'Bakery & Cake', 'Coffee & Tea', 'Pasta', 'Pet Food']",1.27722,103.83106,"{'open': True, 'displayedHours': '11:00-19:00', 'sun': '11:00-19:00', 'mon': 'Closed', 'tue': 'Closed', 'wed': '11:00-19:00', 'thu': '11:00-19:00', 'fri': '11:00-19:00', 'sat': '11:00-19:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TTNJMYDCJUR2/hero/44173c4a5d6945339e9538b37889ebec_1621125135249179328.jpeg,0.0,"[1.27722, 103.83106]",1,7,BUKIT MERAH,https://www.instagram.com/thepupsboutique/?hl=en
126,Each A Cup,Each A Cup - Jalan Bukit Merah,"['Beverages', 'Bubble Tea']",1.27766882756842,103.830874898148,"{'open': True, 'displayedHours': '10:00-21:30', 'sun': '10:00-21:30', 'mon': '10:00-21:30', 'tue': '10:00-21:30', 'wed': '10:00-21:30', 'thu': '10:00-21:30', 'fri': '10:00-21:30', 'sat': '10:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TBE261CY5UJN/hero/66c34d573c2b482f9a5f8f6c0ae004cf_1620179783030855276.jpeg,5.0,"[1.27766882756842, 103.830874898148]",1,7,BUKIT MERAH,http://www.each-a-cup.com/
135,Char Grill Bar,Char Grill Bar - Telok Blangah Crescent,"['Pasta', 'Seafood', 'Western']",1.277410313,103.8200689,"{'open': True, 'displayedHours': '11:00-22:00', 'sun': '11:00-22:00', 'mon': '11:00-22:00', 'tue': '11:00-22:00', 'wed': '11:00-22:00', 'thu': '11:00-22:00', 'fri': '11:00-22:00', 'sat': '11:00-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2KKE8CECNCBDE/hero/f0d8b24d2765414a8e2ff0f9b6e0c3a9_1612939825903475482.png,3.9,"[1.277410313, 103.8200689]",1,7,BUKIT MERAH,https://www.chargrillbar.com.sg/outlets/
137,Yi Jia Feng Wei,Yi Jia Feng Wei - Bukit Permei Ville,"['Chinese', 'Local', 'Seafood', 'Asian']",1.2740044,103.8258309511766,"{'open': True, 'displayedHours': '12:05-21:45', 'sun': '12:05-21:45', 'mon': '12:05-21:45', 'tue': '12:05-21:45', 'wed': '12:05-21:45', 'thu': '12:05-21:45', 'fri': '12:05-21:45', 'sat': '12:05-21:45'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZNKRKBYKB4HN6/hero/80e5787e2daa4ed8afebf827cca7624b_1600486538452456103.jpeg,4.3,"[1.2740044, 103.8258309511766]",1,7,BUKIT MERAH,https://www.foodpanda.sg/restaurant/v2ak/yi-jia-feng-wei-tze-char-yi-jia-feng-wei-zhu-chao-choa-chu-kang-street-51
139,Jalan Tua Kong Ya Lim Mee Pok,Jalan Tua Kong Ya Lim Mee Pok - Telok Blangah Crescent,"['Chinese', 'Noodles']",1.277626309689893,103.81970780919528,"{'open': True, 'displayedHours': '00:00-23:59', 'sun': '00:00-23:59', 'mon': '00:00-23:59', 'tue': '00:00-23:59', 'wed': '00:00-23:59', 'thu': '00:00-23:59', 'fri': '00:00-23:59', 'sat': '00:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZA3ETTFKEEXR2/hero/f68a24c7dca24e23956fd39e12babf51_1583304531434486265.jpeg,4.1,"[1.277626309689893, 103.81970780919528]",1,7,BUKIT MERAH,https://www.facebook.com/AhLimMeePok/
145,Wang Nasi Lemak Kukus,Wang Nasi Lemak Kukus - Safra Clubhouse (Mount Faber),"['Asian', 'Local', 'Halal']",1.2775795714285714,103.81737056572383,"{'open': True, 'displayedHours': '08:00-19:00', 'sun': '08:00-19:00', 'mon': '08:00-19:00', 'tue': '08:00-19:00', 'wed': '08:00-19:00', 'thu': '08:00-19:00', 'fri': '08:00-19:00', 'sat': '08:00-19:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2EHTKNTR3LDR2/hero/fc84d063be3642b19bf2b2ecb4619b00_1609343230335375079.jpeg,4.3,"[1.2775795714285714, 103.81737056572383]",1,7,BUKIT MERAH,https://wang-nasi-lemak-kukus-mt-faber.whyq.sg/
157,Sip N' Lick,Sip N' Lick - Bukit Purmei Ville,"['Beverages', 'Bubble Tea']",1.2739849901474,103.82540756169,"{'open': True, 'displayedHours': '12:00-20:30', 'sun': '12:00-20:30', 'mon': '12:00-20:30', 'tue': '12:00-20:30', 'wed': '12:00-20:30', 'thu': '12:00-20:30', 'fri': '12:00-20:30', 'sat': '12:00-20:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TYV35APENYWE/hero/ca49c5a59550443394713399b4874ee7_1621596760825619947.jpg,3.0,"[1.2739849901474, 103.82540756169]",1,7,BUKIT MERAH,https://www.instagram.com/sipnlick.sg/?hl=en
164,Xin Hao Wei Seafood,Xin Hao Wei Seafood - Kim Tian Vista,"['Asian', 'Chinese', 'Seafood']",1.280718000580091,103.8281216235294,"{'open': True, 'displayedHours': '11:30-21:50', 'sun': '11:30-21:50', 'mon': '11:30-21:50', 'tue': '11:30-21:50', 'wed': '11:30-21:50', 'thu': '11:30-21:50', 'fri': '11:30-21:50', 'sat': '11:30-21:50'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZMHCB53JNKKMA/hero/c5b1aa1ac93547e3be41b93e9e702cbb_1599983056920281651.jpeg,4.6,"[1.280718000580091, 103.8281216235294]",1,7,BUKIT MERAH,https://www.foodpanda.sg/restaurant/s2ue/xin-hao-wei-seafood-fish-head-steamboat-bukit-merah
