name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town
Pizzaboy,Pizzaboy - Junction 10 [Islandwide Delivery],"['Western', 'Pizza', 'Halal', 'Islandwide Delivery']",1.3808244102889518,103.76017317238755,"{'open': True, 'displayedHours': '11:00-22:22', 'sun': '11:00-21:25', 'mon': '11:00-21:25', 'tue': '11:00-21:25', 'wed': '11:00-21:25', 'thu': '11:00-21:25', 'fri': '11:00-22:22', 'sat': '11:00-22:22'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD12123/hero/16x9_Pizza_Boy_-Hero_Shot_Compressed.jpg,4.3,"[1.3808244102889518, 103.76017317238755]",5,5,BUKIT PANJANG
Sushi Deli,Sushi Deli - Bukit Panjang Plaza [Islandwide Delivery],"['Japanese', 'Sushi', 'Asian', 'Islandwide Delivery']",1.3803242316666666,103.76403928,"{'open': True, 'displayedHours': '10:00-19:50', 'sun': '10:00-19:50', 'mon': '10:00-19:45', 'tue': '10:00-19:45', 'wed': '10:00-19:45', 'thu': '10:00-19:45', 'fri': '10:00-19:45', 'sat': '10:00-19:50'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD07415/hero/b55d85bad34149808eb450ce5908f86c_1570622385414722703.jpeg,4.5,"[1.3803242316666666, 103.76403928]",5,5,BUKIT PANJANG
Ajumma's,Ajumma's - Jelebu Road [Islandwide Delivery],"['Korean', 'Japanese', 'Asian', 'Islandwide Delivery']",1.3799399024275516,103.76417665016464,"{'open': True, 'displayedHours': '11:30-21:30', 'sun': '11:30-21:30', 'mon': '11:30-21:30', 'tue': '11:30-21:30', 'wed': '11:30-21:30', 'thu': '11:30-21:30', 'fri': '11:30-21:30', 'sat': '11:30-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD02247/hero/ba26fb56096a2feee373d162de4a1e78-w550-8a.jpg,4.3,"[1.3799399024275516, 103.76417665016464]",5,5,BUKIT PANJANG
Tsing Cheng Mala,Tsing Cheng Mala - Bukit Panjang Road[Islandwide Delivery],"['Steamboat', 'Asian', 'Chinese']",1.3812918500000002,103.7645642,"{'open': True, 'displayedHours': '10:00-21:30', 'sun': '10:00-21:30', 'mon': '10:00-21:30', 'tue': '10:00-21:30', 'wed': '10:00-21:30', 'thu': '10:00-21:30', 'fri': '10:00-21:30', 'sat': '10:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZCBAACXJ6AJNT/hero/8b3520de13f4477f97252a095b6826fd_1589798367128952913.jpeg,3.9,"[1.3812918500000002, 103.7645642]",5,5,BUKIT PANJANG
Beans Party Dessert,Beans Party Dessert - Hillion Mall [Islandwide Delivery],"['Beverages', 'Bubble Tea', 'Dessert', 'Ice Cream', 'Western']",1.3781837,103.7626282,"{'open': True, 'displayedHours': '00:00-01:00 11:00-23:59', 'sun': '00:00-01:00 11:00-23:59', 'mon': '11:00-22:00', 'tue': '11:00-22:00', 'wed': '11:00-22:00', 'thu': '00:00-01:00 11:00-23:59', 'fri': '00:00-01:00 11:00-23:59', 'sat': '00:00-01:00 11:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJVJCMTMEVXWA/hero/2243702da7264958a2616b85da4bafb7_1603342084617805530.jpeg,4.3,"[1.3781837, 103.7626282]",5,5,BUKIT PANJANG
Xing Fu Tang,Xing Fu Tang - Hillion Mall [Islandwide Delivery],"['Local', 'Bubble Tea', 'Beverages', 'Pastries', 'Chinese']",1.3780869,103.7626971,"{'open': True, 'displayedHours': '11:00-21:30', 'sun': '11:00-21:30', 'mon': '11:00-21:30', 'tue': '11:00-21:30', 'wed': '11:00-21:30', 'thu': '11:00-21:30', 'fri': '11:00-21:30', 'sat': '11:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CY6AJ3XHGPL3A2/hero/623b2e6f96684e3589b329d0854ccee6_1578368669402989299.jpeg,4.6,"[1.3780869, 103.7626971]",5,5,BUKIT PANJANG
Napolizz Pizza Delivery,Napolizz Pizza Delivery - Bukit Panjang ,"['Italian', 'Same Prices In-Store', 'Pizza']",1.3773416576809474,103.7637641082206,"{'open': True, 'displayedHours': '11:30-22:30', 'sun': '11:30-22:30', 'mon': '11:30-14:00 17:30-22:30', 'tue': '11:30-14:00 17:30-22:30', 'wed': '11:30-14:00 17:30-22:30', 'thu': '11:30-14:00 17:30-22:30', 'fri': '11:30-14:00 17:30-22:30', 'sat': '11:30-22:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZATPEEVTYK1RN/hero/ccb8e561b96949d0af8e083199148040_1581399976618580317.jpeg,4.2,"[1.3773416576809474, 103.7637641082206]",5,5,BUKIT PANJANG
The Soup Spoon Union,The Soup Spoon Union - Hillion Mall ,"['Soup', 'Salad', 'Healthy']",1.3784108,103.7636957,"{'open': True, 'displayedHours': '11:00-21:00', 'sun': '11:00-21:00', 'mon': '11:00-21:00', 'tue': '11:00-21:00', 'wed': '11:00-21:00', 'thu': '11:00-21:00', 'fri': '11:00-21:00', 'sat': '11:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZLXCEKEEN41LJ/hero/b38869702ab743b99b4a7525e01ddfe8_1612146855769303077.jpeg,3.9,"[1.3784108, 103.7636957]",5,5,BUKIT PANJANG
Kim San Leng (Bukit Panjang New Town),Kim San Leng (Bukit Panjang New Town) - Mix & Match,"['Local', 'Chinese', 'Seafood', 'Nasi Lemak']",1.3768609426613885,103.77329436666668,"{'open': True, 'displayedHours': '00:00-23:59', 'sun': '00:00-23:59', 'mon': '00:00-23:59', 'tue': '00:00-23:59', 'wed': '00:00-23:59', 'thu': '00:00-23:59', 'fri': '00:00-23:59', 'sat': '00:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZLHWGCAEULVEA/hero/7778b1624c1a4b1e8e846bb0f78d4b7d_1599100698604462807.jpeg,4.3,"[1.3768609426613885, 103.77329436666668]",5,5,BUKIT PANJANG
Long John Silver's,Long John Silver's - Hillion Mall,"['Fast Food', 'Chicken', 'Seafood', 'Japanese', 'Halal']",1.3783188,103.76356029510497,"{'displayedHours': 'Closed', 'sun': '08:00-21:30', 'mon': '08:00-21:30', 'tue': '08:00-21:30', 'wed': '08:00-21:30', 'thu': '08:00-21:30', 'fri': '08:00-21:30', 'sat': '08:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD01738/hero/f4d3e1ee67734ecdac9e5ed3f6d8ea65_1618371506817567314.jpeg,4.2,"[1.3783188, 103.76356029510497]",5,5,BUKIT PANJANG
Soon Western Food Ayam Goreng,Soon Western Food Ayam Goreng - Bukit Panjang Community Club,"['Local', 'Western', 'Halal', 'Same Prices In-Store']",1.3764907,103.77040809362926,"{'displayedHours': 'Closed', 'sun': '12:30-22:30', 'mon': '12:30-22:30', 'tue': '12:30-22:30', 'wed': '12:30-22:30', 'thu': '12:30-22:30', 'fri': '12:30-22:30', 'sat': '12:30-22:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZCUCCACRAVFGJ/hero/894dadfb8da24797bec0a1f57391e15d_1585110806182544729.jpg,4.4,"[1.3764907, 103.77040809362926]",5,5,BUKIT PANJANG
Golden Rooster,Golden Rooster - Bukit Panjang New Town,"['Western', 'Pasta']",1.3770315,103.773174,"{'displayedHours': 'Closed', 'sun': '12:30-21:30', 'mon': '12:30-21:30', 'tue': '12:30-21:30', 'wed': '12:30-21:30', 'thu': '12:30-21:30', 'fri': '12:30-21:30', 'sat': '12:30-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZNFVCBZG6DTJE/hero/cd66a0abed2f4142afa4154a0b1e1166_1598596617979963214.jpeg,4.3,"[1.3770315, 103.773174]",5,5,BUKIT PANJANG
My Briyani House,My Briyani House - Hillion Mall,"['Indian', 'Halal']",1.3783996623334789,103.763685100722,"{'displayedHours': 'Closed', 'sun': '11:00-21:00', 'mon': '11:00-21:00', 'tue': '11:00-21:00', 'wed': '11:00-21:00', 'thu': '11:00-21:00', 'fri': '11:00-21:00', 'sat': '11:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYXJUE5JEYUZVN/hero/48fa907a702e45d28063ba79945dd41f_1578306945951624355.jpeg,4.2,"[1.3783996623334789, 103.763685100722]",5,5,BUKIT PANJANG
