name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town
Vicky's & The Coffee Shack,Vicky's & The Coffee Shack - Bukit TImah Plaza [Islandwide Delivery],"['Western', 'Beverages', 'Dessert', 'Bakery', 'Islandwide Delivery']",1.3387837887285547,103.77878862877488,"{'open': True, 'displayedHours': '09:30-19:00', 'sun': 'Closed', 'mon': '09:30-19:00', 'tue': '09:30-19:00', 'wed': '09:30-19:00', 'thu': '09:30-19:00', 'fri': '09:30-19:00', 'sat': '09:30-19:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD01250/hero/upload-photo-Hero_Photo_cc50f4e4dd1a40618654e5575c9275e4_1556090098170976785.png,4.4,"[1.3387837887285547, 103.77878862877488]",4,5,BUKIT TIMAH
Times,Times - Cold Storage Jelita,"['Mart', 'Books', 'Gifts']",1.3178132914260792,103.78584580000002,"{'open': True, 'displayedHours': '10:00-20:30', 'sun': '10:00-20:30', 'mon': '10:00-20:30', 'tue': '10:00-20:30', 'wed': '10:00-20:30', 'thu': '10:00-20:30', 'fri': '10:00-20:30', 'sat': '10:00-20:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZEUT3UCT6XZV6/hero/55fa41d03ad34719a652bde67a57d161_1589191117596961985.png,5.0,"[1.3178132914260792, 103.78584580000002]",3,6,BUKIT TIMAH
PizzaExpress,PizzaExpress - Holland Village [Islandwide Delivery],"['Pizza', 'Italian', 'Pasta', 'Kids Friendly', 'Islandwide Delivery']",1.3113028557210775,103.79565669491296,"{'open': True, 'displayedHours': '11:30-21:00', 'sun': '11:30-21:00', 'mon': '11:30-21:00', 'tue': '11:30-21:00', 'wed': '11:30-21:00', 'thu': '11:30-21:00', 'fri': '11:30-21:00', 'sat': '11:30-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2NYAYEGRGAWGE/hero/d47d8a7295a841aaacde8ed8354c600b_1619519306549649745.jpeg,3.1,"[1.3113028557210775, 103.79565669491296]",3,6,BUKIT TIMAH
La Nonna,La Nonna - Holland Village [Islandwide Delivery],"['Pasta', 'Pizza', 'Salad', 'Italian', 'Eco-Friendly']",1.3115133,103.79477696784012,"{'open': True, 'displayedHours': '11:00-21:00', 'sun': '11:00-21:00', 'mon': '11:00-21:00', 'tue': '11:00-21:00', 'wed': '11:00-21:00', 'thu': '11:00-21:00', 'fri': '11:00-21:00', 'sat': '11:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD00721/hero/b29efe5618434b68a0b3c919fbd6af5d_1562315316504870979.jpeg,4.3,"[1.3115133, 103.79477696784012]",3,6,BUKIT TIMAH
Da Paolo Pizza Bar,Da Paolo Pizza Bar - Jalan Merah Saga [Islandwide Delivery],"['Pizza', 'Pasta', 'Italian', 'Breakfast & Brunch', 'Western']",1.311868,103.7969972,"{'open': True, 'displayedHours': '11:00-21:45', 'sun': '11:00-21:45', 'mon': '11:00-14:00 17:00-21:45', 'tue': '11:00-14:00 17:00-21:45', 'wed': '11:00-14:00 17:00-21:45', 'thu': '11:00-14:00 17:00-21:45', 'fri': '11:00-14:00 17:00-21:45', 'sat': '11:00-21:45'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD01452/hero/42054866b668310d789f4a1d2e4a66db,3.8,"[1.311868, 103.7969972]",3,6,BUKIT TIMAH
Trattoria Capri,Trattoria Capri - Binjai Park [Islandwide Delivery],"['Western', 'Indian', 'Italian', 'Pizza', 'Islandwide Delivery']",1.335722948425762,103.7865454,"{'open': True, 'displayedHours': '11:00-21:30', 'sun': '11:00-21:30', 'mon': 'Closed', 'tue': '11:00-21:30', 'wed': '11:00-21:30', 'thu': '11:00-21:30', 'fri': '11:00-21:30', 'sat': '11:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD10358/hero/f48cfa15cd5248d3bf4abe8593c044ac_1597458918931520176.jpeg,4.5,"[1.335722948425762, 103.7865454]",3,6,BUKIT TIMAH
Lino,Lino - Binjai Park [Islandwide Delivery],"['Italian', 'Pasta', 'Pizza', 'Islandwide Delivery']",1.3357188740355233,103.78669244,"{'open': True, 'displayedHours': '11:00-20:40', 'sun': '11:00-20:40', 'mon': '11:00-20:40', 'tue': '11:00-20:40', 'wed': '11:00-20:40', 'thu': '11:00-20:40', 'fri': '11:00-20:40', 'sat': '11:00-20:40'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZLAVTKZWAJ2J2/hero/94b2e32de4d342daa94c361157341b44_1594096950708047706.jpeg,4.3,"[1.3357188740355233, 103.78669244]",3,6,BUKIT TIMAH
Atlas Coffeehouse,Atlas Coffeehous - 6 Duke's Road [Islandwide Delivery],"['Beverages', 'Breakfast & Brunch', 'Pasta', 'Western', 'Islandwide Delivery']",1.3229912,103.8121207330787,"{'open': True, 'displayedHours': '08:00-18:15', 'sun': '08:00-18:15', 'mon': '08:00-18:15', 'tue': '08:00-18:15', 'wed': '08:00-18:15', 'thu': '08:00-18:15', 'fri': '08:00-18:15', 'sat': '08:00-18:15'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD01349/hero/5fc5b0bf83a14e63934debebf33e5616_1596526468277605734.jpeg,4.6,"[1.3229912, 103.8121207330787]",3,7,BUKIT TIMAH
Rubato,Rubato - Greenwood Ave [Islandwide Delivery],"['Italian', 'Breakfast', 'Islandwide Delivery', 'Pizza']",1.3311167,103.8070562,"{'open': True, 'displayedHours': '00:00-23:59', 'sun': '00:00-23:59', 'mon': '00:00-23:59', 'tue': '00:00-23:59', 'wed': '00:00-23:59', 'thu': '00:00-23:59', 'fri': '00:00-23:59', 'sat': '00:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD00974/hero/be17b8e9e2cf4240ac44a95e4ceab78c_1588739350262430342.jpeg,4.2,"[1.3311167, 103.8070562]",3,6,BUKIT TIMAH
Relish by Wild Rocket,Relish by Wild Rocket - Cluny Court [Islandwide Delivery],"['Burger', 'Islandwide Delivery', 'Western', 'Cold Brew', 'Eco-Friendly']",1.3226371500000005,103.8144839,"{'open': True, 'displayedHours': '09:00-20:55', 'sun': '09:00-20:55', 'mon': '11:00-20:55', 'tue': '11:00-20:55', 'wed': '11:00-20:55', 'thu': '11:00-20:55', 'fri': '11:00-20:55', 'sat': '09:00-20:55'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD01009/hero/upload-photo-Hero_Photo_b8700a52d67d4a4ebbdc87fbfd098e10_1555058969439480995.jpeg,4.4,"[1.3226371500000005, 103.8144839]",3,7,BUKIT TIMAH
