name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town
Lai Huat Signatures,Lai Huat Signatures - China Street [Islandwide Delivery],"['Asian', 'Chinese', 'Local', 'Seafood', 'Singaporean']",1.2835,103.84766191166698,"{'displayedHours': 'Closed', 'sun': '11:30-14:00 17:00-21:00', 'mon': '11:30-14:00 17:00-21:00', 'tue': '11:30-14:00 17:00-21:00', 'wed': '11:30-14:00 17:00-21:00', 'thu': '11:30-14:00 17:00-21:00', 'fri': '11:30-14:00 17:00-21:00', 'sat': '11:30-14:00 17:00-21:00', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2JKKAJFAUKDKA/hero/eafb1c81152444e7b8cd88a7dde7b1e4_1611731017884703245.png,0.0,"[1.2835, 103.84766191166698]",2,8,CENTRAL AREA
Lucky Cafe,Lucky Cafe - North Canal Road [Islandwide Delivery],"['Coffee', 'Tea', 'Asian', 'Local']",1.2863515,103.8484951,"{'displayedHours': 'Closed', 'sun': '00:00-04:00 18:00-23:59', 'mon': '00:00-04:00 08:00-23:59', 'tue': '00:00-04:00 08:00-23:59', 'wed': '00:00-04:00 08:00-23:59', 'thu': '00:00-04:00 08:00-23:59', 'fri': '00:00-04:00 08:00-23:59', 'sat': '00:00-04:00 18:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDWARLXDBJYKE/hero/67a9ec9da44e49aa8e7042e8a9dff860_1588835556299839244.jpeg,4.3,"[1.2863515, 103.8484951]",2,8,CENTRAL AREA
Pagi Sore,Pagi Sore - Far East Square [Islandwide Delivery],"['Asian', 'Islandwide Delivery', 'Halal', 'Indonesian']",1.2826444759405575,103.84868297282372,"{'displayedHours': 'Closed', 'sun': '11:00-14:15 17:00-19:00', 'mon': '11:00-14:15 17:00-19:00', 'tue': '11:00-14:15 17:00-19:00', 'wed': '11:00-14:15 17:00-19:00', 'thu': '11:00-14:15 17:00-19:00', 'fri': '11:00-14:15 17:00-19:00', 'sat': '11:00-14:15 17:00-19:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYLTMAVDV7BHTT/hero/5cdc0c5c360f492a956e8e57f6fd50fd_1599384196916221776.jpeg,4.3,"[1.2826444759405575, 103.84868297282372]",1,8,CENTRAL AREA
Cluck Republic,Cluck Republic - Circular Road [Islandwide Delivery],"['Chicken Rice', 'Asian', 'Halal', 'Muslim']",1.2858159999999998,103.8493663,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '11:30-14:30', 'tue': '11:30-14:30', 'wed': '11:30-14:30', 'thu': '11:30-14:30', 'fri': '11:30-14:30', 'sat': 'Closed'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZCVVAEVAP3XTJ/hero/0bea2594870a44a2bda090f532445dce_1614243263248922392.jpeg,4.5,"[1.2858159999999998, 103.8493663]",2,8,CENTRAL AREA
L'Entrecote The Steak and Fries Bistro (Customs House),L'Entrecôte The Steak & Fries Bistro (Customs House) [Islandwide Delivery],"['French', 'Islandwide Delivery']",1.2827285,103.85312195838029,"{'displayedHours': 'Closed', 'sun': '11:00-21:30', 'mon': '11:00-21:30', 'tue': '12:00-14:30 18:00-21:30', 'wed': '12:00-14:30 18:00-21:30', 'thu': '12:00-14:30 18:00-21:30', 'fri': '12:00-14:30 18:00-22:30', 'sat': '18:00-22:30', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZBCEJMCSELFAT/hero/c70fbf4fdce7434caf1c36ded4490fa7_1582514280812302355.jpeg,2.6,"[1.2827285, 103.85312195838029]",1,8,CENTRAL AREA
Grain Traders,Grain Traders - Capitagreen [Islandwide Delivery],"['Healthy', 'Salad', 'Ready To Eat', 'Islandwide Delivery']",1.281821,103.850302,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '08:00-10:00 11:00-15:45', 'tue': '08:00-10:00 11:00-15:45', 'wed': '08:00-10:00 11:00-15:45', 'thu': '08:00-10:00 11:00-15:45', 'fri': '08:00-10:00 11:00-15:45', 'sat': 'Closed'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2MERY61VCACVN/hero/7f362f9db82744f48a7592e531e142f4_1616489497389880432.jpeg,0.0,"[1.281821, 103.850302]",1,8,CENTRAL AREA
Kazbar,Kazbar -  Capital Square  ,"['Middle Eastern', 'Alcoholic Beverages', 'Vegetarian Friendly', 'Chicken', 'Seafood']",1.283799045,103.8485447,"{'displayedHours': 'Closed', 'sun': '11:30-14:30 16:45-21:00', 'mon': 'Closed', 'tue': '11:30-14:30 16:45-21:00', 'wed': '11:30-14:30 16:45-21:00', 'thu': '11:30-14:30 16:45-21:00', 'fri': '11:30-14:30 16:45-21:00', 'sat': '16:45-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDDEKAWAAAZLN/hero/c624061eef734d0596c77117d3a2f108_1586322416680736622.jpg,4.5,"[1.283799045, 103.8485447]",2,8,CENTRAL AREA
Seriously Coffee,Seriously Coffee - Clifford Centre [Islandwide Delivery],"['Beverages', 'Breakfast & Brunch', 'Coffee & Tea']",1.283857,103.8521282,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '08:30-16:45', 'tue': '08:30-16:45', 'wed': '08:30-16:45', 'thu': '08:30-16:45', 'fri': '08:30-16:45', 'sat': 'Closed'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2LKC4NWJ64UTA/hero/2244f0e125b9440a8ddd84c6115a1ad6_1614930902998781192.jpeg,3.7,"[1.283857, 103.8521282]",2,8,CENTRAL AREA
Free The Robot,Free The Robot - Telok Ayer Street [Islandwide Delivery],"['Coffee & Tea', 'Western', 'Islandwide Delivery']",1.2820106,103.848149,"{'open': True, 'displayedHours': '09:30-20:30', 'sun': '09:30-20:30', 'mon': '09:30-20:30', 'tue': '09:30-20:30', 'wed': '09:30-20:30', 'thu': '09:30-20:30', 'fri': '09:30-20:30', 'sat': '09:30-20:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TXVB2VKCNFHA/hero/a6cdc5fc0a7d45bda59b0d732ba02cf1_1621563195004709598.jpeg,0.0,"[1.2820106, 103.848149]",1,8,CENTRAL AREA
Fill A Pita,Fill A Pita - China Square Central ,"['Middle Eastern', 'Vegetarian Friendly']",1.283872724704067,103.84774356496789,"{'open': True, 'displayedHours': '11:00-22:00', 'sun': '11:00-20:00', 'mon': '11:00-20:00', 'tue': '11:00-20:00', 'wed': '11:00-22:00', 'thu': '11:00-22:00', 'fri': '11:00-22:00', 'sat': '11:00-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJVL7TEABWFLA/hero/5ab4d4bc0a4549a18af079fe1674844e_1591257608278745983.jpg,3.4,"[1.283872724704067, 103.84774356496789]",2,8,CENTRAL AREA
