Unnamed: 0,name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town,website
811,Rosso Vino,Rosso Vino - Merbau Road [Islandwide Delivery],"['Pasta', 'Alcohol', 'Pizza', 'Italian']",1.2910096,103.84191193001664,"{'open': True, 'displayedHours': '11:30-23:59', 'sun': '11:30-23:59', 'mon': '11:30-23:59', 'tue': '11:30-23:59', 'wed': '11:30-23:59', 'thu': '11:30-23:59', 'fri': '11:30-23:59', 'sat': '11:30-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD00949/hero/bfa213c580834a1f9d33d0cb0527be7d_1621852898808229054.jpeg,4.0,"[1.2910096, 103.84191193001664]",2,8,CLARKE QUAY,https://rossovinosingapore.com/
819,Shunjuu Izakaya,Shunjuu Izakaya - Riverside View [Islandwide Delivery],"['Japanese cuisine', 'Asian', 'Same Prices In-Store', 'Japanese', 'Islandwide Delivery']",1.2910697478150577,103.8410478,"{'open': True, 'displayedHours': '11:00-19:30', 'sun': '11:00-19:30', 'mon': '11:00-19:30', 'tue': '11:00-19:30', 'wed': '11:00-19:30', 'thu': '11:00-19:30', 'fri': '11:00-19:30', 'sat': '11:00-19:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJ1TGAGVVDGGA/hero/f1ab0eb8a4134ca9a9c560a68b3fc1d4_1592298178067729797.png,5.0,"[1.2910697478150577, 103.8410478]",2,8,CLARKE QUAY,https://www.shunjuu.com/menu.html
1013,Old Seng Choong,Old Seng Choong - The Central [Islandwide Delivery],"['Dessert', 'Snack', 'Bakery', 'Islandwide Delivery']",1.2893338450941974,103.84675818934252,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': 'Closed', 'tue': '19:29-19:30', 'wed': 'Closed', 'thu': 'Closed', 'fri': 'Closed', 'sat': 'Closed'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD07542/hero/Old_Seng_Choong_Hero_960X540.jpg,3.3,"[1.2893338450941974, 103.84675818934252]",2,8,CLARKE QUAY,https://www.oldsengchoong.com/
1047,George Town Tze Char And Craft Beer,George Town Tze Char And Craft Beer - Boat Quay [Islandwide Delivery],"['Asian', 'Chinese', 'Malaysian', 'Seafood', 'Thai']",1.28843709,103.849151,"{'displayedHours': 'Closed', 'sun': '10:45-14:30 16:00-22:30', 'mon': '10:45-14:30 16:00-22:30', 'tue': '10:45-14:30 16:00-22:30', 'wed': '10:45-14:30 16:00-22:30', 'thu': '10:45-14:30 16:00-22:30', 'fri': '10:45-14:30 16:00-22:30', 'sat': '10:45-14:30 16:00-22:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TCWAECAGL3LT/hero/9dbcf1e054654fd181c20679f240d306_1620361329366073155.jpeg,0.0,"[1.28843709, 103.849151]",2,8,CLARKE QUAY,https://www.chope.co/singapore-restaurants/restaurant/george-town-tze-char-craft-beer?lang=en_US
1054,Hack It Seafood,Hack It Seafood - The Riverwalk [Islandwide Delivery],['Seafood'],1.28928190006512,103.84830684276228,"{'displayedHours': 'Closed', 'sun': '11:00-13:58 17:00-20:58', 'mon': '11:00-13:58 17:00-20:58', 'tue': '11:00-13:58 17:00-20:58', 'wed': '11:00-13:58 17:00-20:58', 'thu': '11:00-13:58 17:00-20:58', 'fri': '11:00-13:58 17:00-20:58', 'sat': '11:00-13:58 17:00-20:58'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2L3NKVDLJNUKE/hero/b4d08477cf324f81865dae7cf45fe16e_1618911487015384736.jpeg,4.6,"[1.28928190006512, 103.84830684276228]",2,8,CLARKE QUAY,https://hackitseafood.com.sg/
1084,Tandoori Zaika,Tandoori Zaika - 70 Boat Quay [Islandwide Delivery],"['Indian', 'Chicken']",1.2879324,103.849367,"{'displayedHours': 'Closed', 'sun': '11:15-15:00 17:00-22:30', 'mon': '11:15-15:00 17:00-22:00', 'tue': '11:15-15:00 17:00-22:00', 'wed': '11:15-15:00 17:00-22:00', 'thu': '11:15-15:00 17:00-22:00', 'fri': '11:15-15:00 17:30-22:30 23:00-23:59', 'sat': '11:15-15:00 17:30-22:30', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZD3LRMAWEKVLJ/hero/554cc5288b4042408373b2f36db52f4c_1588044199084529223.jpeg,4.6,"[1.2879324, 103.849367]",2,8,CLARKE QUAY,https://www.tandoorizaika.sg/
1134,Shu Yan Sichuan Cuisine,Shu Yan Sichuan Cuisine - River Valley Road [Islandwide Delivery],"['Chinese', 'Islandwide Delivery']",1.2934538,103.841764,"{'displayedHours': 'Closed', 'sun': '10:30-15:00 16:30-21:05', 'mon': '10:45-14:55 16:30-21:05', 'tue': '10:45-14:55 16:30-21:05', 'wed': '10:45-14:55 16:30-21:05', 'thu': '10:45-14:55 16:30-21:05', 'fri': '10:45-14:55 16:30-21:05', 'sat': '10:30-15:00 16:30-21:05'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD09837/hero/7d968b1047134c50a10ada668e5f7366_1598167341547331195.jpeg,4.3,"[1.2934538, 103.841764]",2,8,CLARKE QUAY,https://www.shuyan.sg/
1138,Thunderbird Bistro,Thunderbird Bistro - Robertson Walk ,"['Burger', 'Pasta', 'Pizza', 'Western']",1.291762044240793,103.84147294,"{'displayedHours': 'Closed', 'sun': '15:00-22:30', 'mon': '15:00-22:30', 'tue': '15:00-22:30', 'wed': '15:00-22:30', 'thu': '15:00-22:30', 'fri': '15:00-22:30', 'sat': '15:00-22:30', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZNFLNBYWA32L6/hero/a8c433bb39fb4bc1b51a11490b3643a4_1598581203638520170.jpeg,0.0,"[1.291762044240793, 103.84147294]",2,8,CLARKE QUAY,https://www.instagram.com/thunderbirdbistrosg/?hl=en
1148,Violet Oon Satay Bar & Grill,Violet Oon Satay Bar & Grill - Clarke Quay [Islandwide Delivery],"['Local', 'Islandwide Delivery', 'Peranakan', 'Same Prices In-Store']",1.2912812,103.84582201,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '18:00-21:00', 'tue': '18:00-21:00', 'wed': '18:00-21:00', 'thu': '18:00-21:00', 'fri': '18:00-21:00', 'sat': '18:00-21:00', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDBLNA1AZBZEX/hero/5818fec94ca8460898eb28494935af02_1610169828874957019.jpeg,4.6,"[1.2912812, 103.84582201]",2,8,CLARKE QUAY,https://violetoon.com/wp-content/uploads/2020/06/vo-cq-menu-200604.pdf
1157,Amo Restaurant,Amo Restaurant - Hong Kong Street [Islandwide Delivery],"['Western', 'Islandwide Delivery']",1.287652,103.847255,"{'displayedHours': 'Closed', 'sun': '11:30-14:00 17:30-21:00', 'mon': '11:30-14:00 17:30-21:00', 'tue': '11:30-14:00 17:30-21:00', 'wed': '11:30-14:00 17:30-21:00', 'thu': '11:30-14:00 17:30-21:00', 'fri': '11:30-14:00 17:30-21:00', 'sat': '11:30-14:00 17:30-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYNKN8BGGGK3EJ/hero/c8a9371151b54259b949c54ba25c2ab8_1565843530658412550.jpeg,4.1,"[1.287652, 103.847255]",2,8,CLARKE QUAY,https://www.amorestaurant.sg/
