name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town
Waa Cow!,Waa Cow! - NUS [Islandwide Delivery],"['Islandwide Delivery', 'Same Prices In-Store', 'Japanese']",1.3047846,103.77247957058825,"{'open': True, 'displayedHours': '12:00-19:45', 'sun': '12:00-19:45', 'mon': '11:30-19:45', 'tue': '11:30-19:45', 'wed': '11:30-19:45', 'thu': '11:30-19:45', 'fri': '11:30-19:45', 'sat': '12:00-19:45'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD05734/hero/upload-photo-Hero_Photo_2d3a73cd6cb547e188212eea47290397_1555990865579303246.jpeg,4.7,"[1.3047846, 103.77247957058825]",2,5,CLEMENTI
Prata Alley,Prata Alley - Clementi Avenue 3[Islandwide Delivery],"['Noodles', 'Western', 'Local', 'Indian', 'Islandwide Delivery']",1.3121373,103.7651698,"{'open': True, 'displayedHours': '07:30-22:50', 'sun': '07:30-22:50', 'mon': '07:30-22:50', 'tue': '07:30-22:50', 'wed': '07:30-22:50', 'thu': '07:30-22:50', 'fri': '07:30-22:50', 'sat': '07:30-22:50'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD00917/hero/a421e3a0e4410387bbf66f2a546b3554-w550-bd.jpg,4.4,"[1.3121373, 103.7651698]",3,5,CLEMENTI
Bober Tea,Bober Tea - Clementi Avenue 3 ,"['Bubble Tea', 'Coffee', 'Tea', 'Islandwide Delivery']",1.313867,103.764387,"{'open': True, 'displayedHours': '11:00-21:30', 'sun': '11:00-21:30', 'mon': '11:00-21:30', 'tue': '11:00-21:30', 'wed': '11:00-21:30', 'thu': '11:00-21:30', 'fri': '11:00-21:30', 'sat': '11:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2CVL24URZD3LX/hero/a83bae19cf5d438ebf3fa874f646a6cc_1605265517971348827.jpeg,4.6,"[1.313867, 103.764387]",3,5,CLEMENTI
Bobo Fishball,Bobo Fishball - Pandan Loop,"['Mart', 'Groceries', 'Seafood', 'Halal']",1.3121458,103.7503546,"{'open': True, 'displayedHours': '12:00-16:00', 'sun': '12:00-16:00', 'mon': '09:00-15:00', 'tue': '09:00-15:00', 'wed': '09:00-15:00', 'thu': '09:00-15:00', 'fri': '09:00-15:00', 'sat': '12:00-16:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDJLFLKLKTFME/hero/e42479a0220246be9756b15ed90fa0cc_1611539961900164339.jpg,4.0,"[1.3121458, 103.7503546]",3,4,CLEMENTI
Market Boy,Market Boy - West Coast Market Square (Next Day Delivery),"['Fresh Meat & Poultry', 'Groceries', 'Fresh Market', 'Islandwide Delivery', 'Fresh Produce']",1.303086355,103.7631928,"{'open': True, 'displayedHours': '00:00-23:59', 'sun': '09:00-16:00', 'mon': 'Closed', 'tue': '08:00-16:00', 'wed': '00:00-23:59', 'thu': '00:00-23:59', 'fri': '00:00-23:59', 'sat': '00:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZKKEBTAEJEWNX/hero/93b842f886c04c4b81c9a968512f092f_1622375213591904276.png,4.3,"[1.303086355, 103.7631928]",2,5,CLEMENTI
Exotic Fresh,Exotic Fresh - NEWest ,"['Groceries', 'Frozen Food', 'Fresh Produce', 'Mart', 'Islandwide Delivery']",1.3157999101029,103.757560306503,"{'open': True, 'displayedHours': '00:00-23:59', 'sun': '00:00-23:59', 'mon': '00:00-23:59', 'tue': '00:00-23:59', 'wed': '00:00-23:59', 'thu': '00:00-23:59', 'fri': '00:00-23:59', 'sat': '00:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2T2LB61T22KTA/hero/0dd5a709ce454786b158ceb5642c9eee_1621918248812869220.jpeg,0.0,"[1.3157999101029, 103.757560306503]",3,4,CLEMENTI
Rasel Catering Singapore,Rasel Catering Singapore - Pandan Loop - Catering ,"['Asian', 'International', 'Catering', 'Halal']",1.312231575,103.7506621,"{'open': True, 'displayedHours': '11:00-15:30', 'sun': '11:00-15:30', 'mon': '11:00-15:30', 'tue': '11:00-15:30', 'wed': '11:00-15:30', 'thu': '11:00-15:30', 'fri': '11:00-15:30', 'sat': '11:00-15:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZCVT4KHVB2UNJ/hero/bf2f187377804687aed6ca7bccae85e6_1585286931493521459.jpg,5.0,"[1.312231575, 103.7506621]",3,4,CLEMENTI
Let's Eat,Boleh Boleh - The Clementi Mall [Islandwide Delivery],"['Local', 'Noodles']",1.3150839054704164,103.76470666204062,"{'open': True, 'displayedHours': '10:00-21:00', 'sun': '10:00-21:00', 'mon': '10:00-21:00', 'tue': '10:00-21:00', 'wed': '10:00-21:00', 'thu': '10:00-21:00', 'fri': '10:00-21:00', 'sat': '10:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDDC36CRXUAKA/hero/0d2de52a769747c3859306ce4cf20f69_1614242216062123789.jpeg,3.7,"[1.3150839054704164, 103.76470666204062]",3,5,CLEMENTI
The Meatery,The Meatery - Sunset Way [Islandwide Delivery],"['Mart', 'Frozen Food', 'Fresh Produce']",1.323462,103.767902,"{'open': True, 'displayedHours': '10:00-17:30', 'sun': '10:00-15:30', 'mon': 'Closed', 'tue': 'Closed', 'wed': '10:00-14:30', 'thu': '10:00-17:30', 'fri': '10:00-17:30', 'sat': '10:00-17:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2LDCJ62NGCBRE/hero/3439d56531dd4f65ac76335704b3e1eb_1615220310666191308.png,5.0,"[1.323462, 103.767902]",3,5,CLEMENTI
Common Grill,Common Grill - Clementi Ave 4 [Islandwide Delivery],"['Western', 'Pasta', 'Chicken', 'Seafood', 'Islandwide Delivery']",1.3209372518238107,103.76704224470228,"{'open': True, 'displayedHours': '10:30-21:30', 'sun': '10:30-21:30', 'mon': '10:30-21:30', 'tue': '10:30-21:30', 'wed': '10:30-21:30', 'thu': '10:30-21:30', 'fri': '10:30-21:30', 'sat': '10:30-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD11806/hero/d166473fae6b4c4a8689c7504d9381d7_1621507682223945413.jpeg,4.5,"[1.3209372518238107, 103.76704224470228]",3,5,CLEMENTI
