Unnamed: 0,name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town,website
0,Texas Chicken,Texas Chicken - VivoCity,"['Western', 'Fast Food', 'Halal', 'Chicken', 'Beverages']",1.2647917455551152,103.82210285559164,"{'open': True, 'displayedHours': '10:30-21:30', 'sun': '10:30-21:30', 'mon': '10:30-21:15', 'tue': '10:30-21:15', 'wed': '10:30-21:15', 'thu': '10:30-21:15', 'fri': '10:30-21:15', 'sat': '10:30-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD01085/hero/1ce95a3ecd694fc08a9ccfe7bc0fad49_1615965648324330056.jpeg,3.8,"[1.2647917455551152, 103.82210285559164]",1,7,HARBOURFRONT,https://sg.texaschicken.com/
1,Subway,Subway - Vivocity,"['Healthy', 'Sandwiches', 'Fast Food', 'Halal', 'Western']",1.2647407805011284,103.82207197855752,"{'open': True, 'displayedHours': '12:00-19:00', 'sun': '12:00-19:00', 'mon': '12:00-19:00', 'tue': '12:00-19:00', 'wed': '12:00-19:00', 'thu': '12:00-19:00', 'fri': '12:00-19:00', 'sat': '12:00-19:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYTDLPUJEP53N6/hero/601bd8a969624330a58204fee4dc617f_1576205922749088805.png,4.2,"[1.2647407805011284, 103.82207197855752]",1,7,HARBOURFRONT,https://www.subway.com/en-SG
2,LiHO Tea,LiHO Tea - Vivo City,"['Same Prices In-Store', 'Beverages', 'Local', 'Bubble Tea']",1.2643088376947134,103.82136934828549,"{'open': True, 'displayedHours': '11:30-20:45', 'sun': '11:30-20:45', 'mon': '11:30-20:45', 'tue': '11:30-20:45', 'wed': '11:30-20:45', 'thu': '11:30-20:45', 'fri': '11:30-20:45', 'sat': '11:30-20:45'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD05605/hero/2954c2461dce4cf09564c9d79a23216f_1621404666252708876.jpeg,4.5,"[1.2643088376947134, 103.82136934828549]",1,7,HARBOURFRONT,https://royaltgroup.com/our-brands/liho.html
3,Wingstop,Wingstop - VivoCity,"['Halal', 'Chicken', 'Fast Food', 'Burger', 'Western']",1.263526797990238,103.8217115875525,"{'open': True, 'displayedHours': '11:00-21:00', 'sun': '11:00-21:00', 'mon': '11:00-21:00', 'tue': '11:00-21:00', 'wed': '11:00-21:00', 'thu': '11:00-21:00', 'fri': '11:00-21:00', 'sat': '11:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD07548/hero/9909969e0e2249e2bb30b2e21003dc46_1589179310844775300.jpeg,4.4,"[1.263526797990238, 103.8217115875525]",1,7,HARBOURFRONT,https://www.wingstop.com.sg/
4,Le Shrimp Ramen,Le Shrimp Ramen - Vivocity,"['Japanese', 'Ramen', 'Noodles', 'Asian']",1.2648103241394182,103.82255383456544,"{'open': True, 'displayedHours': '10:30-21:00', 'sun': '11:00-21:30', 'mon': '11:00-21:30', 'tue': '11:00-21:30', 'wed': '11:00-21:30', 'thu': '11:00-21:30', 'fri': '11:00-21:30', 'sat': '11:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CY2ZLZLTT2EDJ2/hero/0c78f9a87d07496198f02c6a1aece491_1571977544778060259.jpeg,4.6,"[1.2648103241394182, 103.82255383456544]",1,7,HARBOURFRONT,https://www.chope.co/singapore-restaurants/restaurant/le-shrimp-ramen-plaza-singapura?lang=en_US
5,Heytea,HEYTEA Vivo City [Islandwide Delivery],"['Beverages', 'Bubble Tea', 'Coffee & Tea', 'Dessert']",1.2638843019529418,103.82220139872652,"{'open': True, 'displayedHours': '11:00-22:00', 'sun': '11:00-22:00', 'mon': '12:00-21:20', 'tue': '12:00-21:20', 'wed': '12:00-21:30', 'thu': '12:00-21:20', 'fri': '11:00-21:50', 'sat': '11:00-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2L2AKNYEENBVX/hero/42b723d17d2a4fcdb77dbe69cb249bdb_1622077801337550098.jpeg,4.6,"[1.2638843019529418, 103.82220139872652]",1,7,HARBOURFRONT,https://www.instagram.com/heyteasg/?hl=en
6,Burger King,Burger King - VivoCity,"['American', 'Burger', 'Halal']",1.2637407934423948,103.82135428346544,"{'open': True, 'displayedHours': '09:00-21:45', 'sun': '10:30-21:45', 'mon': '10:30-21:45', 'tue': '10:30-21:45', 'wed': '10:30-21:45', 'thu': '10:30-21:45', 'fri': '10:30-21:45', 'sat': '09:00-21:45'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CY3TEKXEVCN1J6/hero/435363c9a4bf4ef7b7a8a5438189b106_1622520952960529649.jpeg,4.1,"[1.2637407934423948, 103.82135428346544]",1,7,HARBOURFRONT,https://www.burgerking.com.sg/
7,Egg Stop,Egg Stop - VivoCity,"['Breakfast & Brunch', 'Korean', 'Sandwiches', 'Western']",1.264835440027852,103.82178452887324,"{'open': True, 'displayedHours': '10:30-21:00', 'sun': '10:30-21:00', 'mon': '10:30-21:00', 'tue': '10:30-21:00', 'wed': '10:30-21:00', 'thu': '10:30-21:00', 'fri': '10:30-21:00', 'sat': '10:30-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2NXGNCCHBXCE2/hero/501b8183d29f421c9968690b4b3ceeaa_1619487769279219226.jpeg,3.5,"[1.264835440027852, 103.82178452887324]",1,7,HARBOURFRONT,https://www.instagram.com/eggstopsg/?hl=en
8,Shake Shack,Shake Shack - Vivo City,"['Burger', 'Same Prices In-Store', 'Western']",1.2636821011513175,103.82110697510365,"{'open': True, 'displayedHours': '10:00-21:30', 'sun': '10:00-21:30', 'mon': '10:00-21:30', 'tue': '10:00-21:30', 'wed': '10:00-21:30', 'thu': '10:00-21:30', 'fri': '10:00-21:30', 'sat': '10:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2DCC7TVE3WWGT/hero/462915c7004a4b90ab1cb05c999cf41d_1621217833894152914.jpeg,4.5,"[1.2636821011513175, 103.82110697510365]",1,7,HARBOURFRONT,https://www.shakeshack.co.uk/
9,R&B Tea,R&B Tea - VivoCity,"['Local', 'Bubble Tea', 'Same Prices In-Store', 'Tea']",1.264914327677218,103.82275306605396,"{'open': True, 'displayedHours': '11:00-21:00', 'sun': '11:00-21:00', 'mon': '11:00-21:00', 'tue': '11:00-21:00', 'wed': '11:00-21:00', 'thu': '11:00-21:00', 'fri': '11:00-21:00', 'sat': '11:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2CZN3VCUGJYC6/hero/7fdacdb55d784daba5dc86c63f5d2001_1605679986906434291.jpeg,4.7,"[1.264914327677218, 103.82275306605396]",1,7,HARBOURFRONT,https://rbtea.com.sg/
