name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town
Siriwan Thai Restaurant,Siriwan Thai Restaurant - Golden Mile Complex [Islandwide Delivery],"['Thai', 'Seafood', 'Islandwide Delivery']",1.302784,103.8651825,"{'open': True, 'displayedHours': '00:00-23:59', 'sun': '00:00-23:59', 'mon': '00:00-23:59', 'tue': '00:00-23:59', 'wed': '00:00-23:59', 'thu': '00:00-23:59', 'fri': '00:00-23:59', 'sat': '00:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CY31A76FSBEZCA/hero/9dfcbc4b9764465abbbdefe5c446c77d_1573712091191155120.jpeg,4.2,"[1.302784, 103.8651825]",2,9,KALLANG
Golden Mile Food Center - Beta,Golden Mile Food Centre,"['Local', 'Chinese', 'Indian', 'Satay', 'Soup']",1.3031283,103.8639906,"{'open': True, 'displayedHours': '09:00-22:00', 'sun': '08:00-22:00', 'mon': '08:30-22:00', 'tue': '08:30-22:00', 'wed': '09:00-22:00', 'thu': '09:00-22:00', 'fri': '09:00-22:00', 'sat': '09:00-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZM1E25TG6TFRN/hero/1d92323f086c4297ba498220284dd485_1622134455762413727.jpeg,4.3,"[1.3031283, 103.8639906]",2,8,KALLANG
Cheers (FairPrice Xpress),Cheers (FairPrice Xpress) - Concourse Skyline,"['Mart', 'Groceries', 'Beverages', 'Convenience']",1.3009904,103.8615801,"{'open': True, 'displayedHours': '07:00-22:00', 'sun': '07:00-22:00', 'mon': '07:00-22:00', 'tue': '07:00-22:00', 'wed': '07:00-22:00', 'thu': '07:00-22:00', 'fri': '07:00-22:00', 'sat': '07:00-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2JDLJTERBUHV6/hero/ea498c5d220b4ee0ae5961b5693bb227_1621875390428229542.jpg,5.0,"[1.3009904, 103.8615801]",2,8,KALLANG
Hui Xin Foods,Hui Xin Foods - City Gate,"['Asian', 'Chinese', 'Frozen Food']",1.302139,103.8624063,"{'open': True, 'displayedHours': '11:00-18:00', 'sun': '11:00-18:00', 'mon': '11:00-18:00', 'tue': '11:00-18:00', 'wed': '11:00-18:00', 'thu': '11:00-18:00', 'fri': '11:00-18:00', 'sat': '11:00-18:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2ECVKTKGUDJMA/hero/02df39a3edd74c618bc35b51b5c563b1_1611546613566753359.jpg,0.0,"[1.302139, 103.8624063]",2,8,KALLANG
Raw Kitchen Bar,Raw Kitchen Bar - Kallang Rivergreen Building,"['Breakfast & Brunch', 'Western']",1.306116,103.866142,"{'open': True, 'displayedHours': '11:30-21:00', 'sun': '11:30-21:00', 'mon': 'Closed', 'tue': 'Closed', 'wed': 'Closed', 'thu': '17:30-21:00', 'fri': '17:30-21:00', 'sat': '11:30-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TYTKTETTWVV2/hero/06434cb1b7974d86a115696c49691b98_1621669557079891743.jpeg,0.0,"[1.306116, 103.866142]",2,9,KALLANG
Cicheti,Cicheti - Kandahar Street [Islandwide Delivery],"['Islandwide Delivery', 'Italian']",1.3017644410826634,103.860125,"{'open': True, 'displayedHours': '11:30-21:30', 'sun': '12:00-14:00 18:00-21:00', 'mon': '12:00-14:00 18:00-21:00', 'tue': '12:00-14:00 18:00-21:00', 'wed': '12:00-14:00 18:00-21:00', 'thu': '12:00-14:00 18:00-21:00', 'fri': '12:00-14:00 18:00-21:00', 'sat': '12:00-14:00 18:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDDDGJHJ7XWLT/hero/c76706367e9841ed9bd1aa74217d1670_1586405955033785148.png,4.6,"[1.3017644410826634, 103.860125]",2,8,KALLANG
Try Fresh Xo Seafood,Try Fresh Xo Seafood - Sultan Plaza,"['Seafood', 'Chinese', 'Noodles']",1.30316254,103.8614917,"{'open': True, 'displayedHours': '10:00-20:00', 'sun': '10:00-20:00', 'mon': 'Closed', 'tue': '10:00-20:00', 'wed': '10:00-20:00', 'thu': '10:00-20:00', 'fri': '10:00-20:00', 'sat': '10:00-20:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYWJV2BYGZBXJX/hero/dfb8d2e7ae634172b937a90d0ab7de1e_1586759073102445371.png,5.0,"[1.30316254, 103.8614917]",2,8,KALLANG
Starbucks,Starbucks - Kallang Wave,"['Beverages', 'Snack', 'Coffee', 'Bakery', 'Tea']",1.3026382,103.8734681,"{'open': True, 'displayedHours': '08:00-21:00', 'sun': '08:00-21:00', 'mon': '08:00-21:00', 'tue': '08:00-21:00', 'wed': '08:00-21:00', 'thu': '08:00-21:00', 'fri': '08:00-21:00', 'sat': '08:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD11392/hero/2a5c28654dc349308f0ea555c5e118db_1618365215457215465.jpeg,4.3,"[1.3026382, 103.8734681]",2,9,KALLANG
A-One Claypot House,A-One Claypot House - The Sports Hub,"['Chinese', 'Asian', 'Porridge', 'Local', 'Chicken']",1.3035779,103.8724646,"{'open': True, 'displayedHours': '10:30-21:27', 'sun': '10:30-21:27', 'mon': '10:30-21:27', 'tue': '10:30-21:27', 'wed': '10:30-21:27', 'thu': '10:30-21:27', 'fri': '10:30-21:27', 'sat': '10:30-21:27'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD02748/hero/bbf03f7ad7d8496188e836d61dfbd0c0_1621218591529159000.jpeg,4.2,"[1.3035779, 103.8724646]",2,9,KALLANG
Kokonoka Ryori,Kokonoka Ryori - North Bridge Road,['Japanese'],1.30530033,103.86270806666668,"{'open': True, 'displayedHours': '11:00-21:15', 'sun': '10:00-21:00', 'mon': '11:00-21:15', 'tue': '11:00-21:15', 'wed': '11:00-21:15', 'thu': '11:00-21:15', 'fri': '11:00-21:15', 'sat': '11:00-21:15'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2DJWFVDL7B1JJ/hero/f7799be6cdbb497ab1560ca25ca614be_1609924030039874164.jpeg,5.0,"[1.30530033, 103.86270806666668]",2,8,KALLANG
