Unnamed: 0,name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town,website
1022,Famous Treasure,Famous Treasure - Capitol Singapore [Islandwide Delivery],"['Chinese', 'Asian', 'Islandwide Delivery']",1.2930263,103.8510841,"{'displayedHours': 'Closed', 'sun': '11:30-14:30 18:00-21:00', 'mon': '11:30-14:30 18:00-21:00', 'tue': '11:30-14:30 18:00-21:00', 'wed': '11:30-14:30 18:00-21:00', 'thu': '11:30-14:30 18:00-21:00', 'fri': '11:30-14:30 18:00-21:00', 'sat': '11:30-14:30 18:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZD2VP5UFA6EL2/hero/fbf092a07e034f669a65747e2f7ad9cb_1620012446618301434.jpeg,3.7,"[1.2930263, 103.8510841]",2,8,MUSEUM,http://www.thefamoustreasure.com/
1027,Flutes,Flutes - The National Museum [Islandwide Delivery],"['Sandwiches', 'Pasta', 'Salad', 'Islandwide Delivery']",1.2967671613333334,103.84873635,"{'displayedHours': 'Closed', 'sun': '11:00-15:00', 'mon': 'Closed', 'tue': 'Closed', 'wed': 'Closed', 'thu': 'Closed', 'fri': 'Closed', 'sat': 'Closed', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZCTGJEFGGM1J2/hero/3ef97510777540c8947d9640024cfbd4_1585623032956172428.jpeg,4.4,"[1.2967671613333334, 103.84873635]",2,8,MUSEUM,https://flutes.com.sg/
1097,Etch&Bolts,Etch&Bolts - Zubir Said Drive,"['Convenience', 'Local', 'Singaporean', 'Mart', 'Home & Living']",1.2996936988042265,103.84861799706862,"{'displayedHours': 'Closed', 'sun': '11:00-11:01', 'mon': 'Closed', 'tue': 'Closed', 'wed': 'Closed', 'thu': 'Closed', 'fri': 'Closed', 'sat': 'Closed'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2LYG24AJKDAMA/hero/c13546a93bea44c6bd9b39b560ac965d_1615729036105690178.jpeg,0.0,"[1.2996936988042265, 103.84861799706862]",2,8,MUSEUM,https://www.etchandbolts.com/
2180,Bistro Milan,Bistro Milan - Purvis Street,"['Italian', 'Pasta', 'Seafood', 'Western']",1.29626069786319,103.855415541734,"{'open': True, 'displayedHours': '00:00-02:00 10:30-23:59', 'sun': '00:00-02:00 10:30-23:59', 'mon': '00:00-02:00 10:30-23:59', 'tue': '00:00-02:00 10:30-23:59', 'wed': '00:00-02:00 10:30-23:59', 'thu': '00:00-02:00 10:30-23:59', 'fri': '00:00-02:00 10:30-23:59', 'sat': '00:00-02:00 10:30-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TYRFCDTLKXNX/hero/2f1d7e0dbc664840b87080b2a71e72bf_1621571443934803654.jpg,0.0,"[1.29626069786319, 103.855415541734]",2,8,MUSEUM,https://bistro-milan.business.site/
2300,MilkFish,MilkFish - Raffles City Shopping Centre,"['Asian', 'Seafood', 'Soup']",1.29409801826073,103.852674726355,"{'open': True, 'displayedHours': '11:00-20:00', 'sun': '11:00-20:00', 'mon': '11:00-20:00', 'tue': '11:00-20:00', 'wed': '11:00-20:00', 'thu': '11:00-20:00', 'fri': '11:00-20:00', 'sat': '11:00-20:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2UBVRJZTN4KAX/hero/f04b6b34ce4a40ada34963e9a7b3392b_1622610405058871016.jpeg,0.0,"[1.29409801826073, 103.852674726355]",2,8,MUSEUM,https://www.milkfish.sg/
2926,Saizeriya,Saizeriya - The Cathay,['Western'],1.2993535,103.84778826598,"{'open': True, 'displayedHours': '11:00-21:00', 'sun': '11:00-21:00', 'mon': '11:00-21:00', 'tue': '11:00-21:00', 'wed': '11:00-21:00', 'thu': '11:00-21:00', 'fri': '11:00-21:00', 'sat': '11:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZEAR4NUSBVUEX/hero/e52e58a1ccb04ea6ba760bb0947d2cb9_1619605530175371500.jpeg,4.2,"[1.2993535, 103.84778826598]",2,8,MUSEUM,https://www.saizeriya.com.sg/
2949,The Assembly Ground,The Assembly Ground - The Cathay [Islandwide Delivery],"['Breakfast & Brunch', 'Islandwide Delivery', 'Same Prices In-Store', 'Western', 'Cold Brew']",1.299308585714286,103.84781141196711,"{'open': True, 'displayedHours': '11:15-20:15', 'sun': '11:15-20:15', 'mon': '11:15-20:15', 'tue': '11:15-20:15', 'wed': '11:15-20:15', 'thu': '11:15-20:15', 'fri': '11:15-20:15', 'sat': '11:15-20:15'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD05692/hero/ab6dbfaa8ded4955ae6b88cdeb67f0e1_1621270235639287107.jpeg,4.5,"[1.299308585714286, 103.84781141196711]",2,8,MUSEUM,https://www.theassemblyground.com/
2978,Ajumma's,Ajumma's - Cathay Building - Catering ,"['Korean', 'Catering']",1.299623,103.847612,"{'open': True, 'displayedHours': '10:00-22:00', 'sun': '10:00-22:00', 'mon': '10:00-22:00 23:00-23:59', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '11:45-21:30', 'sat': '10:00-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZCVCTKVNZBCDA/hero/d29071dda88242b88b085a9ced99e7d8_1585214135949839240.jpg,1.7,"[1.299623, 103.847612]",2,8,MUSEUM,https://www.ajummassg.com/
2982,Cafe Aux Bacchanales,Cafe Aux Bacchanales - Plaza Singapura,"['French', 'Western']",1.299499498,103.84583606,"{'open': True, 'displayedHours': '10:00-21:30', 'sun': '10:00-21:30', 'mon': '10:00-21:30', 'tue': '10:00-21:30', 'wed': '10:00-21:30', 'thu': '10:00-21:30', 'fri': '10:00-21:30', 'sat': '10:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2T2EXVJE8DTT2/hero/345442b88f5649c5b3d57c3d99a24183_1621825248373189331.jpg,0.0,"[1.299499498, 103.84583606]",2,8,MUSEUM,https://www.instagram.com/auxbacchanalessg/?hl=en
2986,Cajun On Wheels,Cajun On Wheels - Plaza Singapura,"['Seafood', 'Western']",1.2997694217391305,103.84524455555557,"{'open': True, 'displayedHours': '12:00-20:00', 'sun': '12:00-20:00', 'mon': '12:00-20:00', 'tue': '12:00-20:00', 'wed': '12:00-20:00', 'thu': '12:00-20:00', 'fri': '12:00-20:00', 'sat': '12:00-20:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD00379/hero/Cajun_On_Wheels_GroupShot_960X540.jpg,4.2,"[1.2997694217391305, 103.84524455555557]",2,8,MUSEUM,https://www.cajunonwheels.com/
