Unnamed: 0,name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town,website
1012,Mia Tavola,Mia Tavola - One Dusun Residences ,"['Dessert', 'Italian', 'Islandwide Delivery']",1.32731100389451,103.84374463219744,"{'displayedHours': 'Closed', 'sun': '11:00-15:00', 'mon': 'Closed', 'tue': 'Closed', 'wed': '09:00-16:00', 'thu': '09:00-16:00', 'fri': '09:00-16:00', 'sat': '09:00-16:00', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2AGCEVJERCWR2/hero/7ba4cf6c4b2644358c0a562635376d77_1601630907128099813.jpeg,5.0,"[1.32731100389451, 103.84374463219744]",3,8,NOVENA,https://mia-tavola.com/
3770,168 Mookata,168 Mookata - Cambridge Road,"['Asian', 'BBQ', 'Seafood', 'Thai']",1.3153,103.84941,"{'displayedHours': 'Closed', 'sun': '17:00-22:00', 'mon': 'Closed', 'tue': '17:00-22:00', 'wed': '17:00-22:00', 'thu': '17:00-22:00', 'fri': '17:00-22:00', 'sat': '17:00-22:00', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2T2JFMGLTBCL6/hero/09221be7afc044aca048b9ccfe5a4be4_1621841566627556735.jpg,0.0,"[1.3153, 103.84941]",3,8,NOVENA,https://www.instagram.com/168_mookata/?hl=en
4056,7 Tavern,7 Tavern - Goldhill Plaza,"['Fast Food', 'Pasta', 'Snack']",1.318375,103.8425210584922,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '17:00-23:00', 'tue': 'Closed', 'wed': 'Closed', 'thu': 'Closed', 'fri': 'Closed', 'sat': 'Closed', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CY6TTGD2VBC3R2/hero/ac56167194fd497bb488bd6f8347d47f_1579081881877070991.jpg,5.0,"[1.318375, 103.8425210584922]",3,8,NOVENA,https://menus.sg/7-tavern-novena/menu/
4062,Pizza Addiction,Pizza Addiction - Goldhill Plaza,"['Italian', 'Pizza']",1.31862305,103.8426452,"{'displayedHours': 'Closed', 'sun': '12:00-21:30', 'mon': 'Closed', 'tue': '12:00-21:30', 'wed': '12:00-21:30', 'thu': '12:00-21:30', 'fri': '12:00-21:30', 'sat': '12:00-21:30', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDHT7J2TKN2VE/hero/b16eea0eeab74dd2927ab8ca1afc9934_1586851821811637202.jpeg,3.3,"[1.31862305, 103.8426452]",3,8,NOVENA,https://www.foodadvisor.com.sg/restaurant/pizza-addiction/
4127,Chui Huay Lim Teochew Cuisine,Chui Huay Lim Teochew Cuisine - Chui Huay Lim Club [Islandwide Delivery],"['Asian', 'Seafood', 'Chinese', 'Islandwide Delivery']",1.313822,103.84155752084504,"{'displayedHours': 'Closed', 'sun': '11:30-14:00 17:30-21:00', 'mon': '11:30-14:00 17:30-21:00', 'tue': '11:30-14:00 17:30-21:00', 'wed': '11:30-14:00 17:30-21:00', 'thu': '11:30-14:00 17:30-21:00', 'fri': '11:30-14:00 17:30-21:00', 'sat': '11:30-14:00 17:30-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD00407/hero/upload-photo-Hero_Photo_be3e8245a05c4dbcb9533b0a0bac511a_1554958797375284916.jpeg,4.6,"[1.313822, 103.84155752084504]",3,8,NOVENA,https://chuihuaylim.zui-teochewcuisine.com/en/home
4134,The Clueless Goat,The Clueless Goat - Goldhill Shopping Centre [Islandwide Delivery],"['Breakfast', 'Breakfast & Brunch', 'Western', 'Pasta', 'Islandwide Delivery']",1.3186689462686845,103.8436226,"{'displayedHours': 'Closed', 'sun': '08:00-16:00', 'mon': '08:00-16:00', 'tue': '08:00-16:00', 'wed': '08:00-16:00', 'thu': '08:00-16:00', 'fri': '08:00-16:00', 'sat': '08:00-16:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDEEVBGJCMYT2/hero/d6312d8d7f5741f0a823d29bf5e0788d_1586430082160969949.png,4.5,"[1.3186689462686845, 103.8436226]",3,8,NOVENA,https://www.instagram.com/thecluelessgoat/
4137,Dr Haach,Dr Haach - Novena Specialist Center,"['Mart', 'Health & Wellness', 'Wellness']",1.3203787,103.8447412,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '10:00-14:00 16:00-20:00', 'tue': '10:00-14:00 16:00-20:00', 'wed': '10:00-14:00 16:00-20:00', 'thu': '10:00-14:00 16:00-20:00', 'fri': '10:00-14:00 16:00-20:00', 'sat': '10:00-14:00 16:00-20:00', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJBEA2EVNWETN/hero/9f3dd27908bf4f75a4868223249ed905_1590122486030468519.jpeg,0.0,"[1.3203787, 103.8447412]",3,8,NOVENA,https://drhaach.com/
4350,Wang Bu Liao Chinese Restaurant,Wang Bu Liao Chinese Restaurant - Jalan Rajah ,"['Chinese', 'Grill', 'Seafood']",1.3267147,103.84740205,"{'open': True, 'displayedHours': '00:00-23:59', 'sun': '00:00-23:59', 'mon': '00:00-23:59', 'tue': '00:00-23:59', 'wed': '00:00-23:59', 'thu': '00:00-23:59', 'fri': '00:00-23:59', 'sat': '00:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZEWNEEBCNBDVT/hero/f014492ef3e644cc961d71de31832738_1589361084921395766.jpg,1.9,"[1.3267147, 103.84740205]",3,8,NOVENA,https://deliveroo.com.sg/menu/singapore/jalan-besar/wang-bu-liao-kelantan-lane
4369,Haji Alauddin Kebab & Grill Corner @ Indian/Arabic/Lebanese Cuisine Near to Scotts Road,Haji Alauddin Kebab & Grill Corner @ Indian/Arabic/Lebanese Cuisine Near to Scotts Road - Goldhill Shopping Centre ,"['Indian', 'Western', 'Middle Eastern', 'Kebabs', 'Islandwide Delivery']",1.31811,103.84408,"{'open': True, 'displayedHours': '00:00-05:00 09:00-23:59', 'sun': '00:00-05:00 09:00-23:59', 'mon': '00:00-05:00 09:00-23:59', 'tue': '00:00-05:00 09:00-23:59', 'wed': '00:00-05:00 09:00-23:59', 'thu': '00:00-05:00 09:00-23:59', 'fri': '00:00-05:00 09:00-23:59', 'sat': '00:00-05:00 09:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2NEL4JEN3E3GN/hero/8df2ae3ebcc94e2bbef6ed104f26a9ee_1618466761573274129.jpeg,2.2,"[1.31811, 103.84408]",3,8,NOVENA,http://aladdin-kebabs-wraps-grill.com/contact-us/
4376,The London Curry House @Scotts Road Modern Indian Restaurant,The London Curry House @Scotts Road Modern Indian Restaurant - Goldhill Shopping Centre ,"['Indian', 'Kebabs', 'BBQ', 'Islandwide Delivery']",1.31811,103.84408,"{'open': True, 'displayedHours': '00:00-05:00 09:00-23:59', 'sun': '00:00-05:00 09:00-23:59', 'mon': '00:00-05:00 09:00-23:59', 'tue': '00:00-05:00 09:00-23:59', 'wed': '00:00-05:00 09:00-23:59', 'thu': '00:00-05:00 09:00-23:59', 'fri': '00:00-05:00 09:00-23:59', 'sat': '00:00-05:00 09:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2KEGVCVACATAT/hero/aa1e0ff26d6a477bba030e85f7b4f497_1612497568765977746.jpeg,2.9,"[1.31811, 103.84408]",3,8,NOVENA,https://sgpmenu.com/the-london-curry-house-menu/
4382,Aryan's Veg Restaurant Authentic North Indian Pure Vegetarian Food,Aryan's Veg Restaurant / Authentic North Indian Pure Vegetarian Food - Goldhill Shopping Centre ,"['Indian', 'Vegetarian Friendly', 'Healthy', 'Islandwide Delivery', 'Vegan']",1.31811,103.84408,"{'open': True, 'displayedHours': '00:00-05:10 10:00-23:59', 'sun': '00:00-05:00 10:00-23:59', 'mon': '00:00-05:00 10:00-23:59', 'tue': '00:00-05:00 10:00-23:59', 'wed': '00:00-05:00 10:00-23:59', 'thu': '00:00-05:00 10:00-23:59', 'fri': '00:00-05:00 10:00-23:59', 'sat': '00:00-05:10 10:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2BGV36WRTMBV6/hero/2c26b3865387434db21f3bd7f9f292f0_1619759624562268075.jpeg,2.1,"[1.31811, 103.84408]",3,8,NOVENA,https://www.foodadvisor.com.sg/restaurant/aryans-grace-of-india-a-authentic-indian-and-lebanese-cuisine-in-central-area/
4388,The Royal Afghan Curry And Briyani House @ A Indian/ Lebanese/ Turkish Briyani And Shawarma Cuisine,The Royal Afghan Curry And Briyani House @ A Indian/ Lebanese/ Turkish Briyani And Shawarma Cuisine - Goldhill Shopping Centre ,"['Indian', 'Islandwide Delivery']",1.31806,103.8437,"{'open': True, 'displayedHours': '00:00-05:00 09:00-23:59', 'sun': '00:00-05:00 09:00-23:59', 'mon': '00:00-05:00 09:00-23:59', 'tue': '00:00-05:00 09:00-23:59', 'wed': '00:00-05:00 09:00-23:59', 'thu': '00:00-05:00 09:00-23:59', 'fri': '00:00-05:00 09:00-23:59', 'sat': '00:00-05:00 09:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2MGNFETHAWEWE/hero/965c4670b4c846a3bdc61127479f0f6d_1616687670446401072.jpeg,2.3,"[1.31806, 103.8437]",3,8,NOVENA,https://www.foodpanda.sg/restaurant/zjuk/the-royal-afghan-curry-and-biryani-hubatnewton-road-restaurant-delivery
