name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town
Pita Tree Mediterranean Grilled Kebab,Pita Tree Mediterranean Grilled Kebab - Forum Shopping Mall [Islandwide Delivery],"['Vegetarian', 'Mediterranean', 'Eco-Friendly']",1.3065283,103.82876945,"{'open': True, 'displayedHours': '00:00-01:30 08:30-23:59', 'sun': '00:00-01:30 08:30-23:59', 'mon': '00:00-01:30 08:30-23:59', 'tue': '00:00-01:30 08:30-23:59', 'wed': '00:00-01:30 08:30-23:59', 'thu': '00:00-01:30 08:30-23:59', 'fri': '00:00-01:30 08:30-23:59', 'sat': '00:00-01:30 08:30-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD11783/hero/c667ed2885b84b6db6c7a2d345a7d632_1594803025780335772.jpeg,3.8,"[1.3065283, 103.82876945]",2,7,ORCHARD
Tampopo,Tampopo - Takashimaya Shopping Centre [Islandwide Delivery] #B2-33,"['Japanese', 'Sushi', 'Islandwide Delivery']",1.303095982352941,103.8345012,"{'open': True, 'displayedHours': '11:00-20:45', 'sun': '11:00-20:45', 'mon': '11:00-20:45', 'tue': '11:00-20:45', 'wed': '11:00-20:45', 'thu': '11:00-20:45', 'fri': '11:00-20:45', 'sat': '11:00-20:45'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD11819/hero/tampopo.jpg,4.5,"[1.303095982352941, 103.8345012]",2,7,ORCHARD
Paradise Dynasty,Paradise Dynasty - Wisma Atria [Islandwide Delivery],"['Chinese', 'Asian', 'Seafood', 'Islandwide Delivery']",1.3038034439086912,103.83290290832518,"{'open': True, 'displayedHours': '10:30-21:00', 'sun': '10:30-21:00', 'mon': '10:30-21:00', 'tue': '10:30-21:00', 'wed': '10:30-21:00', 'thu': '10:30-21:00', 'fri': '10:30-21:00', 'sat': '10:30-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD10401/hero/upload-photo-Hero_Photo_fa8ba66f418c4168a04c83bfd4945aca_1555937526215350534.jpeg,4.5,"[1.3038034439086912, 103.83290290832518]",2,7,ORCHARD
Nozomi by Yoshi,Nozomi by Yoshi - Forum [Islandwide Delivery],"['Japanese', 'Sushi']",1.3062223000775075,103.82837946993806,"{'open': True, 'displayedHours': '11:30-21:00', 'sun': '11:30-21:00', 'mon': '11:30-21:00', 'tue': '11:30-21:00', 'wed': '11:30-21:00', 'thu': '11:30-21:00', 'fri': '11:30-21:00', 'sat': '11:30-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD02120/hero/df0046626b464ff1b181da96a166b54f_1612330703059741075.jpeg,4.3,"[1.3062223000775075, 103.82837946993806]",2,7,ORCHARD
Bebek Goreng Pak Ndut,Bebek Goreng Pak Ndut - Lucky Plaza [Islandwide Delivery],"['Halal', 'Chicken', 'Islandwide Delivery', 'Same Prices In-Store']",1.3047543466091154,103.83376835,"{'open': True, 'displayedHours': '10:30-20:45', 'sun': '10:30-20:45', 'mon': '10:30-20:45', 'tue': '10:30-20:45', 'wed': '10:30-20:45', 'thu': '10:30-20:45', 'fri': '10:30-20:45', 'sat': '10:30-20:45'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD01384/hero/8094e1f52e2b4ccfb48619f250ebfec7_1607573534308888221.jpeg,4.6,"[1.3047543466091154, 103.83376835]",2,7,ORCHARD
Jinjo,Jinjo - Shaw Centre [Islandwide Delivery],"['Same Prices In-Store', 'Islandwide Delivery', 'Rice Bowls', 'Japanese']",1.306358391954023,103.831711925,"{'open': True, 'displayedHours': '12:00-20:00', 'sun': '12:00-20:00', 'mon': '12:00-20:00', 'tue': '12:00-20:00', 'wed': '12:00-20:00', 'thu': '12:00-20:00', 'fri': '12:00-20:00', 'sat': '12:00-20:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZKHVRK3ETDBC2/hero/babf8d8b0bb1473d88549dc3a7d20e31_1592824638155565454.jpeg,3.8,"[1.306358391954023, 103.831711925]",2,7,ORCHARD
The Sushi Bar,The Sushi Bar - Orchard Road [Islandwide Delivery],"['Asian', 'Japanese', 'Sushi', 'Islandwide Delivery']",1.3024798,103.8349332,"{'open': True, 'displayedHours': '11:30-21:00', 'sun': '11:30-21:00', 'mon': '11:30-21:00', 'tue': '11:30-21:00', 'wed': '11:30-21:00', 'thu': '11:30-21:00', 'fri': '11:30-21:00', 'sat': '11:30-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJULKEAT7MBHA/hero/060a180c61f947bebac7ea38189ccd56_1591245969488498469.jpeg,4.3,"[1.3024798, 103.8349332]",2,7,ORCHARD
Crystal Jade Palace,Crystal Jade Palace - Takashimaya Shopping Centre [Islandwide Delivery],"['Asian', 'Chinese', 'Noodles', 'Islandwide Delivery']",1.3025529443820223,103.83448796,"{'open': True, 'displayedHours': '11:00-21:00', 'sun': '11:00-21:00', 'mon': '11:00-21:00', 'tue': '11:00-21:00', 'wed': '11:00-21:00', 'thu': '11:00-21:00', 'fri': '11:00-21:00', 'sat': '11:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJTVRC3N3XJLA/hero/972cce6b190e466085541495f958ccf9_1592300220617542225.jpeg,4.4,"[1.3025529443820223, 103.83448796]",2,7,ORCHARD
Brasserie Les Saveurs,Brasserie Les Saveurs - The St Regis Singapore [Islandwide Delivery],"['French', 'Islandwide Delivery', 'Local', 'Steak', 'Burger']",1.3056725692307694,103.82604692,"{'open': True, 'displayedHours': '12:00-19:00', 'sun': '12:00-19:00', 'mon': '12:00-19:00', 'tue': '12:00-19:00', 'wed': '12:00-19:00', 'thu': '12:00-19:00', 'fri': '12:00-19:00', 'sat': '12:00-19:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJGJE2JTE2FWE/hero/452a5ca0ff6d4c49ab94137ac41da952_1610170255096251521.jpeg,4.5,"[1.3056725692307694, 103.82604692]",2,7,ORCHARD
Coocaca,Coocaca - Liat Towers  ,"['Islandwide Delivery', 'Same Prices In-Store', 'Dessert']",1.3052049502378726,103.8305927548195,"{'open': True, 'displayedHours': '11:00-21:00', 'sun': '11:00-20:30', 'mon': '11:00-20:30', 'tue': '11:00-20:30', 'wed': '11:00-20:30', 'thu': '11:00-20:30', 'fri': '11:00-21:00', 'sat': '11:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZEYCUMKLY3WLN/hero/868995b711a24ecd870bfef5645f06bb_1589516369778145520.jpeg,4.6,"[1.3052049502378726, 103.8305927548195]",2,7,ORCHARD
