name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town
Daniu Teochew Seafood Restuarant,Daniu Teochew Seafood Restuarant - Kampong Bahru Road,"['Asian', 'Chinese', 'Noodles', 'Porridge', 'Seafood']",1.27654,103.835979,"{'open': True, 'displayedHours': '11:30-21:00', 'sun': '11:30-21:00', 'mon': 'Closed', 'tue': '11:30-21:00', 'wed': '11:30-21:00', 'thu': '11:30-21:00', 'fri': '11:30-21:00', 'sat': '11:30-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TWVJ5FLU2UBA/hero/0b988b68d77b49dfabec54df603eb8d0_1621392365647620388.jpg,1.5,"[1.27654, 103.835979]",1,7,OUTRAM
Chef Icon Nature Bakery,Chef Icon Nature Bakery - Kampong Bahru Road,"['Bakery', 'Vegetarian', 'Cake']",1.2772851,103.8368752,"{'open': True, 'displayedHours': '08:00-18:30', 'sun': '08:00-17:30', 'mon': '08:00-19:30', 'tue': '08:00-19:30', 'wed': '08:00-19:30', 'thu': '08:00-19:30', 'fri': '08:00-19:30', 'sat': '08:00-18:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD12380/hero/3ab807b4f2fa45e9990050c2adf7e865_1609310466261298207.jpeg,4.7,"[1.2772851, 103.8368752]",1,7,OUTRAM
Alfa H Mart,Alfa H Mart - The Pinnacle @ Duxton,"['Mart', 'Groceries', 'Convenience Store/Minimart']",1.2754867888888888,103.84102881111112,"{'open': True, 'displayedHours': '10:30-21:30', 'sun': '10:30-21:30', 'mon': '10:30-21:30', 'tue': '10:30-21:30', 'wed': '10:30-21:30', 'thu': '10:30-21:30', 'fri': '10:30-21:30', 'sat': '10:30-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2KCL3CGN4AWVJ/hero/7c838d6c64fb4ff686ceec773f98ca3e_1612262230632629839.jpeg,5.0,"[1.2754867888888888, 103.84102881111112]",1,8,OUTRAM
Kekito Low Carb and Keto,Kekito Low Carb &  Keto - Everton Park,"['Bakery & Cake', 'Dessert', 'Healthy', 'Local', 'Health & Wellness']",1.27705385592198,103.838590160427,"{'open': True, 'displayedHours': '11:00-16:00', 'sun': '11:00-14:00', 'mon': 'Closed', 'tue': '14:00-19:00', 'wed': '14:00-19:00', 'thu': '14:00-19:00', 'fri': '14:00-19:00', 'sat': '11:00-16:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2NJEU6VTVNBBA/hero/1e19ff7712f84706bb2fbcba5a68b9bf_1618889321763612758.jpeg,3.0,"[1.27705385592198, 103.838590160427]",1,8,OUTRAM
Guo Chang Mala Hotpot Zhi Char,Guo Chang Mala Hotpot Zhi Char - Everton Park,"['Chinese', 'Malaysian', 'Singaporean']",1.277036,103.8392459,"{'open': True, 'displayedHours': '11:00-21:00', 'sun': '11:00-21:00', 'mon': '11:00-21:00', 'tue': '11:00-21:00', 'wed': '11:00-21:00', 'thu': '11:00-21:00', 'fri': '11:00-21:00', 'sat': '11:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TKTNCDPA2TEX/hero/68f81d3d58d24a6fbdaccf11cbde7d2b_1620987677975242961.png,5.0,"[1.277036, 103.8392459]",1,8,OUTRAM
Little Part 1 Cafe,Little Part 1 Cafe - Blair Road,['Western'],1.2757997,103.83570738,"{'open': True, 'displayedHours': '11:30-21:00', 'sun': '11:30-21:00', 'mon': 'Closed', 'tue': 'Closed', 'wed': 'Closed', 'thu': '11:30-21:00', 'fri': '11:30-21:00', 'sat': '11:30-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYT3AJMTG7DHV2/hero/a466f9de6dda4a57b450c7f0b7a38e5f_1565688800931332905.jpeg,4.6,"[1.2757997, 103.83570738]",1,7,OUTRAM
Mr Bean,Mr Bean - Singapore General Hospital,"['Snack', 'Dessert', 'Breakfast & Brunch', 'Beverages', 'Healthy']",1.2793724,103.83531735,"{'open': True, 'displayedHours': '09:00-16:00', 'sun': '08:00-13:00', 'mon': '07:00-19:45', 'tue': '07:00-18:00', 'wed': '07:00-18:00', 'thu': '07:00-18:00', 'fri': '07:00-20:30', 'sat': '09:00-16:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYTKLXETUBJWDE/hero/4f57a730779a4227abfe943a6f9b393c_1602235025264042173.jpeg,4.0,"[1.2793724, 103.83531735]",1,7,OUTRAM
Ya,Ya-mahyuddin Al-jailani Restaurant - Kampong Bahru Road,"['Asian', 'Chinese', 'Indian']",1.2761408,103.83541069,"{'open': True, 'displayedHours': '00:00-23:59', 'sun': '00:00-23:59', 'mon': '00:00-23:59', 'tue': '00:00-23:59', 'wed': '00:00-23:59', 'thu': '00:00-23:59', 'fri': '00:00-23:59', 'sat': '00:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDXNZCWJKD3R6/hero/1c26cffdd58d4625a4a34a920c01e391_1587465856707595546.jpg,3.9,"[1.2761408, 103.83541069]",1,7,OUTRAM
@3,@3 - Kampong Bahru Road,"['Beverages', 'Breakfast & Brunch', 'Coffee & Tea', 'Sandwiches', 'Same Prices In-Store']",1.2765941093862,103.835871834728,"{'open': True, 'displayedHours': '08:00-20:00', 'sun': '08:00-20:00', 'mon': '08:00-14:00', 'tue': 'Closed', 'wed': '08:00-20:00', 'thu': '08:00-20:00', 'fri': '08:00-20:00', 'sat': '08:00-20:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TVEZMALRLVNJ/hero/7a01bd68304f4452bc44e2db0222116e_1621263928388570305.png,5.0,"[1.2765941093862, 103.835871834728]",1,7,OUTRAM
Kith Cafe,Kith Cafe - Spottiswoode Park Road,"['Western', 'Dessert', 'Pizza', 'Kids Friendly']",1.277023,103.8370148,"{'open': True, 'displayedHours': '07:00-20:30', 'sun': '07:00-20:30', 'mon': '07:00-20:30', 'tue': '07:00-20:30', 'wed': '07:00-20:30', 'thu': '07:00-20:30', 'fri': '07:00-20:30', 'sat': '07:00-20:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD10632/hero/400db72f46b64b9fa2192b68676e6ade_1573197863148278007.jpeg,4.4,"[1.277023, 103.8370148]",1,7,OUTRAM
