name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town
One Stop Mini,One Stop Mini-Mart - Pasir Ris Street 11 [Islandwide Delivery],"['Personal Care', 'Convenience Store/Minimart', 'Groceries', 'Beverages', 'Snacks']",1.36473215,103.9578882,"{'open': True, 'displayedHours': '00:00-23:59', 'sun': '00:00-23:59', 'mon': '00:00-23:59', 'tue': '00:00-23:59', 'wed': '00:00-23:59', 'thu': '00:00-23:59', 'fri': '00:00-23:59', 'sat': '00:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZEKERKVDA4XJN/hero/9ee2400952ab4fa881e17a96fe50d724_1611549800895984914.jpg,4.6,"[1.36473215, 103.9578882]",5,12,PASIR RIS
Ace Minimart,Ace Minimart - Tampines Street 43,"['Personal Care', 'Grocery', 'Groceries', 'Snacks', 'Convenience Store/Minimart']",1.36253714,103.95191735,"{'open': True, 'displayedHours': '09:00-22:00', 'sun': '09:00-22:00', 'mon': '09:00-22:00', 'tue': '09:00-22:00', 'wed': '09:00-22:00', 'thu': '09:00-22:00', 'fri': '09:00-22:00', 'sat': '09:00-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZCKMEUXSAAJN2/hero/9e50980c00b8487d81a2632714ea001a_1611539501561489087.jpg,4.6,"[1.36253714, 103.95191735]",4,12,PASIR RIS
Raw Market Convenience Store,Raw Market Convenience Store - Seastrand,"['Convenience', 'Groceries', 'Snack', 'Mart']",1.3752796,103.961077,"{'open': True, 'displayedHours': '09:15-21:00', 'sun': '09:15-21:00', 'mon': '09:15-21:00', 'tue': '09:15-21:00', 'wed': '09:15-21:00', 'thu': '09:15-21:00', 'fri': '09:15-21:00', 'sat': '09:15-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2NYEGNGT63YC2/hero/76b26d5bfdff4180a4dc188e1ed64925_1619602823857724641.jpeg,0.0,"[1.3752796, 103.961077]",5,12,PASIR RIS
Like Pudding,Like Pudding - Pasir Ris Central Hawker Centre [Islandwide Delivery],"['Dessert', 'Chinese', 'Local']",1.373529275,103.951763201335,"{'open': True, 'displayedHours': '12:00-20:30', 'sun': '12:00-20:30', 'mon': 'Closed', 'tue': 'Closed', 'wed': '12:00-20:30', 'thu': '12:00-20:30', 'fri': '12:00-20:30', 'sat': '12:00-20:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZLXTCJENNUAKE/hero/afee81d2823e43bb9fe0e3d6a10ea9f7_1595480907940681083.jpg,4.4,"[1.373529275, 103.951763201335]",5,12,PASIR RIS
Cathay Cineplexes,Cathay Cineplexes - Downtown East,"['Snacks', 'Mart', 'Convenience']",1.375996475,103.9557526,"{'open': True, 'displayedHours': '13:00-20:30', 'sun': '13:00-20:30', 'mon': '13:00-20:30', 'tue': '13:00-20:30', 'wed': '13:00-20:30', 'thu': '13:00-20:30', 'fri': '13:00-20:30', 'sat': '13:00-20:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZN2ACDJCPJBC6/hero/4bee440534dd4f2aa7bc95f78259fce0_1599867909478418150.jpeg,3.8,"[1.375996475, 103.9557526]",5,12,PASIR RIS
Huiji,Huiji - JTC Space @ Tampines North ,"['Mart', 'Asian', 'Health & Wellness', 'Islandwide Delivery']",1.3651645,103.9326408,"{'open': True, 'displayedHours': '00:00-23:59', 'sun': '00:00-23:59', 'mon': '00:00-23:59', 'tue': '00:00-23:59', 'wed': '00:00-23:59', 'thu': 'Closed', 'fri': 'Closed', 'sat': '00:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2JFAFNTN3VJNT/hero/775390da84a544d9932eebaa53b7c512_1610526247152129990.jpeg,0.0,"[1.3651645, 103.9326408]",5,11,PASIR RIS
Poke Theory,Poke Theory - JTC Space @ Tampines North [Islandwide Delivery],"['Healthy', 'Salad']",1.3657677,103.9320316,"{'open': True, 'displayedHours': '11:00-20:45', 'sun': '11:00-20:45', 'mon': '11:00-20:45', 'tue': '11:00-20:45', 'wed': '11:00-20:45', 'thu': '11:00-20:45', 'fri': '11:00-20:45', 'sat': '11:00-20:45'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2LAATVDSFKWGJ/hero/1012903ee068436abd32b6334a6a16e2_1614045027139368460.jpeg,4.6,"[1.3657677, 103.9320316]",5,11,PASIR RIS
Putih,Putih - JTC Space - Tampines North ,"['Indonesian', 'Malaysian', 'Nasi Lemak', 'Kids Friendly']",1.3655507322887124,103.93200002057084,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': 'Closed', 'tue': 'Closed', 'wed': 'Closed', 'thu': 'Closed', 'fri': '23:45-23:59', 'sat': 'Closed', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZMGJ34DRT22NE/hero/dcc6e7f17bce416baacba68bd6b5efa3_1596646747322458136.jpg,0.0,"[1.3655507322887124, 103.93200002057084]",5,11,PASIR RIS
Send Noods,Send Noods- JTC Space - Tampines North [Islandwide Delivery],"['Chinese', 'Noodles', 'Western', 'Fusion']",1.3657234,103.93202034,"{'displayedHours': 'Closed', 'sun': '00:00-05:00 10:00-23:59', 'mon': '00:00-05:00 10:00-23:59', 'tue': '00:00-05:00 10:00-23:59', 'wed': '00:00-05:00 10:00-23:59', 'thu': '00:00-05:00 10:00-23:59', 'fri': '00:00-05:00 10:00-23:59', 'sat': '00:00-05:00 10:00-23:59', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CY4VRZDHEYTGEJ/hero/cf4c20ca118f42e0a8774fdb607a3e1d_1610170321935671590.jpeg,4.0,"[1.3657234, 103.93202034]",5,11,PASIR RIS
"Packit, Pebbly","Packit, Pebbly - Tampines North Drive 3",['Mart'],1.3715812,103.9343424,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '11:00-17:00', 'tue': '11:00-17:00', 'wed': '11:00-17:00', 'thu': '11:00-17:00', 'fri': '11:00-17:00', 'sat': 'Closed'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZCKMBUBAY51AT/hero/89bbca12c104428b800b76fc698769f1_1611549803102308189.jpg,3.0,"[1.3715812, 103.9343424]",5,11,PASIR RIS
