name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town
Fullmoon Minimart,Fullmoon Minimart - Jurong West Street 65,"['Mart', 'Snacks', 'Beverages']",1.3395121,103.702301925,"{'open': True, 'displayedHours': '08:00-21:00', 'sun': '08:00-21:00', 'mon': '08:00-21:00', 'tue': '08:00-21:00', 'wed': '08:00-21:00', 'thu': '08:00-21:00', 'fri': '08:00-21:00', 'sat': '08:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZNTERLCV6TGN6/hero/daec9d7e8e594de2827d3bfc3555e4f3_1599029725847357964.jpeg,5.0,"[1.3395121, 103.702301925]",4,2,PIONEER
Nandhana's,Nandhana's - Fairprice Hub ,"['Asian', 'Indian', 'Noodles']",1.325456711,103.6787702,"{'open': True, 'displayedHours': '07:00-21:30', 'sun': '07:00-21:30', 'mon': '07:00-21:30', 'tue': '07:00-21:30', 'wed': '07:00-21:30', 'thu': '07:00-21:30', 'fri': '07:00-21:30', 'sat': '07:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZMAVRDUR8MYWE/hero/09d3e20c9bea49ce8f83f951dbc73d20_1601340464246131835.jpeg,4.0,"[1.325456711, 103.6787702]",3,2,PIONEER
Fragrance,Fragrance - Jurong West Street 92,"['Mart', 'Snacks', 'Local']",1.3414928,103.6918165,"{'open': True, 'displayedHours': '08:30-20:30', 'sun': '08:30-20:30', 'mon': '08:30-20:30', 'tue': '08:30-20:30', 'wed': '08:30-20:30', 'thu': '08:30-20:30', 'fri': '08:30-20:30', 'sat': '08:30-20:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD10292/hero/Fragrance_Biz.PNG,4.8,"[1.3414928, 103.6918165]",4,2,PIONEER
Boxgreen x Juicy,Boxgreen x Juicy - Kian Teck Road [Islandwide Delivery],"['Beverages', 'Snacks', 'Mart']",1.3287270516368632,103.68833426779982,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '09:00-17:00', 'tue': '09:00-17:00', 'wed': '09:00-17:00', 'thu': '09:00-17:00', 'fri': '09:00-17:00', 'sat': 'Closed'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2JGV3WCLJE2N6/hero/35a42e8a1734409cb071d84ecbe68dfe_1610707386632882539.jpeg,0.0,"[1.3287270516368632, 103.68833426779982]",3,2,PIONEER
The Nurturing Co. Pte. Ltd.,The Nurturing Co. Pte. Ltd. - Bambooloo,['Mart'],1.3284351118991482,103.68834872669426,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '09:00-17:00', 'tue': '09:00-17:00', 'wed': '09:00-17:00', 'thu': '09:00-17:00', 'fri': 'Closed', 'sat': 'Closed', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2BUV6KZBFWYE6/hero/257e39b031d043f3af75a960962c0edd_1603245196208842205.jpeg,5.0,"[1.3284351118991482, 103.68834872669426]",3,2,PIONEER
Convenience + Store,Convenience + Store - Jurong West Street 81[Islandwide Delivery],"['Groceries', 'Mart', 'Convenience', 'Flower', 'Alcohol']",1.3446719854474338,103.6918815368386,"{'displayedHours': 'Closed', 'sun': '11:00-23:59', 'mon': '00:00-02:00 10:00-23:59', 'tue': '00:00-02:00 10:00-23:59', 'wed': '00:00-02:00 10:00-23:59', 'thu': '00:00-02:00 10:00-23:59', 'fri': '00:00-02:00 10:00-23:59', 'sat': '00:00-02:00', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZLVGYKJVBEFTX/hero/16d722098d004a589e40b90a6743a648_1595253031765676724.jpeg,4.7,"[1.3446719854474338, 103.6918815368386]",4,2,PIONEER
Nafisa Minimart,Nafisa Minimart - Jurong West Street 92,"['Grocery', 'Mart', 'Groceries', 'Convenience']",1.34192525,103.6885408,"{'displayedHours': 'Closed', 'sun': '15:00-20:30', 'mon': '15:00-20:30', 'tue': '15:00-20:30', 'wed': '15:00-20:30', 'thu': '15:00-20:30', 'fri': '20:00-22:00', 'sat': '15:00-20:30', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZLJATJ2TUBHTX/hero/f017ae35ea574b59a8660d6049301880_1594879157700524900.jpeg,3.7,"[1.34192525, 103.6885408]",4,2,PIONEER
Ciao Bella,Ciao Bella - NTU ,"['Halal', 'Healthy', 'Italian', 'Pasta']",1.3469566290765842,103.68069091862009,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '23:00-23:59', 'tue': 'Closed', 'wed': 'Closed', 'thu': 'Closed', 'fri': 'Closed', 'sat': 'Closed'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2BCC2NZVRCUPE/hero/e3aa2bb0c5824d7283143ceb7cb5a326_1602243892486798810.jpeg,4.2,"[1.3469566290765842, 103.68069091862009]",4,2,PIONEER
365 Mart,365 Mart - Jurong West Street 61,"['Beverages', 'Convenience', 'Snacks', 'Mart']",1.338987906300798,103.6957294,"{'open': True, 'displayedHours': '00:00-01:59 08:30-23:59', 'sun': '00:00-01:59 08:30-23:59', 'mon': '00:00-01:59 08:30-23:59', 'tue': '00:00-01:59 08:30-23:59', 'wed': '00:00-01:59 08:30-23:59', 'thu': '00:00-01:59 08:30-23:59', 'fri': '00:00-01:59 08:30-23:59', 'sat': '00:00-01:59 08:30-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2EBWEVDFGNYG2/hero/634814b94d5c47188a81ce8d78c0a4da_1608201971807650841.jpeg,4.4,"[1.338987906300798, 103.6957294]",4,2,PIONEER
Vijay Store,Vijay Store - Jurong West Ave 5,"['Convenience', 'Mart']",1.3441635653788826,103.698187975,"{'open': True, 'displayedHours': '09:00-22:00', 'sun': '09:00-22:00', 'mon': '09:00-14:00 17:00-22:00', 'tue': '09:00-14:00 17:00-22:00', 'wed': '09:00-14:00 17:00-22:00', 'thu': '09:00-14:00 17:00-22:00', 'fri': '09:00-14:00 17:00-22:00', 'sat': '09:00-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2EWFGLFLRCYVT/hero/df57127adb8047668cb6af24ac32a3b2_1609385553300939977.jpeg,3.6,"[1.3441635653788826, 103.698187975]",4,2,PIONEER
