name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town
Formosa Delights,Formosa Delights - Clementi [Islandwide Delivery],"['Asian', 'Chinese', 'Islandwide Delivery']",1.292974631542039,103.7686257,"{'open': True, 'displayedHours': '11:30-22:30', 'sun': '11:30-22:30', 'mon': '11:30-22:30', 'tue': '11:30-22:30', 'wed': '11:30-22:30', 'thu': '11:30-22:30', 'fri': '11:30-22:30', 'sat': '11:30-22:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD06489/hero/upload-photo-Hero_Photo_7fbdb51c939f4fd08f0d8ded84fb1924_1556013495549696404.jpeg,4.6,"[1.292974631542039, 103.7686257]",2,5,QUEENSTOWN
Flash Coffee,Flash Coffee - National University Of Singapore [Islandwide Delivery],"['Breakfast & Brunch', 'Sandwiches', 'Snack', 'Islandwide Delivery', 'Coffee']",1.298924,103.774879,"{'open': True, 'displayedHours': '08:00-17:00', 'sun': '08:00-17:00', 'mon': '08:00-17:00', 'tue': '08:00-17:00', 'wed': '08:00-17:00', 'thu': '08:00-17:00', 'fri': '08:00-17:00', 'sat': '08:00-17:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2NYCZCFG64WJT/hero/7c1d98cc40f34072877a3ae5ad9fc4b2_1619573574810782563.jpeg,0.0,"[1.298924, 103.774879]",2,5,QUEENSTOWN
Iskina Cebu,Iskina Cebu - 73A Ayer Rajah Crescent [Islandwide Delivery],"['Western', 'Islandwide Delivery']",1.2976021523856025,103.78731059701832,"{'open': True, 'displayedHours': '11:30-22:00', 'sun': 'Closed', 'mon': '11:30-21:30', 'tue': '11:30-21:30', 'wed': '11:30-21:30', 'thu': '11:30-21:30', 'fri': '11:30-21:30', 'sat': '11:30-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD06958/hero/40120258d6ca41068c1082a54acfc556_1599039555646150247.jpeg,4.3,"[1.2976021523856025, 103.78731059701832]",2,6,QUEENSTOWN
Khansama Tandoori Village,Khansama Tandoori Village Express - Science Hub ,"['Indian', 'Islandwide Delivery']",1.2878283665485797,103.79048559847004,"{'open': True, 'displayedHours': '10:21-23:59', 'sun': '10:30-23:59', 'mon': '10:30-23:59', 'tue': '10:30-23:59', 'wed': '10:30-23:59', 'thu': '10:30-23:59', 'fri': '10:30-23:59', 'sat': '10:21-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZA3GK6ZTT6CJ6/hero/576e3df0b7734bd6a98ccfa531e6fbf4_1585202106489627830.jpeg,4.2,"[1.2878283665485797, 103.79048559847004]",2,6,QUEENSTOWN
99 Buona Vista Kitchen,99 Buona Vista Kitchen - South Buona Vista Road [Islandwide Delivery],"['Tea', 'Chinese', 'Coffee', 'Asian', 'Local']",1.2805063,103.7867346,"{'open': True, 'displayedHours': '10:30-22:00', 'sun': '10:30-22:00', 'mon': '10:30-22:00', 'tue': '10:30-22:00', 'wed': '10:30-22:00', 'thu': '10:30-22:00', 'fri': '10:30-22:00', 'sat': '10:30-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDUEGCDCJBHFA/hero/ab6afbea637e42a89f3144e75d0670bb_1587121846415814246.jpg,4.6,"[1.2805063, 103.7867346]",1,6,QUEENSTOWN
Mister Crab Seafood,Mister Crab Seafood - Ghim Moh Road [Islandwide Delivery],"['Chinese', 'Seafood', 'Singaporean']",1.3114403857303,103.78883313673929,"{'open': True, 'displayedHours': '11:59-22:30', 'sun': '11:59-22:30', 'mon': '11:59-22:30', 'tue': '11:59-22:30', 'wed': '11:59-22:30', 'thu': '11:59-22:30', 'fri': '11:59-22:30', 'sat': '11:59-22:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2J1GKVBTTV2TT/hero/562bc4f1e04a40af8d325f0aeee241ae_1611732642086961369.jpg,2.6,"[1.3114403857303, 103.78883313673929]",3,6,QUEENSTOWN
Peach Garden,Peach Garden - The Metropolis [Islandwide Delivery],"['Chinese', 'Noodles', 'Dim Sum', 'Chicken', 'Seafood']",1.3059369,103.79101375080828,"{'open': True, 'displayedHours': '09:30-21:00', 'sun': '09:30-21:00', 'mon': '09:30-21:00', 'tue': '09:30-21:00', 'wed': '09:30-21:00', 'thu': '09:30-21:00', 'fri': '09:30-21:00', 'sat': '09:30-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD07830/hero/4184033b06f24b6a982479b7fd145cce_1610423151011293119.png,4.3,"[1.3059369, 103.79101375080828]",2,6,QUEENSTOWN
Refresh,Refresh - Innovis,"['Drinks', 'Mart', 'Groceries', 'Convenience', 'Snacks']",1.29888697,103.788375,"{'open': True, 'displayedHours': '09:00-16:05', 'sun': 'Closed', 'mon': '08:20-20:00', 'tue': '08:20-19:00', 'wed': '08:21-19:00', 'thu': '08:20-19:00', 'fri': '08:00-19:00', 'sat': '09:00-16:05'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZKCVK23GCK2R2/hero/c716f4ce49a9471b8df168a56bc6cd5e_1592294578738697974.jpeg,4.8,"[1.29888697, 103.788375]",2,6,QUEENSTOWN
Yu Kee Duck Rice,Yu Kee Duck Rice - The Star Vista [Islandwide Delivery],"['Chinese', 'Duck', 'Chicken']",1.3069127,103.7883239,"{'open': True, 'displayedHours': '10:30-20:30', 'sun': '10:30-20:30', 'mon': '10:30-20:30', 'tue': '10:30-20:30', 'wed': '10:30-20:30', 'thu': '10:30-20:30', 'fri': '10:30-20:30', 'sat': '10:30-20:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2BJMCKJSEETLA/hero/c9ba3834d2e346be96d1ff0da6e3905e_1606213097732159596.jpeg,4.5,"[1.3069127, 103.7883239]",2,6,QUEENSTOWN
DAEHWA,DAEHWA - Galaxis [Islandwide Delivery],"['Korean', 'Vegetarian', 'Beverages', 'Islandwide Delivery']",1.30010035,103.78817575,"{'open': True, 'displayedHours': '10:30-20:30', 'sun': '10:30-20:30', 'mon': 'Closed', 'tue': '10:30-20:30', 'wed': '10:30-20:30', 'thu': '10:30-20:30', 'fri': '10:30-20:30', 'sat': '10:30-20:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD10141/hero/d9490c37a3c4411fa981a77b62aca124_1607151998939001588.jpeg,4.4,"[1.30010035, 103.78817575]",2,6,QUEENSTOWN
YUZU Japanese Restaurant,YUZU Japanese Restaurant - Holland Village [Islandwide Delivery],"['Japanese', 'Sushi', 'Islandwide Delivery']",1.311129164,103.7953006,"{'open': True, 'displayedHours': '11:00-21:30', 'sun': '11:00-21:30', 'mon': 'Closed', 'tue': '11:00-21:30', 'wed': '11:00-21:30', 'thu': '11:00-21:30', 'fri': '11:00-21:30', 'sat': '11:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJET3DFPA2AFE/hero/d09e2904123847e8801fe261d29f5730_1590486469127875514.jpg,0.0,"[1.311129164, 103.7953006]",3,6,QUEENSTOWN
Soup Restaurant,Soup Restaurant - Holland Village [Islandwide Delivery],"['Chicken', 'Noodles', 'Chinese']",1.3107233333333332,103.79599843333334,"{'open': True, 'displayedHours': '11:00-21:00', 'sun': '11:00-21:00', 'mon': '11:00-14:30 16:30-21:00', 'tue': '11:00-14:30 16:30-21:00', 'wed': '11:00-14:30 16:30-21:00', 'thu': '11:00-14:30 16:30-21:00', 'fri': '11:00-14:30 16:30-21:00', 'sat': '11:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD09806/hero/24c2e98b4f91420ea79e766d35eab67c_1578016126152211730.png,3.9,"[1.3107233333333332, 103.79599843333334]",3,6,QUEENSTOWN
