name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town
Bowl & Grill,Bowl & Grill - Sembawang [Islandwide Delivery],"['Burger', 'Japanese', 'Pasta', 'Steak', 'Western']",1.442856912672272,103.81673202776108,"{'open': True, 'displayedHours': '00:00-02:00 11:00-23:59', 'sun': '00:00-02:00 11:00-23:59', 'mon': '00:00-02:00 11:00-23:59', 'tue': '00:00-02:00 11:00-23:59', 'wed': '00:00-02:00 11:00-23:59', 'thu': '00:00-02:00 11:00-23:59', 'fri': '00:00-02:00 11:00-23:59', 'sat': '00:00-02:00 11:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJAMEUVPFM1CX/hero/0acc45a7ae7d4fcc92d94df6d496c255_1616042855908407264.jpeg,4.1,"[1.442856912672272, 103.81673202776108]",8,7,SEMBAWANG
Tenderbest Makcik Tuckshop,Tenderbest Makcik Tuckshop - Mega-Woodlands [Islandwide Delivery],"['Halal', 'Western', 'Same Prices In-Store', 'Salad', 'Chicken']",1.4386976,103.8065115,"{'open': True, 'displayedHours': '10:30-21:30', 'sun': '10:30-21:30', 'mon': '10:30-21:30', 'tue': '10:30-21:30', 'wed': '10:30-21:30', 'thu': '10:30-21:30', 'fri': '10:30-21:30', 'sat': '10:30-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYXHCJMXPBAYDE/hero/7193beeba7374074b7ade426c75883b3_1583228015036841335.jpeg,4.5,"[1.4386976, 103.8065115]",7,6,SEMBAWANG
Jia Jia Foodstuff,Jia Jia Foodstuff - Woodlands Loop [Islandwide Delivery],"['Asian', 'Groceries', 'Halal', 'Frozen Food', 'Mart']",1.4482184,103.8097319,"{'open': True, 'displayedHours': '09:00-18:00', 'sun': 'Closed', 'mon': '09:00-18:00', 'tue': '09:00-18:00', 'wed': '09:00-18:00', 'thu': '09:00-18:00', 'fri': '09:00-18:00', 'sat': '09:00-18:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2M3LF61JZN3JJ/hero/01ac7be84cea45ea8f5fffc8ccdd8b3d_1617983396243335243.jpeg,5.0,"[1.4482184, 103.8097319]",8,6,SEMBAWANG
Potato Corner,Potato Corner - Nordcom Two [Islandwide Delivery],"['Breakfast & Brunch', 'Fast Food', 'Kids Friendly', 'Snack']",1.4428094299469194,103.816921408006,"{'open': True, 'displayedHours': '10:00-22:45', 'sun': '10:00-22:45', 'mon': '10:30-22:45', 'tue': '10:30-22:45', 'wed': '10:30-22:45', 'thu': '10:30-22:45', 'fri': '10:00-22:45', 'sat': '10:00-22:45'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2BVNGCDEXBAGJ/hero/5906940acafa4c36aab537e0981bb1ba_1603263568845654680.png,4.3,"[1.4428094299469194, 103.816921408006]",8,7,SEMBAWANG
Fassler Gourmet,Fassler Gourmet - Woodlands Terrace ,"['Fresh & Frozen', 'Islandwide Delivery', 'Same Prices In-Store', 'Halal', 'Mart']",1.4523087772356291,103.80880711408628,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '11:00-16:00', 'tue': '11:00-16:00', 'wed': '11:00-16:00', 'thu': '11:00-16:00', 'fri': '11:00-16:00', 'sat': 'Closed'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2LWL2CEWF4WRX/hero/173c33077a3148e5bf130094f6c441d1_1615369666438781250.jpeg,5.0,"[1.4523087772356291, 103.80880711408628]",8,6,SEMBAWANG
Hup Cheong,Hup Cheong - Woodlands Loop,"['Mart', 'Groceries']",1.4487387060659245,103.80906368390714,"{'open': True, 'displayedHours': '12:00-23:00', 'sun': '12:00-23:00', 'mon': '12:00-23:00', 'tue': '12:00-23:00', 'wed': '12:00-23:00', 'thu': '12:00-23:00', 'fri': '12:00-23:00', 'sat': '12:00-23:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJACF5ZAJNBBE/hero/1b375b76ba74410bade8e53d404cd3fe_1611546614969099364.jpg,4.4,"[1.4487387060659245, 103.80906368390714]",8,6,SEMBAWANG
Aww The Butcher,Aww The Butcher - Jalan Malu-Malu (Next Day Delivery),"['Meat', 'Islandwide Delivery', 'Groceries', 'Local', 'Mart']",1.443360231,103.8256175,"{'displayedHours': 'Closed', 'sun': '09:00-19:00', 'mon': '09:00-19:00', 'tue': '09:00-19:00', 'wed': '09:00-19:00', 'thu': '09:00-19:00', 'fri': '09:00-19:00', 'sat': '09:00-19:00', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZKEPAT2G2CCCJ/hero/3adcb5205b8d4141afb82ab03715b5fc_1607313040185617059.jpeg,3.7,"[1.443360231, 103.8256175]",8,7,SEMBAWANG
Gangnam Tora Kitchen,Gangnam Tora Kitchen - Food Xchange - Admiralty - Catering ,"['Japanese', 'Korean', 'Catering']",1.463079,103.814743,"{'displayedHours': 'Closed', 'sun': '10:00-18:00', 'mon': '10:00-18:00', 'tue': '10:00-18:00', 'wed': '10:00-18:00', 'thu': '10:00-18:00', 'fri': '10:00-18:00', 'sat': '10:00-18:00', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZCAAN4AKEXVME/hero/cf4dc01b142a4d5882578d280b48ec94_1592367889002159913.jpg,0.0,"[1.463079, 103.814743]",8,7,SEMBAWANG
Perfect Five Food,Perfect Five Food - Woodlands Loop (Next Day Delivery),"['Finger Food', 'Groceries', 'Mart', 'Islandwide Delivery', 'Frozen Food']",1.450441,103.804768,"{'open': True, 'displayedHours': '00:00-23:59', 'sun': 'Closed', 'mon': '00:00-23:59', 'tue': '00:00-23:59', 'wed': '00:00-23:59', 'thu': '00:00-23:59', 'fri': '00:00-23:59', 'sat': '00:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZEYE4EBV8DCHA/hero/a0d4d5146c754624b772aee893405dee_1589529470130075367.jpeg,5.0,"[1.450441, 103.804768]",8,6,SEMBAWANG
Golden Thai Village,Golden Thai Village - Sembawang [Islandwide Delivery],"['Thai', 'Rice', 'Noodles', 'Beverages']",1.4424033,103.81673943996428,"{'open': True, 'displayedHours': '00:00-02:00 11:00-23:59', 'sun': '00:00-02:00 11:00-23:59', 'mon': '00:00-02:00 11:00-23:59', 'tue': '00:00-02:00 11:00-23:59', 'wed': '00:00-02:00 11:00-23:59', 'thu': '00:00-02:00 11:00-23:59', 'fri': '00:00-02:00 11:00-23:59', 'sat': '00:00-02:00 11:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJAHCKTGF52C2/hero/2b3c8ff9894146618376b89fc6382275_1616043176969223914.jpeg,3.7,"[1.4424033, 103.81673943996428]",7,7,SEMBAWANG
