name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town
Thilag Fresh Vegetables & Provision,Thilag Fresh Vegetables & Provision - Jurong West Street 41,"['Convenience', 'Mart', 'Drinks']",1.350885802210017,103.7200436,"{'open': True, 'displayedHours': '09:30-21:30', 'sun': '10:00-22:00', 'mon': '09:30-21:30', 'tue': '09:30-21:30', 'wed': '09:30-21:30', 'thu': '09:30-21:30', 'fri': '09:30-21:30', 'sat': '09:30-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZNDNZBXCCLXEX/hero/8f768f03139e4bfab67db7180e86055e_1598410016264155794.jpg,4.6,"[1.350885802210017, 103.7200436]",4,3,TENGAH
Royal,Royal - Jurong West Ave 1,"['Convenience', 'Mart']",1.351659,103.719252,"{'open': True, 'displayedHours': '09:00-22:30', 'sun': '09:00-22:30', 'mon': '09:00-22:30', 'tue': '09:00-22:30', 'wed': '09:00-22:30', 'thu': '09:00-22:30', 'fri': '09:00-22:30', 'sat': '09:00-22:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2KZGPCENGBBTJ/hero/dfba67b696904cafb380ce5907ebeb19_1613633444703803003.jpg,1.0,"[1.351659, 103.719252]",4,3,TENGAH
Snow Angels Dessert House,Snow Angels Dessert House - Le Quest [Islandwide Delivery],"['Dessert', 'Waffles', 'Ice Cream & Iced Dessert', 'Smoothies']",1.35566051545392,103.7408659593806,"{'open': True, 'displayedHours': '11:00-23:00', 'sun': '11:00-23:00', 'mon': '14:00-23:00', 'tue': '11:00-23:00', 'wed': '11:00-23:00', 'thu': '11:00-23:00', 'fri': '11:00-23:00', 'sat': '11:00-23:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TBBGCGR2LYEE/hero/47fedbdbacc640c28a1f679dd7a351bf_1620127103092111004.jpeg,4.3,"[1.35566051545392, 103.7408659593806]",4,4,TENGAH
Tang Tea House,Tang Tea House - Jurong West Street 42[Islandwide Delivery],"['Chinese', 'Noodles', 'Dessert', 'Halal', 'Islandwide Delivery']",1.3528792,103.72639250755309,"{'open': True, 'displayedHours': '11:30-22:30', 'sun': '11:30-22:30', 'mon': '11:30-22:30', 'tue': '11:30-22:30', 'wed': '11:30-22:30', 'thu': '11:30-22:30', 'fri': '11:30-22:30', 'sat': '11:30-22:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYLJWGMAVATCNN/hero/065a91752f614012aea96321ca07b5d8_1575968217653883711.jpeg,4.5,"[1.3528792, 103.72639250755309]",4,3,TENGAH
Ritz's Kitchen,Ritz's Kitchen - Jurong East Ave 1 [Islandwide Delivery],"['Chinese', 'Western', 'Halal', 'Islandwide Delivery']",1.3503607511520384,103.7310406565666,"{'open': True, 'displayedHours': '00:00-23:59', 'sun': '00:00-23:59', 'mon': '00:00-23:59', 'tue': '00:00-23:59', 'wed': '00:00-23:59', 'thu': '00:00-23:59', 'fri': '00:00-23:59', 'sat': '00:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYXJTB3DKEMJGN/hero/3a7244efb6c941e1bdabff10d3040e59_1586513917174015138.jpeg,4.0,"[1.3503607511520384, 103.7310406565666]",4,3,TENGAH
L&M Seafood Bukit Batok,L&M Seafood Bukit Batok - Bukit Batok West Ave 6 [Islandwide Delivery],"['Local', 'Chinese', 'Seafood', 'Chicken', 'Halal']",1.3517139,103.7447558,"{'open': True, 'displayedHours': '11:00-22:30', 'sun': '11:00-22:30', 'mon': '11:00-22:30', 'tue': '11:00-22:30', 'wed': '11:00-22:30', 'thu': '11:00-22:30', 'fri': '11:00-22:30', 'sat': '11:00-22:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD10509/hero/3d15143e40dd479fab82e1b4b6ac27e3_1569488538499203369.jpeg,4.3,"[1.3517139, 103.7447558]",4,4,TENGAH
You Le Tian Seafood,You Le Tian Seafood - Jurong West Street 41 [Islandwide Delivery],"['Chinese', 'Seafood', 'Noodles', 'Chicken', 'Islandwide Delivery']",1.3483568,103.72458666666668,"{'open': True, 'displayedHours': '11:30-22:00', 'sun': '11:30-22:00', 'mon': '11:30-22:00', 'tue': '11:30-22:00', 'wed': '11:30-22:00', 'thu': '11:30-22:00', 'fri': '11:30-22:00', 'sat': '11:30-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZEYCK3UPB5FJJ/hero/ec1dddc609d6468889a28973976f8af4_1589513332379725408.jpeg,4.3,"[1.3483568, 103.72458666666668]",4,3,TENGAH
Arasi Store,Arasi Store - Jurong West Street 41,"['Groceries', 'Mart', 'Convenience', 'Rice']",1.3484165,103.72418,"{'displayedHours': 'Closed', 'sun': '07:30-22:30', 'mon': '07:30-22:30', 'tue': '07:30-22:30', 'wed': '07:30-22:30', 'thu': '07:30-22:30', 'fri': '07:30-22:30', 'sat': '07:30-22:30', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZLWAE3XKAJYCX/hero/6fdc89cb4dff40b398437dbf48df8d76_1611539660672589401.jpg,4.8,"[1.3484165, 103.72418]",4,3,TENGAH
KDS Supermarket,KDS Supermarket - JurongVille @ Ave 1,"['Alcohol', 'Mart', 'Groceries']",1.3496993,103.72635500338072,"{'open': True, 'displayedHours': '08:00-23:00', 'sun': '08:00-23:00', 'mon': '08:00-23:00', 'tue': '08:00-23:00', 'wed': '08:00-23:00', 'thu': '08:00-23:00', 'fri': '08:00-23:00', 'sat': '08:00-23:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZM3TKBYL632E2/hero/1a2b0da3d5d44acc97cfcfbe61ddfc14_1597990099889232047.jpeg,4.3,"[1.3496993, 103.72635500338072]",4,3,TENGAH
Sin Eng Seng Supermart,Sin Eng Seng Supermart - Jurong West Ave 1,"['Mart', 'Beverages', 'Personal Care', 'Alcohol']",1.35137346,103.7194898,"{'open': True, 'displayedHours': '09:00-21:00', 'sun': '09:00-15:00', 'mon': '09:00-21:00', 'tue': '09:00-21:00', 'wed': '09:00-21:00', 'thu': '09:00-21:00', 'fri': '09:00-21:00', 'sat': '09:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZMEFECGLRMKG6/hero/73a18f6ad918447c91c5860f5a8af26d_1596435883759157746.jpeg,4.7,"[1.35137346, 103.7194898]",4,3,TENGAH
Sunshine Mart,Sunshine Mart - Bukit Batok West Ave 8,"['Groceries', 'Mart', 'Beverages']",1.3500805333333332,103.7390521635336,"{'open': True, 'displayedHours': '08:00-22:00', 'sun': '08:00-22:00', 'mon': '08:00-22:00', 'tue': '08:00-22:00', 'wed': '08:00-22:00', 'thu': '08:00-22:00', 'fri': '08:00-22:00', 'sat': '08:00-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZNELZBXR6KZEX/hero/37eee2b395604f9794bc41e66c67a5cd_1598494761002319434.jpeg,3.8,"[1.3500805333333332, 103.7390521635336]",4,4,TENGAH
Pang Zi Durian,Pang Zi Durian - Jurong West Street 41 [Islandwide Delivery],"['Durian', 'Islandwide Delivery', 'Dessert', 'Mart', 'Snacks']",1.349402075,103.72554494685004,"{'open': True, 'displayedHours': '12:00-22:00', 'sun': '12:00-22:10', 'mon': '11:45-22:00', 'tue': '12:00-22:00', 'wed': '12:00-22:00', 'thu': '12:00-22:00', 'fri': '12:00-22:00', 'sat': '12:00-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZCAVB3DNPEHUE/hero/4399ced5597f4aefaba8bd887d180030_1606015806291481549.jpeg,4.6,"[1.349402075, 103.72554494685004]",4,3,TENGAH
Jw 491 Frog Porridge,Jw 491 Frog Porridge - Jurong West Ave 1 [Islandwide Delivery],"['Chinese', 'Asian', 'Islandwide Delivery']",1.34972089,103.7266895,"{'displayedHours': 'Closed', 'sun': '00:00-04:45 16:00-23:59', 'mon': '00:00-04:45 16:00-23:59', 'tue': '00:00-04:45 16:00-23:59', 'wed': '00:00-04:45 16:00-23:59', 'thu': '00:00-04:45 16:00-23:59', 'fri': '00:00-04:45 16:00-23:59', 'sat': '00:00-04:45 16:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYVAPGJVUATXSA/hero/d3303a6b579f4bf685156d1c2b25f435_1566362942538096448.jpeg,4.3,"[1.34972089, 103.7266895]",4,3,TENGAH
Alfatah,Alfatah - Bukit Batok Street 11,"['Convenience', 'Mart', 'Snacks']",1.3483411073684692,103.7422617,"{'open': True, 'displayedHours': '08:00-20:00', 'sun': '09:00-20:00', 'mon': '08:00-20:00', 'tue': '08:00-20:00', 'wed': '08:00-20:00', 'thu': '08:00-20:00', 'fri': '08:00-20:00', 'sat': '08:00-20:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDHUGNWCFMVNE/hero/9bbea18e1e7546e2986df37ba5810d5b_1586789996577183380.jpg,5.0,"[1.3483411073684692, 103.7422617]",4,4,TENGAH
Na Na Curry,Na Na Curry - Jurong East Street 32,"['Asian', 'Chinese']",1.3445734,103.73517265,"{'open': True, 'displayedHours': '11:30-19:15', 'sun': '11:30-19:15', 'mon': 'Closed', 'tue': '11:30-19:15', 'wed': '11:30-19:15', 'thu': '11:30-19:15', 'fri': '11:30-19:15', 'sat': '11:30-19:15'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD08119/hero/9a3baf7ac192459bb44fb42e6475cf00_1605318227348323821.jpeg,4.3,"[1.3445734, 103.73517265]",4,4,TENGAH
