name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town
Ah Ma Jok,Ah Ma Jok - Bidadari ,"['Asian', 'Chinese', 'Porridge']",1.3372078914033665,103.87190156944864,"{'open': True, 'displayedHours': '00:00-23:59', 'sun': '00:00-23:59', 'mon': '00:00-23:59', 'tue': '00:00-23:59', 'wed': '00:00-23:59', 'thu': '00:00-23:59', 'fri': '00:00-23:59', 'sat': '00:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2LYG36BNTWTNX/hero/fd6d9a0dcc0845f0af0962b1214393a3_1615555943556646246.png,4.0,"[1.3372078914033665, 103.87190156944864]",4,9,TOA PAYOH
E-Essential Sg (Baby Food),E-Essential Sg (Baby Food) - The Actuary ,"['Convenience', 'Kids Friendly', 'Mart', 'Islandwide Delivery']",1.33354817687754,103.852668635883,"{'open': True, 'displayedHours': '00:00-23:59', 'sun': '00:00-23:59', 'mon': '00:00-23:59', 'tue': '00:00-23:59', 'wed': '00:00-23:59', 'thu': '00:00-23:59', 'fri': '00:00-23:59', 'sat': '00:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2UBVTVDV7WWRJ/hero/8a608358370142c39c89576e51262741_1622194244057620568.jpg,0.0,"[1.33354817687754, 103.852668635883]",3,8,TOA PAYOH
Nayana KPop Cafe,Nayana KPop Cafe - Poiz - The Poiz Centre ,"['Local', 'Korean', 'Asian', 'Islandwide Delivery']",1.33184395,103.8687272,"{'open': True, 'displayedHours': '11:00-15:00 17:00-21:00', 'sun': '11:00-15:00 17:00-21:00', 'mon': 'Closed', 'tue': '11:00-15:00 17:00-21:00', 'wed': '11:00-15:00 17:00-21:00', 'thu': '11:00-15:00 17:00-21:00', 'fri': '11:00-15:00 17:00-21:00', 'sat': '11:00-15:00 17:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZKUJGEEWAMYL2/hero/db633d1095da4ad987c6faf88532f5a9_1593154633630888167.jpeg,3.8,"[1.33184395, 103.8687272]",3,9,TOA PAYOH
Happy Pot,Happy Pot - Ah Hood Road ,"['Chinese', 'Seafood', 'Fast Food']",1.329001,103.84866,"{'open': True, 'displayedHours': '00:00-01:00 12:30-23:59', 'sun': '00:00-01:00 12:30-23:59', 'mon': '00:00-01:00 12:30-23:59', 'tue': '12:30-22:00', 'wed': '12:30-22:00', 'thu': '12:30-23:00', 'fri': '12:30-23:59', 'sat': '00:00-01:00 12:30-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZNGCK2VE3XCNA/hero/04e696b4f32a41b7beac6836650898f6_1617435024304423006.jpeg,2.8,"[1.329001, 103.84866]",3,8,TOA PAYOH
Lee Fun Nam Kee Chicken Rice,Lee Fun Nam Kee Chicken Rice - Toa Payoh Palm Spring [Islandwide Delivery],"['Chinese', 'Local', 'Noodles', 'Islandwide Delivery']",1.3387686,103.8500977125069,"{'open': True, 'displayedHours': '11:00-14:30 17:00-20:30', 'sun': '11:00-14:30 17:00-20:30', 'mon': '11:00-14:30 17:00-20:30', 'tue': '11:00-14:30 17:00-20:30', 'wed': '11:00-14:30 17:00-20:30', 'thu': '11:00-14:30 17:00-20:30', 'fri': '11:00-14:30 17:00-20:30', 'sat': '11:00-14:30 17:00-20:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD08255/hero/cb152f80d37940d6a7c066fa3c6b1267_1600431478170219382.jpeg,4.4,"[1.3387686, 103.8500977125069]",4,8,TOA PAYOH
Hongyun Seafood Enterprise,Hongyun Seafood Enterprise - Toa Payoh Eight,"['Chinese', 'Local', 'Seafood', 'Asian']",1.3386279,103.8586373,"{'open': True, 'displayedHours': '11:15-14:00 16:00-22:00', 'sun': '11:15-14:00 16:00-22:00', 'mon': '11:25-14:00 16:00-22:00', 'tue': '11:15-14:00 16:00-22:00', 'wed': '11:15-14:00 16:00-22:00', 'thu': '11:15-14:00 16:00-22:00', 'fri': '11:15-14:00 16:00-22:00', 'sat': '11:15-14:00 16:00-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZE2RNWCUBJ1LT/hero/29cd94fd068545dbb0236f43228bb95a_1589873266710279654.jpg,4.3,"[1.3386279, 103.8586373]",4,8,TOA PAYOH
Nagara Thai,Nagara Thai - Toa Payoh Central [Islandwide Delivery],"['Chicken', 'Thai', 'Islandwide Delivery']",1.3336078,103.8477682,"{'open': True, 'displayedHours': '12:00-15:00 17:30-21:45', 'sun': '12:00-15:00 17:30-21:45', 'mon': '12:00-15:00 17:30-21:45', 'tue': '12:00-15:00 17:30-21:45', 'wed': '12:00-15:00 17:30-21:45', 'thu': '12:00-15:00 17:30-21:45', 'fri': '12:00-15:00 17:30-21:45', 'sat': '12:00-15:00 17:30-21:45'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYWYA7DANFMUUE/hero/d5cc844627044971a4a19f2ce975ee35_1607489233684182802.jpeg,4.3,"[1.3336078, 103.8477682]",3,8,TOA PAYOH
Otai Coco Melon,Otai Cocomelon - Lorong 6 Toa Payoh [Islandwide Delivery],"['Beverages', 'Ice Cream', 'Dessert']",1.332919,103.84809092666666,"{'open': True, 'displayedHours': '12:00-20:45', 'sun': '12:00-20:45', 'mon': '12:00-20:45', 'tue': '12:00-20:45', 'wed': '12:00-20:45', 'thu': '12:00-20:45', 'fri': '12:00-20:45', 'sat': '12:00-20:45'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2E2JLAWTJ62TJ/hero/81ca37b30f9e43ae8893ef70d909faa1_1611035633183367845.jpeg,4.8,"[1.332919, 103.84809092666666]",3,8,TOA PAYOH
Viet Thai Cuisine,Viet Thai Cuisine - HDB Hub [Islandwide Delivery],"['Thai', 'Vietnamese', 'Halal']",1.33205863,103.8494438,"{'open': True, 'displayedHours': '09:50-20:00', 'sun': '09:50-20:00', 'mon': '09:50-20:00', 'tue': '09:50-20:00', 'wed': '09:50-20:00', 'thu': '09:50-20:00', 'fri': '09:50-20:00', 'sat': '09:50-20:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZEUT8K1HA5CUE/hero/6434a9285ef94062923e78629e314d66_1589191308251180276.jpeg,4.2,"[1.33205863, 103.8494438]",3,8,TOA PAYOH
Kin Moo,Kin Moo - Lorong 6 Toa Payoh [Islandwide Delivery],"['Thai', 'Islandwide Delivery']",1.3329258,103.84812906666669,"{'open': True, 'displayedHours': '11:00-21:00', 'sun': '11:00-21:00', 'mon': '11:00-21:00', 'tue': '11:00-21:00', 'wed': '11:00-21:00', 'thu': '11:00-21:00', 'fri': '11:00-21:00', 'sat': '11:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZBCMFN2RKWFHE/hero/002a1585875a4fc7b7c20134537fe4db_1604024388813946359.jpeg,4.5,"[1.3329258, 103.84812906666669]",3,8,TOA PAYOH
