name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town
Pearl's Court - Zi Char,Pearl's Court - Benoi Place,"['Seafood', 'Local', 'Chinese']",1.3133173780278895,103.67940215565808,"{'open': True, 'displayedHours': '11:00-17:00', 'sun': '11:00-17:00', 'mon': '11:00-19:00', 'tue': '11:00-19:00', 'wed': '11:00-19:00', 'thu': '11:00-19:00', 'fri': '11:00-19:00', 'sat': '11:00-17:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD02431/hero/upload-photo-Hero_Photo_c4aba1d092c54f78b29684827d50e24c_1555989476779375075.jpeg,4.1,"[1.3133173780278895, 103.67940215565808]",3,2,TUAS
Powerup,Powerup - Tuas Bay Walk,"['Coffee', 'Fruits & Vegetables', 'Fresh Produce', 'Juice', 'Groceries']",1.3153052,103.6349066,"{'open': True, 'displayedHours': '09:30-19:30', 'sun': '09:30-19:30', 'mon': '09:30-19:30', 'tue': '09:30-19:30', 'wed': '09:30-19:30', 'thu': '09:30-19:30', 'fri': '09:30-19:30', 'sat': '09:30-19:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZK1RKJUJGBCPE/hero/33dd5b7a5f8d4075adf9f789a234dda0_1593816548844538523.jpeg,0.0,"[1.3153052, 103.6349066]",3,0,TUAS
Fupi Beancurd Skin Crisps,Fupi Beancurd Skin Crisps - Gul Way ,"['Convenience', 'Snack', 'Mart', 'Islandwide Delivery']",1.31261,103.67072,"{'open': True, 'displayedHours': '00:00-23:59', 'sun': '00:00-23:59', 'mon': '00:00-23:59', 'tue': '00:00-23:59', 'wed': '00:00-23:59', 'thu': '00:00-23:59', 'fri': '00:00-23:59', 'sat': '00:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TVNAXFPE4ZVA/hero/98c9709662b14c529949d100f53ad68a_1622107705690787549.jpeg,0.0,"[1.31261, 103.67072]",3,1,TUAS
GJH Mart,GJH Mart - Gul Ave,"['Mart', 'Health & Wellness', 'Convenience']",1.3159448,103.6751247,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '09:00-16:30', 'tue': '09:00-16:30', 'wed': '09:00-16:30', 'thu': '09:00-16:30', 'fri': '09:00-16:30', 'sat': 'Closed'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2EAGGLXLPBYNT/hero/9ab756c69de84feabbfb12baba881cac_1609825622726320547.png,0.0,"[1.3159448, 103.6751247]",3,1,TUAS
Japanese Korean Food,Japanese Korean Food - 60 Gul Lane,"['Asian', 'Ramen', 'Japanese', 'Same Prices In-Store']",1.3143283672938606,103.66213205245585,"{'displayedHours': 'Closed', 'sun': '10:00-14:00', 'mon': '10:00-18:00', 'tue': '10:00-18:00', 'wed': '10:00-18:00', 'thu': '10:00-18:00', 'fri': '10:00-18:00', 'sat': '10:00-14:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYT3AJMJTB6TLJ/hero/75r-24bits-100kb-e1f528a784ec0224db4919f3f1a4f824260f4052cf24206fa65618949d36db93-c7f15486a2654a0189f048a046185ac5_1564391442600223883.jpeg,2.8,"[1.3143283672938606, 103.66213205245585]",3,1,TUAS
Confetti Snacks,Confetti Snacks - Gul Way,"['Snacks', 'Mart']",1.315848,103.669942,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '09:00-17:00', 'tue': '09:00-17:00', 'wed': '09:00-17:00', 'thu': '09:00-17:00', 'fri': '09:00-17:00', 'sat': '09:00-12:30', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2AYRXVBLANFTT/hero/a012d168518c4ad58445aee68ae831a8_1611545021958372343.jpg,0.0,"[1.315848, 103.669942]",3,1,TUAS
FOODQA-BJ_SG's Sea Resto GKMM Mart,FOODQA-BJ_SG's Sea Resto GKMM Mart,"['test', 'Wellness']",1.230454,103.646681,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': 'Closed', 'tue': 'Closed', 'wed': 'Closed', 'thu': 'Closed', 'fri': 'Closed', 'sat': 'Closed'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZEXEPEWN6KKEN/hero/61a386cc2e1a49f28f631d57ecd34d2e_1609316844772320213.jpg,0.0,"[1.230454, 103.646681]",0,0,TUAS
Umami Food,Umami Food - Gul Lane,"['Japanese', 'Korean', 'Rice']",1.314247,103.662172,"{'displayedHours': 'Closed', 'sun': '23:00-23:01', 'mon': 'Closed', 'tue': 'Closed', 'wed': 'Closed', 'thu': 'Closed', 'fri': 'Closed', 'sat': 'Closed'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2DCDA4JKFE2AJ/hero/ce38cf562a9f48e2b497137742e143a8_1606218348645183647.jpg,4.1,"[1.314247, 103.662172]",3,1,TUAS
Kidmoro,Kidmoro - Tuas Ave 1 ,"['Kids Friendly', 'Mart', 'Islandwide Delivery']",1.32167,103.65992,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '09:00-18:00', 'tue': '09:00-18:00', 'wed': '09:00-18:00', 'thu': '09:00-18:00', 'fri': '09:00-18:00', 'sat': 'Closed'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TVNK62ELN3KE/hero/830ff1f57be344d9b260d899d876b3f5_1621262798293171871.jpg,0.0,"[1.32167, 103.65992]",3,1,TUAS
Yarrow,Yarrow - Tuas South Avenue 2,"['Groceries', 'Mart']",1.3165867,103.6334115,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '09:00-18:00', 'tue': '09:00-18:00', 'wed': '09:00-18:00', 'thu': '09:00-18:00', 'fri': '09:00-18:00', 'sat': '09:00-13:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2NYAXCFJXXKGJ/hero/7469778c833f4346aebdcc018d687314_1619505045531396888.jpg,0.0,"[1.3165867, 103.6334115]",3,0,TUAS
Trouble Brewing,Trouble Brewing - Tuas Bay Walk ,"['Alcohol', 'Convenience', 'Mart', 'Islandwide Delivery']",1.31261,103.63145,"{'open': True, 'displayedHours': '12:00-21:00', 'sun': '12:00-21:00', 'mon': '12:00-21:00', 'tue': '12:00-21:00', 'wed': '12:00-21:00', 'thu': '12:00-21:00', 'fri': '12:00-21:00', 'sat': '12:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2MEVGCET3BCTA/hero/442767aa3a4f40a3a657f9cc345168e8_1616558477939424601.jpeg,1.0,"[1.31261, 103.63145]",3,0,TUAS
Amirul's Muslim Food,Amirul's Muslim Food - Tuas West Ave,"['Asian', 'Malaysian', 'Rice']",1.3319678,103.6382257,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '07:45-16:00', 'tue': '08:00-16:00', 'wed': '08:00-16:00', 'thu': '08:00-16:00', 'fri': '08:00-16:00', 'sat': '07:45-14:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2EUGPUFUFUBBA/hero/ff3abb0628a74c7e855ad23b0b4105ef_1614831339897939423.jpeg,4.5,"[1.3319678, 103.6382257]",3,0,TUAS
Cheers (FairPrice Xpress),Cheers (FairPrice Xpress) - Gul Circle MRT Station,"['Mart', 'Groceries', 'Beverages', 'Convenience']",1.3191759833333334,103.65988645,"{'open': True, 'displayedHours': '07:00-22:00', 'sun': '07:00-22:00', 'mon': '07:00-22:00', 'tue': '07:00-22:00', 'wed': '07:00-22:00', 'thu': '07:00-22:00', 'fri': '07:00-22:00', 'sat': '07:00-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2JDLJTERKVANT/hero/92ddd8fa07a045e4adb1f62280745d91_1621875390424526268.jpg,5.0,"[1.3191759833333334, 103.65988645]",3,1,TUAS
Toyochem Marketing,Toyochem Marketing - Tuas Avenue 8,['Mart'],1.32889453,103.649879,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '08:00-17:00', 'tue': '08:00-17:00', 'wed': '08:00-17:00', 'thu': '08:00-17:00', 'fri': '08:00-17:00', 'sat': 'Closed', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2BCDF31VLKHCT/hero/0c7d6182aeed4a8da086b50e547e0c42_1611567581458130311.jpg,0.0,"[1.32889453, 103.649879]",3,0,TUAS
Subway,Subway - Tuas Bay Drive,"['Halal', 'Sandwiches', 'Fast Food', 'Healthy', 'Western']",1.3154587100307111,103.63190372523172,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '08:00-15:00', 'tue': '08:00-15:00', 'wed': '08:00-15:00', 'thu': '08:00-15:00', 'fri': '08:00-15:00', 'sat': 'Closed'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2THE65CBFXXFA/hero/4788e9d10b1d4040861fa0f9b6cc700c_1620800966230567163.png,4.6,"[1.3154587100307111, 103.63190372523172]",3,0,TUAS
Shell Select,Shell Select - Tuas South Ave 5,"['Mart', 'Groceries', 'Convenience']",1.28938,103.6256769,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '07:00-18:30', 'tue': '07:00-18:30', 'wed': '07:00-18:30', 'thu': '07:00-18:30', 'fri': '07:00-18:30', 'sat': '07:00-15:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZCVVADWCZMXFA/hero/62e7feadf7c44c96a4735524d43e2c58_1585833527428537182.jpeg,0.0,"[1.28938, 103.6256769]",2,0,TUAS
AA Restaurant,AA Restaurant - JTC Space - Tuas,"['Indian', 'Coffee & Tea']",1.3213164,103.66129216666668,"{'displayedHours': 'Closed', 'sun': '10:00-22:00', 'mon': '10:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJEVB6KWBDUCA/hero/1a557cefcd1840289ba38f5210a75e63_1611712817848752877.jpeg,4.2,"[1.3213164, 103.66129216666668]",3,1,TUAS
