name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town
Balestier Road Hoover Rojak,Balestier Road Hoover Rojak - Blk 90 Whampoa Drive Food Centre [Stall 6] [Islandwide Delivery],"['Local', 'MICHELIN Bib Gourmand', 'Islandwide Delivery']",1.3228693,103.8549051,"{'displayedHours': 'Closed', 'sun': '10:00-13:30', 'mon': 'Closed', 'tue': 'Closed', 'wed': '10:00-13:30', 'thu': '10:00-13:30', 'fri': '10:00-13:30', 'sat': '10:00-13:30', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDXRJCWVK6ELT/hero/71a3cae0da7648c4be1caaaf3ad8dc53_1587472057171246242.jpg,4.4,"[1.3228693, 103.8549051]",3,8,WHAMPOA
Woodstock Beverages,Woodstock Beverages - Fu Tsu Building,"['Alcohol', 'Beverages', 'Mart', 'Cold Brew']",1.3252849962612592,103.85319076948733,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '12:00-20:00', 'tue': '12:00-20:00', 'wed': '12:00-20:00', 'thu': '12:00-20:00', 'fri': '12:00-20:00', 'sat': 'Closed', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYNYR2WDMADTJX/hero/6476d2fa2c3541b2aa0a0a92843485de_1599825523897545706.png,4.5,"[1.3252849962612592, 103.85319076948733]",3,8,WHAMPOA
Chai Chee Pork Porridge,Chai Chee Pork Porridge - Bendemeer Road,"['Local', 'Porridge']",1.31905363,103.86311092,"{'displayedHours': 'Closed', 'sun': '06:30-14:00', 'mon': '06:30-14:00', 'tue': '06:30-14:00', 'wed': '06:30-14:00', 'thu': '06:30-14:00', 'fri': '06:30-14:00', 'sat': '06:30-14:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDTEVN3EXCXBE/hero/517350646f23415f9639e20bea9bb624_1587025002720392990.jpg,4.5,"[1.31905363, 103.86311092]",3,8,WHAMPOA
TJ MINIMART,TJ MINIMART,"['Alcohol', 'Convenience', 'Mart']",1.3204556,103.8627817,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '12:00-19:00', 'tue': 'Closed', 'wed': 'Closed', 'thu': 'Closed', 'fri': 'Closed', 'sat': 'Closed'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2CALTJBWGJFCA/hero/8181864950744f849553484de40872d6_1604056410967861363.jpeg,4.2,"[1.3204556, 103.8627817]",3,8,WHAMPOA
Boon Tong Kee,Boon Tong Kee - Whampoa West,"['Chicken', 'Singaporean', 'Chinese']",1.3198189778711136,103.86221,"{'displayedHours': 'Closed', 'sun': '11:30-14:30 17:30-20:00', 'mon': '11:30-14:30 17:30-20:00', 'tue': '11:30-14:30 17:30-20:00', 'wed': '11:30-14:30 17:30-20:00', 'thu': '11:30-14:30 17:30-20:00', 'fri': '11:30-14:30 17:30-20:00', 'sat': '11:30-14:30 17:30-20:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZMZMF4AJP4WC2/hero/6de1f52df9f14bffb8c7b1e3239096bc_1597664910711073738.jpeg,4.7,"[1.3198189778711136, 103.86221]",3,8,WHAMPOA
Partyshop.sg,Partyshop.sg - Balestier Point ,"['Flowers', 'Gifts', 'Hampers']",1.322931,103.852112,"{'displayedHours': 'Closed', 'sun': '10:30-15:30', 'mon': '10:30-17:30', 'tue': '10:30-17:30', 'wed': '10:30-17:30', 'thu': '10:30-17:30', 'fri': '10:30-17:30', 'sat': '10:30-17:30', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2UHA73BN75VGT/hero/4d971b1e01b545dc8d264f023ad7f080_1622707721822958429.jpg,0.0,"[1.322931, 103.852112]",3,8,WHAMPOA
Winlykah,Winlykah - Lorong Bakar Batu,"['Wellness', 'Health & Wellness', 'Mart', 'Pharmacy/Health']",1.3271351980256978,103.872055,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '09:00-12:00 13:00-17:30', 'tue': '09:00-12:00 13:00-17:30', 'wed': '09:00-12:00 13:00-17:30', 'thu': '09:00-12:00 13:00-17:30', 'fri': '09:00-12:00 13:00-17:30', 'sat': 'Closed'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZLBTYXALJA2E2/hero/81282f589e0e4e52879870256daed6b2_1594193231949363015.jpeg,0.0,"[1.3271351980256978, 103.872055]",3,9,WHAMPOA
Slickshots,Slickshots - Bendemeer Ville,"['Coffee & Tea', 'Ice Cream', 'Snack']",1.320388,103.862655,"{'displayedHours': 'Closed', 'sun': '10:00-20:00', 'mon': '12:00-22:00', 'tue': '12:00-22:00', 'wed': '12:00-22:00', 'thu': '12:00-22:00', 'fri': '12:00-22:00', 'sat': '10:00-22:00', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2UHEAEBE7UVV2/hero/5b367b45131d415aa5e68b3cb0cb6271_1622720081350202723.jpg,0.0,"[1.320388, 103.862655]",3,8,WHAMPOA
Ayam Sedap by Bayfront,Ayam Sedap by Bayfront - Opal Crescent ,"['Asian', 'Halal', 'Indonesian', 'Islandwide Delivery']",1.32792,103.86712,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '10:00-20:00', 'tue': '10:00-20:00', 'wed': '10:00-20:00', 'thu': '10:00-20:00', 'fri': '10:00-20:00', 'sat': '10:00-20:00', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2DWG62CEYBDE2/hero/32e7fe8564064f9081af795b37d84b0b_1610420470502754048.jpeg,0.0,"[1.32792, 103.86712]",3,9,WHAMPOA
Oooooya,Oooooya - Hainan Industrial Building ,"['Groceries', 'Mart', 'Health & Wellness', 'Islandwide Delivery']",1.326157309,103.8524564,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '09:00-17:00', 'tue': '09:00-17:00', 'wed': '09:00-17:00', 'thu': '09:00-17:00', 'fri': '09:00-17:00', 'sat': '09:00-17:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TTLXJ1A3AZLN/hero/4f4eb61083814e2f8ab7ae4555d5a159_1621870389356086212.jpeg,5.0,"[1.326157309, 103.8524564]",3,8,WHAMPOA
