Unnamed: 0,name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town,website
4312,One Sushi,One Sushi 一口寿司 - Yishun Town Square [Islandwide Delivery],"['Japanese', 'Islandwide Delivery', 'Kids Friendly']",1.4263131,103.8362156,"{'open': True, 'displayedHours': '11:30-22:00', 'sun': '11:30-22:00', 'mon': '11:30-22:00', 'tue': '11:30-22:00', 'wed': '11:30-22:00', 'thu': '11:30-22:00', 'fri': '11:30-22:00', 'sat': '11:30-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD10354/hero/upload-photo-Hero_Photo_251b45a383e8411e919b86cd037a5e96_1556099379459095698.jpeg,4.2,"[1.4263131, 103.8362156]",7,7,YISHUN,https://kingdomfood.sg/one-sushi/
4338,Song Fa Bak Kut Teh,Song Fa Bak Kut Teh - Northpoint Shopping Centre [Islandwide Delivery],"['Local', 'Asian', 'Chinese', 'Soup', 'Meat']",1.4295055367119005,103.83638630807305,"{'open': True, 'displayedHours': '11:00-21:30', 'sun': '10:30-21:00', 'mon': '11:00-21:00', 'tue': '11:00-21:00', 'wed': '11:00-21:00', 'thu': '11:00-21:00', 'fri': '11:00-21:30', 'sat': '11:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZBCELBWJ8NKAA/hero/2d3bef3724d04fa1b856d441fc5dc192_1582802450633677674.png,4.6,"[1.4295055367119005, 103.83638630807305]",7,7,YISHUN,https://songfa.com.sg/
4344,Kebab Station N Biryani @Indian & Lebanese & Turkish & Arabic Cuisine,Kebab Station N Biryani @Indian & Lebanese & Turkish & Arabic Cuisine - Yishun Street 51 ,"['Indian', 'Middle Eastern', 'Bread', 'Breakfast', 'Islandwide Delivery']",1.4180856,103.844603,"{'open': True, 'displayedHours': '00:00-04:00 09:45-23:59', 'sun': '00:00-04:00 09:45-23:59', 'mon': '00:00-04:00 09:45-23:59', 'tue': '00:00-04:00 09:45-23:59', 'wed': '00:00-04:00 09:45-23:59', 'thu': '00:00-04:00 09:45-23:59', 'fri': '00:00-04:00 09:45-23:59', 'sat': '00:00-04:00 09:45-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2LGPB4TCXXDE6/hero/fb4d436e2d124ccf996ad85e322e1d6d_1614681121983760568.jpeg,2.7,"[1.4180856, 103.844603]",7,8,YISHUN,https://www.kebabstation.sg/
4349,Paris Baguette,Paris Baguette - Northpoint City,"['Sandwiches', 'Same Prices In-Store', 'Bakery & Cake', 'Dessert', 'Salad']",1.4297388152191672,103.83575196238525,"{'open': True, 'displayedHours': '09:30-21:30', 'sun': '09:30-21:30', 'mon': '09:30-21:30', 'tue': '09:30-21:30', 'wed': '09:30-21:30', 'thu': '09:30-21:30', 'fri': '09:30-21:30', 'sat': '09:30-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2CUSCCEBAVDSE/hero/e0d04e1426354f1fa2a0f048cec83591_1620961201748218431.jpeg,4.7,"[1.4297388152191672, 103.83575196238525]",7,7,YISHUN,https://www.parisbaguette.com.sg/
4402,Coba Coba,Coba Coba - Yishun Street 11 [Islandwide Delivery],"['Halal', 'Local', 'Asian', 'Islandwide Delivery', 'Same Prices In-Store']",1.4314283,103.8335283,"{'open': True, 'displayedHours': '09:30-19:15', 'sun': '09:30-19:15', 'mon': '09:30-19:15', 'tue': '09:30-19:15', 'wed': '09:30-19:15', 'thu': '09:30-19:15', 'fri': '09:30-19:15', 'sat': '09:30-19:15'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD10127/hero/07b9b7690c6f4e0d9911608a3749ef26_1580721643324507270.jpeg,4.6,"[1.4314283, 103.8335283]",7,7,YISHUN,https://www.cobacoba.sg/
4420,Malaysia Chiak!,Malaysia Chiak! - Northpoint City [Islandwide Delivery],"['Asian', 'Same Prices In-Store', 'Local', 'Chinese']",1.4280620753707467,103.83609663870868,"{'open': True, 'displayedHours': '10:00-20:45', 'sun': '10:00-20:45', 'mon': '10:00-20:45', 'tue': '10:00-20:45', 'wed': '10:00-20:45', 'thu': '10:00-20:45', 'fri': '10:00-20:45', 'sat': '10:00-20:45'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDWNPLCVFVVRN/hero/b2641ed97f034f2786ef02fa5a88c74d_1587886351953487944.jpeg,4.0,"[1.4280620753707467, 103.83609663870868]",7,7,YISHUN,https://www.citysquaremall.com.sg/shops/shop-list/malaysia-chiak/
4435,My Kampung,My Kampung - Junction Nine [Islandwide Delivery],"['Chicken', 'Halal']",1.4326368854907088,103.84142461237872,"{'open': True, 'displayedHours': '10:30-20:30', 'sun': '10:30-20:30', 'mon': '10:30-20:30', 'tue': '10:30-20:30', 'wed': '10:30-20:30', 'thu': '10:30-20:30', 'fri': '10:30-20:30', 'sat': '10:30-20:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2BJMCKFVX3ECJ/hero/6364ec10d3cb46a28d60735d786839d8_1607339228920514023.jpeg,4.1,"[1.4326368854907088, 103.84142461237872]",7,8,YISHUN,https://www.facebook.com/MyKampungSG/
4444,Aamir's Market,Aamir's Market - Yishun Street 22 [Islandwide Delivery] #01-311,"['Groceries', 'Mart', 'Fresh Produce']",1.4366529,103.8370159,"{'displayedHours': 'Closed', 'sun': '07:00-15:00', 'mon': 'Closed', 'tue': '07:00-15:00', 'wed': '07:00-15:00', 'thu': '07:00-15:00', 'fri': '07:00-15:00', 'sat': '07:00-15:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZNUBEU1G2C2HA/hero/2235cbf652e24a59b7007878658388f3_1599134321051725904.jpeg,4.8,"[1.4366529, 103.8370159]",7,7,YISHUN,https://ammarket.com.sg/
4459,Shah Fresh Frozen,Shah Fresh Frozen - Yishun Ring Road [Islandwide Delivery],"['Convenience', 'Groceries', 'Mart']",1.43154184,103.8286144092492,"{'displayedHours': 'Closed', 'sun': '07:00-13:30', 'mon': 'Closed', 'tue': '07:00-13:00', 'wed': '07:00-13:00', 'thu': '07:00-13:00', 'fri': '07:00-13:00', 'sat': '07:00-13:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2DYPEVFRGNURA/hero/ef44aabe685a40e695a6c7b92f7bfc80_1607571273642998473.jpeg,4.8,"[1.43154184, 103.8286144092492]",7,7,YISHUN,https://www.instagram.com/shahfreshfrozen/?igshid=13yqcepgb53jg&hl=en
4464,Suparakki Ramen,Suparakki Ramen - Northpoint  [Islandwide Delivery],"['Local', 'Noodles', 'Japanese', 'Ramen', 'Islandwide Delivery']",1.4287515,103.83585287630557,"{'open': True, 'displayedHours': '10:30-20:20', 'sun': '10:30-20:20', 'mon': '10:30-20:20', 'tue': '10:30-20:20', 'wed': '10:30-20:20', 'thu': '10:30-20:20', 'fri': '10:30-20:20', 'sat': '10:30-20:20'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD12166/hero/02e6f5fe0f264041b5253b3c846b0de9_1599980214542833224.jpeg,4.4,"[1.4287515, 103.83585287630557]",7,7,YISHUN,https://www.instagram.com/suparakkiramen/?hl=en
